system_ts_ms, sensor_ts_ns, gyrXr, gyrYr, gyrZr, gyrDXr, gyrDYr, gyrDZr
1680000854761,1180843106326920,-0.1329625,-0.3169375,0.0430375,0.010618131,0.0016539326,0.005852049
1680000854761,1180843108828997,-0.1359875,-0.311025,0.051975,0.010618131,0.0016539326,0.005852049
1680000854761,1180843111331214,-0.1390125,-0.3009875,0.05995,0.010618131,0.0016539326,0.005852049
1680000854762,1180843113833291,-0.13695,-0.2899875,0.061049998,0.010618131,0.0016539326,0.005852049
1680000854762,1180843116335445,-0.14093749,-0.2740375,0.062975,0.010618131,0.0016539326,0.005852049
1680000854765,1180843118837368,-0.1469875,-0.2550625,0.0669625,0.010618131,0.0016539326,0.005852049
1680000854779,1180843121339450,-0.143,-0.227975,0.0680625,0.010618131,0.0016539326,0.005852049
1680000854779,1180843123841604,-0.14093749,-0.1989625,0.066,0.010618131,0.0016539326,0.005852049
1680000854779,1180843126343527,-0.14093749,-0.1670625,0.066,0.010618131,0.0016539326,0.005852049
1680000854779,1180843128845680,-0.139975,-0.1299375,0.0589875,0.010618131,0.0016539326,0.005852049
1680000854780,1180843131347799,-0.1310375,-0.09295,0.0510125,0.010618131,0.0016539326,0.005852049
1680000854780,1180843133849876,-0.1280125,-0.0510125,0.0460625,0.010618131,0.0016539326,0.005852049
1680000854781,1180843136351799,-0.1280125,-0.0199375,0.0400125,0.010618131,0.0016539326,0.005852049
1680000854792,1180843138853876,-0.1230625,0.0149875,0.0320375,0.010618131,0.0016539326,0.005852049
1680000854792,1180843141356030,-0.121,0.050049998,0.0290125,0.010618131,0.0016539326,0.005852049
1680000854792,1180843143858170,-0.1170125,0.07205,0.025024999,0.010618131,0.0016539326,0.005852049
1680000854793,1180843146360093,-0.113025,0.0919875,0.0199375,0.010618131,0.0016539326,0.005852049
1680000854793,1180843148862247,-0.1109625,0.1079375,0.0180125,0.010618131,0.0016539326,0.005852049
1680000854800,1180843151364324,-0.113025,0.1219625,0.0199375,0.010618131,0.0016539326,0.005852049
1680000854800,1180843153866468,-0.11495,0.128975,0.025024999,0.010618131,0.0016539326,0.005852049
1680000854801,1180843156368391,-0.113025,0.13695,0.022,0.010618131,0.0016539326,0.005852049
1680000854804,1180843158870468,-0.1170125,0.1420375,0.018975,0.010618131,0.0016539326,0.005852049
1680000854808,1180843161372698,-0.1139875,0.1450625,0.0180125,0.010618131,0.0016539326,0.005852049
1680000854810,1180843163874785,-0.11495,0.146025,0.0149875,0.010618131,0.0016539326,0.005852049
1680000854812,1180843166376708,-0.117975,0.146025,0.011,0.010618131,0.0016539326,0.005852049
1680000854818,1180843168878862,-0.113025,0.1450625,0.011,0.010618131,0.0016539326,0.005852049
1680000854819,1180843171380939,-0.1120625,0.1340625,0.011,0.010618131,0.0016539326,0.005852049
1680000854819,1180843173883112,-0.1109625,0.124025,0.0100375,0.010618131,0.0016539326,0.005852049
1680000854821,1180843176384958,-0.1109625,0.11,0.011,0.010618131,0.0016539326,0.005852049
1680000854824,1180843178887189,-0.109037496,0.098037496,0.013062499,0.010618131,0.0016539326,0.005852049
1680000854827,1180843181389266,-0.1109625,0.088,0.01595,0.010618131,0.0016539326,0.005852049
1680000854829,1180843183891420,-0.109037496,0.073975,0.0180125,0.010618131,0.0016539326,0.005852049
1680000854835,1180843186393328,-0.106975,0.0680625,0.0210375,0.010618131,0.0016539326,0.005852049
1680000854836,1180843188895405,-0.1109625,0.0589875,0.0259875,0.010618131,0.0016539326,0.005852049
1680000854837,1180843191397559,-0.11,0.055,0.029975,0.010618131,0.0016539326,0.005852049
1680000854839,1180843193899713,-0.106975,0.050049998,0.033,0.010618131,0.0016539326,0.005852049
1680000854841,1180843196401670,-0.1120625,0.0540375,0.039049998,0.010618131,0.0016539326,0.005852049
1680000854845,1180843198903747,-0.11495,0.0559625,0.0400125,0.010618131,0.0016539326,0.005852049
1680000854850,1180843201405900,-0.11495,0.062975,0.0419375,0.010618131,0.0016539326,0.005852049
1680000854850,1180843203908054,-0.11605,0.0699875,0.0449625,0.010618131,0.0016539326,0.005852049
1680000854852,1180843206410011,-0.1170125,0.073975,0.0449625,0.010618131,0.0016539326,0.005852049
1680000854853,1180843208912165,-0.1170125,0.08195,0.047025,0.010618131,0.0016539326,0.005852049
1680000854858,1180843211414242,-0.121,0.0919875,0.0460625,0.010618131,0.0016539326,0.005852049
1680000854859,1180843213916165,-0.121,0.098037496,0.0479875,0.010618131,0.0016539326,0.005852049
