system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679998249019,1178237366692856,6.602,5.855,4.275
1679998249019,1178237369194779,6.607,5.855,4.268
1679998249019,1178237371696932,6.612,5.855,4.262
1679998249019,1178237374199101,6.616,5.855,4.255
1679998249032,1178237376701178,6.621,5.854,4.247
1679998249032,1178237379203332,6.628,5.859,4.23
1679998249033,1178237381705486,6.633,5.86,4.222
1679998249033,1178237384207423,6.637,5.86,4.214
1679998249033,1178237386709577,6.642,5.86,4.207
1679998249035,1178237389211654,6.647,5.86,4.199
1679998249037,1178237391713885,6.651,5.861,4.191
1679998249041,1178237394216038,6.656,5.861,4.184
1679998249042,1178237396718110,6.663,5.867,4.164
1679998249044,1178237399220033,6.667,5.868,4.156
1679998249047,1178237401722187,6.672,5.869,4.147
1679998249049,1178237404224264,6.676,5.869,4.14
1679998249051,1178237406726437,6.68,5.87,4.131
1679998249054,1178237409228668,6.685,5.871,4.123
1679998249058,1178237411730745,6.689,5.872,4.115
1679998249059,1178237414232899,6.694,5.874,4.102
1679998249064,1178237416734822,6.699,5.876,4.093
1679998249065,1178237419236976,6.702,5.878,4.085
1679998249068,1178237421739129,6.706,5.88,4.076
1679998249070,1178237424241283,6.709,5.882,4.067
1679998249074,1178237426743365,6.713,5.884,4.059
1679998249074,1178237429245519,6.716,5.886,4.05
1679998249077,1178237431747673,6.723,5.886,4.038
1679998249079,1178237434249596,6.726,5.889,4.029
1679998249082,1178237436751750,6.73,5.891,4.02
1679998249084,1178237439253817,6.733,5.895,4.01
1679998249087,1178237441756048,6.736,5.898,4.0
1679998249092,1178237444258124,6.738,5.901,3.991
1679998249093,1178237446760278,6.741,5.905,3.981
1679998249094,1178237449262403,6.751,5.903,3.967
1679998249098,1178237451764326,6.755,5.906,3.956
1679998249099,1178237454266403,6.757,5.91,3.946
1679998249103,1178237456768557,6.76,5.913,3.935
1679998249108,1178237459270788,6.763,5.917,3.925
1679998249108,1178237461772865,6.765,5.921,3.914
1679998249110,1178237464274788,6.768,5.925,3.903
1679998249112,1178237466776942,6.783,5.914,3.894
1679998249116,1178237469279096,6.787,5.917,3.883
1679998249120,1178237471781163,6.789,5.921,3.873
1679998249120,1178237474283394,6.791,5.926,3.863
1679998249125,1178237476785471,6.793,5.931,3.853
1679998249126,1178237479287625,6.794,5.935,3.843
1679998249127,1178237481789509,6.795,5.94,3.834
1679998249130,1178237484291663,6.801,5.934,3.832
1679998249132,1178237486793817,6.803,5.938,3.823
1679998249134,1178237489295894,6.804,5.944,3.813
1679998249136,1178237491798154,6.805,5.949,3.801
1679998249143,1178237494300230,6.808,5.954,3.789
1679998249144,1178237496802384,6.81,5.959,3.777
1679998249146,1178237499304307,6.814,5.963,3.764
1679998249147,1178237501806442,6.807,5.98,3.749
1679998249151,1178237504308519,6.81,5.985,3.736
1679998249152,1178237506810673,6.814,5.988,3.724
1679998249154,1178237509312827,6.818,5.991,3.711
1679998249159,1178237511814981,6.822,5.994,3.699
1679998249160,1178237514317150,6.827,5.996,3.687
1679998249162,1178237516819073,6.831,5.998,3.676
1679998249164,1178237519321150,6.826,6.009,3.668
1679998249167,1178237521823303,6.829,6.012,3.657
1679998249169,1178237524325534,6.834,6.013,3.646
1679998249174,1178237526827683,6.838,6.015,3.635
1679998249174,1178237529329760,6.843,6.016,3.625
1679998249176,1178237531831683,6.847,6.017,3.615
1679998249181,1178237534333833,6.852,6.018,3.604
1679998249185,1178237536835987,6.86,6.015,3.594
1679998249186,1178237539338064,6.865,6.015,3.584
1679998249188,1178237541840294,6.869,6.017,3.574
1679998249194,1178237544342356,6.873,6.018,3.563
1679998249195,1178237546844510,6.877,6.019,3.553
1679998249197,1178237549346433,6.882,6.02,3.543
1679998249198,1178237551848587,6.886,6.022,3.533
1679998249200,1178237554350654,6.896,6.017,3.522
1679998249202,1178237556852885,6.9,6.017,3.512
1679998249204,1178237559354962,6.904,6.019,3.502
1679998249209,1178237561857116,6.908,6.02,3.492
1679998249210,1178237564359270,6.912,6.022,3.482
1679998249212,1178237566861213,6.915,6.023,3.472
