system_ts_ms, sensor_ts_ns, gyrXr, gyrYr, gyrZr, gyrDXr, gyrDYr, gyrDZr
1680008971737,1188960092434496,0.018975,-9.625E-4,-0.00495,0.01342438,0.0023220873,0.006070948
1680008971743,1188960094936650,0.0199375,0.00495,-0.00605,0.01342438,0.0023220873,0.006070948
1680008971743,1188960097438804,0.0210375,0.00605,-0.011,0.01342438,0.0023220873,0.006070948
1680008971746,1188960099941175,0.0210375,0.0070125,-0.0089375,0.01342438,0.0023220873,0.006070948
1680008971748,1188960102443329,0.0210375,0.0089375,-0.0100375,0.01342438,0.0023220873,0.006070948
1680008971750,1188960104945483,0.0229625,0.0119624995,-0.011,0.01342438,0.0023220873,0.006070948
1680008971755,1188960107447622,0.025024999,0.014025,-0.0119624995,0.01342438,0.0023220873,0.006070948
1680008971760,1188960109949776,0.0290125,0.0119624995,-0.014025,0.01342438,0.0023220873,0.006070948
1680008971760,1188960112451699,0.025024999,0.0199375,-0.0119624995,0.01342438,0.0023220873,0.006070948
1680008971761,1188960114953853,0.0259875,0.022,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971762,1188960117456238,0.033,0.022,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971765,1188960119958377,0.0309375,0.0259875,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971767,1188960122460530,0.0339625,0.0309375,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971770,1188960124962684,0.033,0.0350625,-0.014025,0.01342438,0.0023220873,0.006070948
1680008971776,1188960127464838,0.0339625,0.0320375,-0.0149875,0.01342438,0.0023220873,0.006070948
1680008971777,1188960129966992,0.0339625,0.029975,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971777,1188960132469151,0.033,0.0320375,-0.0149875,0.01342438,0.0023220873,0.006070948
1680008971781,1188960134971305,0.0339625,0.0309375,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971782,1188960137473459,0.0350625,0.033,-0.013062499,0.01342438,0.0023220873,0.006070948
1680008971785,1188960139975612,0.0320375,0.033,-0.013062499,0.01342438,0.0023220873,0.006070948
