system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680008972524,1188960877937196,1.9125,-24.300001,-29.5125
1680008972534,1188960887936941,1.85625,-24.487501,-29.400002
1680008972543,1188960897930273,2.0812502,-24.487501,-29.343752
1680008972552,1188960907922792,2.5125,-24.487501,-29.156252
1680008972563,1188960917918512,2.8125,-24.54375,-29.156252
1680008972572,1188960927915742,3.1125002,-24.6,-29.156252
1680008972584,1188960937906738,3.24375,-24.843752,-28.85625
1680008972592,1188960947907815,3.35625,-25.143751,-28.612501
1680008972603,1188960957908910,3.6000001,-25.143751,-28.800001
1680008972613,1188960967911155,3.8437502,-25.143751,-28.9125
1680008972624,1188960977916843,3.6562502,-25.2,-29.081251
1680008972634,1188960987911390,3.24375,-25.312502,-29.212502
1680008972642,1188960997914639,2.7562501,-25.3875,-29.400002
1680008972652,1188961007917567,2.7,-25.312502,-29.5125
1680008972663,1188961017919869,2.5125,-25.087502,-29.7
1680008972672,1188961027922176,2.3812501,-24.843752,-29.643751
1680008972682,1188961037915560,2.2125,-24.6,-29.5125
1680008972695,1188961047920233,2.04375,-24.54375,-29.643751
1680008972702,1188961057922339,2.325,-24.6,-29.5125
1680008972712,1188961067924098,2.7,-24.6,-29.456251
1680008972722,1188961077934982,3.05625,-24.6,-29.400002
1680008972734,1188961087912583,3.05625,-24.54375,-29.5125
1680008972743,1188961097928712,3.05625,-24.487501,-29.7
1680008972752,1188961107924409,2.9250002,-24.487501,-29.7
1680008972762,1188961117910082,2.7562501,-24.487501,-29.7
1680008972772,1188961127917764,2.5125,-24.4125,-29.7
1680008972782,1188961137898106,2.325,-24.300001,-29.7
1680008972792,1188961147900240,2.3812501,-24.187502,-29.643751
1680008972802,1188961157911206,2.4562502,-24.0,-29.5125
1680008972813,1188961167913283,2.3812501,-24.187502,-29.343752
1680008972823,1188961177916628,2.325,-24.300001,-29.081251
1680008972833,1188961187909970,2.325,-24.243752,-29.212502
1680008972844,1188961197919753,2.325,-24.187502,-29.400002
1680008972856,1188961207922099,2.5125,-24.187502,-29.400002
1680008972862,1188961217916641,2.7562501,-24.187502,-29.400002
1680008972872,1188961227919934,2.6437502,-24.243752,-29.5125
1680008972883,1188961237905533,2.4562502,-24.300001,-29.7
1680008972892,1188961247894730,2.5125,-24.487501,-29.456251
1680008972902,1188961257903383,2.6437502,-24.6,-29.212502
1680008972912,1188961267904306,2.4562502,-24.6,-29.081251
1680008972924,1188961277906531,2.325,-24.6,-28.9125
1680008972934,1188961287913785,2.3812501,-24.6,-28.9125
1680008972943,1188961297908381,2.4562502,-24.6,-28.9125
1680008972952,1188961307912577,2.7,-24.54375,-28.85625
1680008972964,1188961317914707,2.9250002,-24.487501,-28.800001
1680008972972,1188961327916813,3.05625,-24.487501,-28.9125
1680008972983,1188961337918736,3.24375,-24.487501,-29.081251
1680008972993,1188961347927322,3.54375,-24.6,-29.343752
1680008973003,1188961357929359,3.8437502,-24.7875,-29.5125
1680008973016,1188961367931474,3.6000001,-24.7875,-29.212502
1680008973022,1188961377933858,3.35625,-24.7875,-28.9125
1680008973034,1188961387910387,3.24375,-24.900002,-28.85625
1680008973045,1188961397897209,3.05625,-25.087502,-28.800001
1680008973053,1188961407891777,3.0,-24.900002,-28.612501
1680008973063,1188961417864315,2.9250002,-24.7875,-28.500002
1680008973072,1188961427875949,2.8125,-24.843752,-28.2
1680008973082,1188961437885775,2.7562501,-24.900002,-27.900002
1680008973092,1188961447895650,2.9250002,-24.900002,-28.0125
1680008973102,1188961457919640,3.05625,-24.900002,-28.2
1680008973112,1188961467921942,2.9250002,-25.0125,-28.25625
1680008973122,1188961477916384,2.7562501,-25.087502,-28.312502
1680008973133,1188961487910768,2.4562502,-25.087502,-28.556252
1680008973144,1188961497912773,2.15625,-25.087502,-28.800001
1680008973152,1188961507914792,2.0812502,-25.0125,-28.743752
1680008973162,1188961517916888,2.04375,-24.900002,-28.612501
1680008973172,1188961527919364,2.15625,-24.843752,-28.800001
1680008973183,1188961537921536,2.325,-24.7875,-28.9125
1680008973192,1188961547915997,2.6437502,-24.54375,-28.743752
1680008973203,1188961557918164,2.9250002,-24.300001,-28.500002
1680008973212,1188961567925702,3.3000002,-24.487501,-28.556252
1680008973223,1188961577920217,3.6562502,-24.6,-28.612501
1680008973233,1188961587891428,3.6562502,-24.4125,-28.800001
1680008973243,1188961597893764,3.6562502,-24.187502,-28.9125
1680008973254,1188961607890406,3.6000001,-24.243752,-28.9125
1680008973263,1188961617892580,3.54375,-24.300001,-28.9125
1680008973272,1188961627925642,3.3000002,-24.54375,-28.9125
1680008973282,1188961637927642,3.05625,-24.7875,-28.9125
1680008973294,1188961647921949,3.0,-24.6,-28.9125
1680008973303,1188961657926890,2.9250002,-24.487501,-28.9125
1680008973315,1188961667909755,3.0,-24.7875,-28.9125
1680008973323,1188961677904221,3.05625,-25.087502,-28.9125
1680008973334,1188961687913957,3.05625,-25.2,-28.800001
1680008973343,1188961697913269,3.05625,-25.3875,-28.612501
1680008973352,1188961707901417,2.9250002,-25.087502,-29.04375
1680008973363,1188961717903719,2.7562501,-24.7875,-29.400002
1680008973373,1188961727907997,2.7,-24.6,-29.456251
1680008973382,1188961737880930,2.6437502,-24.487501,-29.5125
1680008973395,1188961747908746,2.8125,-24.300001,-29.5125
1680008973403,1188961757891577,3.05625,-24.187502,-29.5125
1680008973414,1188961767861322,3.05625,-24.112501,-29.7
1680008973423,1188961777886572,3.05625,-24.0,-29.812502
1680008973433,1188961787888677,3.54375,-24.300001,-29.643751
1680008973445,1188961797902278,3.9562502,-24.6,-29.400002
1680008973453,1188961807919393,4.0125003,-24.712502,-29.212502
1680008973462,1188961817912363,4.14375,-24.7875,-29.081251
1680008973475,1188961827906829,3.8437502,-24.843752,-29.081251
1680008973483,1188961837911199,3.54375,-24.900002,-29.081251
1680008973492,1188961847905694,3.4125001,-24.843752,-28.9125
1680008973502,1188961857911871,3.35625,-24.7875,-28.800001
1680008973512,1188961867922418,3.1125002,-24.900002,-28.800001
1680008973524,1188961877914725,2.9250002,-25.087502,-28.800001
1680008973534,1188961887890619,3.0,-25.143751,-28.800001
1680008973542,1188961897888739,3.05625,-25.2,-28.800001
1680008973552,1188961907882695,3.3000002,-25.3875,-28.800001
1680008973563,1188961917892508,3.54375,-25.500002,-28.800001
1680008973573,1188961927920834,3.6000001,-25.687502,-28.743752
1680008973582,1188961937915382,3.6562502,-25.800001,-28.612501
1680008973594,1188961947917286,3.6000001,-25.612501,-28.743752
1680008973603,1188961957911747,3.54375,-25.3875,-28.800001
1680008973613,1188961967913977,3.24375,-25.425001,-28.800001
1680008973623,1188961977916111,2.9250002,-25.500002,-28.800001
1680008973634,1188961987882428,2.9250002,-25.3875,-28.85625
1680008973643,1188961997884571,2.9250002,-25.2,-28.9125
1680008973652,1188962007886624,3.0,-25.143751,-28.9125
1680008973662,1188962017888806,3.05625,-25.087502,-28.9125
1680008973673,1188962027919075,3.05625,-25.143751,-28.85625
1680008973683,1188962037913589,3.05625,-25.2,-28.800001
1680008973693,1188962047908214,3.3000002,-25.312502,-28.500002
1680008973706,1188962057902661,3.54375,-25.3875,-28.2
1680008973713,1188962067904892,3.54375,-25.425001,-27.900002
1680008973725,1188962077906997,3.54375,-25.500002,-27.581251
1680008973735,1188962087909939,3.35625,-25.500002,-27.4125
1680008973745,1188962097919683,3.24375,-25.500002,-27.300001
1680008973753,1188962107914110,3.35625,-25.3875,-27.300001
1680008973763,1188962117916278,3.54375,-25.2,-27.300001
1680008973773,1188962127917489,3.35625,-25.087502,-27.581251
1680008973783,1188962137883349,3.24375,-24.900002,-27.900002
1680008973793,1188962147885560,3.1125002,-24.7875,-28.25625
1680008973805,1188962157887973,3.05625,-24.6,-28.612501
1680008973816,1188962167890175,3.05625,-24.487501,-28.9125
1680008973823,1188962177905703,3.05625,-24.300001,-29.212502
1680008973835,1188962187876063,3.0,-24.54375,-29.156252
1680008973843,1188962197877991,2.9250002,-24.7875,-29.081251
1680008973854,1188962207880024,2.9250002,-24.7875,-29.04375
1680008973864,1188962217867043,2.9250002,-24.7875,-28.9125
1680008973873,1188962227893245,2.8125,-24.843752,-28.85625
1680008973883,1188962237887744,2.7562501,-24.900002,-28.800001
1680008973895,1188962247882239,2.9250002,-25.087502,-28.743752
1680008973903,1188962257914767,3.05625,-25.2,-28.612501
1680008973914,1188962267916893,3.05625,-25.143751,-28.743752
1680008973923,1188962277919032,3.05625,-25.087502,-28.800001
1680008973933,1188962287896031,3.24375,-25.0125,-28.800001
1680008973943,1188962297890497,3.35625,-24.900002,-28.800001
1680008973954,1188962307892645,3.3000002,-24.843752,-28.425001
1680008973966,1188962317894842,3.24375,-24.7875,-28.0125
1680008973973,1188962327914457,3.0,-24.54375,-27.956251
1680008973983,1188962337916611,2.7562501,-24.300001,-27.900002
1680008973992,1188962347911158,2.7,-24.112501,-27.956251
1680008974003,1188962357905710,2.6437502,-23.8875,-28.0125
1680008974015,1188962367877075,2.4562502,-23.8875,-27.956251
1680008974024,1188962377879242,2.325,-23.8875,-27.900002
1680008974034,1188962387889011,2.3812501,-24.112501,-28.143751
1680008974045,1188962397891126,2.4562502,-24.300001,-28.312502
1680008974053,1188962407918361,2.7,-24.54375,-28.25625
1680008974063,1188962417912928,2.9250002,-24.7875,-28.2
1680008974074,1188962427907432,3.0,-24.843752,-28.2
1680008974084,1188962437894375,3.05625,-24.900002,-28.2
1680008974094,1188962447868058,3.0,-25.0125,-28.2
1680008974107,1188962457870187,2.9250002,-25.087502,-28.2
1680008974114,1188962467872321,3.05625,-25.087502,-28.500002
1680008974124,1188962477882922,3.24375,-25.087502,-28.800001
1680008974134,1188962487898493,3.24375,-25.0125,-29.04375
1680008974143,1188962497900569,3.24375,-24.900002,-29.212502
1680008974153,1188962507895261,3.35625,-25.143751,-29.081251
1680008974164,1188962517897285,3.54375,-25.3875,-28.9125
1680008974173,1188962527904871,3.7125,-25.425001,-28.9125
1680008974183,1188962537899495,3.9562502,-25.500002,-28.9125
1680008974196,1188962547901399,3.9,-25.612501,-28.556252
1680008974203,1188962557907168,3.7125,-25.425001,-28.500002
1680008974214,1188962567909701,3.6000001,-25.425001,-28.556252
1680008974223,1188962577916316,3.4125001,-25.425001,-28.612501
1680008974233,1188962587918440,3.3000002,-25.3875,-28.743752
1680008974243,1188962597916190,3.3000002,-25.312502,-28.743752
1680008974253,1188962607925925,3.35625,-25.3875,-28.743752
1680008974263,1188962617923449,3.3000002,-25.312502,-28.800001
1680008974273,1188962627932126,3.24375,-25.0125,-28.9125
1680008974283,1188962637926577,3.24375,-25.0125,-28.9125
1680008974293,1188962647923966,3.24375,-25.0125,-28.9125
1680008974303,1188962657918476,3.3000002,-25.087502,-28.556252
1680008974314,1188962667906355,3.35625,-25.087502,-28.312502
1680008974323,1188962677908513,3.1125002,-25.0125,-28.500002
1680008974334,1188962687888018,2.9250002,-24.900002,-28.612501
1680008974344,1188962697890133,2.8125,-25.0125,-28.743752
1680008974353,1188962707894267,2.7,-25.143751,-28.800001
1680008974364,1188962717896415,2.6437502,-24.900002,-28.85625
1680008974374,1188962727921444,2.5125,-24.712502,-28.9125
1680008974383,1188962737923598,2.6437502,-24.6,-29.156252
1680008974393,1188962747923776,2.7,-24.54375,-29.400002
1680008974403,1188962757935367,2.6437502,-24.4125,-29.456251
1680008974414,1188962767926313,2.5125,-24.243752,-29.5125
1680008974424,1188962777928510,2.4562502,-23.925001,-29.456251
1680008974433,1188962787907754,2.4562502,-23.587502,-29.400002
1680008974443,1188962797905788,2.5125,-23.643751,-29.156252
1680008974453,1188962807918576,2.6437502,-23.7,-28.9125
1680008974464,1188962817918013,2.6437502,-23.643751,-29.04375
1680008974474,1188962827936373,2.6437502,-23.587502,-29.081251
1680008974483,1188962837902868,2.7,-23.587502,-28.9125
