system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680010222001,1190210355641666,0.043,-0.211,-0.232
1680010222003,1190210358143830,0.038,-0.184,-0.35
1680010222005,1190210360646215,-0.007,-0.13,-0.441
1680010222008,1190210363148446,0.034,-0.145,-0.514
1680010222012,1190210365650599,-0.038,-0.064,-0.509
1680010222013,1190210368152984,-0.153,-0.091,-0.492
1680010222028,1190210370655138,-0.146,-0.037,-0.583
1680010222029,1190210373157292,-0.18,-0.023,-0.607
1680010222029,1190210375659446,-0.283,-0.01,-0.631
1680010222030,1190210378161912,-0.277,0.044,-0.573
1680010222030,1190210380664066,-0.362,0.051,-0.612
1680010222031,1190210383166220,-0.315,0.05,-0.622
1680010222039,1190210385668451,-0.351,0.091,-0.606
1680010222040,1190210388170589,-0.389,0.118,-0.441
1680010222040,1190210390672743,-0.399,0.05,-0.657
1680010222041,1190210393175128,-0.437,0.037,-0.547
1680010222041,1190210395677359,-0.463,0.186,-0.559
1680010222043,1190210398179743,-0.495,0.204,-0.584
1680010222046,1190210400681897,-0.451,0.107,-0.486
1680010222051,1190210403184051,-0.45,-0.001,-0.513
1680010222052,1190210405686282,-0.464,0.08,-0.5
1680010222053,1190210408188436,-0.397,-0.001,-0.554
1680010222056,1190210410690825,-0.329,-0.042,-0.351
1680010222059,1190210413193056,-0.345,-0.041,-0.501
1680010222060,1190210415695210,-0.173,0.048,-0.426
1680010222067,1190210418197594,-0.16,-0.019,-0.372
1680010222068,1190210420699748,-0.149,0.034,-0.319
1680010222069,1190210423201902,-0.097,-0.06,-0.239
1680010222070,1190210425704364,0.035,-0.128,-0.391
1680010222074,1190210428206518,0.072,-0.032,-0.352
1680010222075,1190210430708671,0.096,-0.046,-0.285
1680010222079,1190210433210820,0.201,-0.01,-0.381
1680010222084,1190210435713051,0.211,-0.051,-0.274
1680010222084,1190210438215205,0.331,-0.051,-0.357
1680010222086,1190210440717590,0.314,-0.024,-0.182
1680010222088,1190210443219845,0.365,0.016,-0.293
1680010222092,1190210445721999,0.458,-0.119,-0.253
1680010222093,1190210448224384,0.441,-0.119,-0.228
1680010222095,1190210450726538,0.403,-0.238,-0.208
1680010222102,1190210453228706,0.482,-0.21,-0.196
1680010222102,1190210455731168,0.48,-0.223,-0.211
1680010222104,1190210458233322,0.546,-0.237,-0.185
1680010222106,1190210460735476,0.422,-0.318,-0.049
1680010222109,1190210463237707,0.462,-0.263,-0.118
1680010222110,1190210465739860,0.488,-0.304,-0.187
1680010222113,1190210468242014,0.45,-0.311,-0.1
1680010222118,1190210470744399,0.421,-0.256,-0.129
1680010222119,1190210473246610,0.448,-0.256,-0.129
1680010222122,1190210475748994,0.476,-0.188,-0.142
1680010222123,1190210478251148,0.408,-0.215,-0.278
1680010222126,1190210480753302,0.436,-0.147,-0.291
1680010222129,1190210483255533,0.437,-0.174,-0.318
1680010222134,1190210485757687,0.444,-0.162,-0.321
1680010222135,1190210488260071,0.322,-0.176,-0.334
1680010222136,1190210490762302,0.337,-0.108,-0.334
1680010222140,1190210493264437,0.311,-0.081,-0.387
1680010222141,1190210495766591,0.19,0.0,-0.209
1680010222143,1190210498268975,0.233,-0.081,-0.317
1680010222145,1190210500771129,0.139,-0.095,-0.275
1680010222151,1190210503273360,0.182,-0.019,-0.408
1680010222151,1190210505775519,0.102,-0.047,-0.339
1680010222153,1190210508277903,0.063,-0.047,-0.351
1680010222156,1190210510780057,-0.003,0.02,-0.364
1680010222159,1190210513282288,-0.11,-0.088,-0.281
1680010222161,1190210515784437,-0.068,-0.021,-0.307
1680010222164,1190210518286821,-0.12,0.033,-0.279
1680010222169,1190210520789052,-0.136,0.027,-0.448
1680010222169,1190210523291206,-0.093,-0.041,-0.242
1680010222171,1190210525793345,-0.119,-0.055,-0.336
1680010222173,1190210528295730,-0.186,-0.082,-0.24
1680010222177,1190210530797883,-0.048,-0.042,-0.239
1680010222179,1190210533300114,-0.21,-0.083,-0.211
1680010222187,1190210535802509,-0.06,-0.07,-0.292
1680010222187,1190210538304663,-0.053,-0.083,-0.261
1680010222187,1190210540806893,0.016,-0.043,-0.192
1680010222189,1190210543309047,-0.01,-0.098,-0.233
1680010222191,1190210545811201,0.017,-0.084,-0.232
1680010222193,1190210548313572,0.072,-0.126,-0.218
1680010222195,1190210550815803,0.168,-0.058,-0.176
1680010222203,1190210553317956,0.101,-0.045,-0.149
1680010222203,1190210555820110,0.048,-0.111,-0.094
1680010222204,1190210558322499,0.089,-0.111,-0.135
1680010222206,1190210560824653,0.158,-0.07,0.042
1680010222209,1190210563326807,0.2,-0.071,-0.093
1680010222212,1190210565829268,0.16,-0.167,-0.16
1680010222218,1190210568331437,0.215,-0.099,-0.2
