system_ts_ms, sensor_ts_ns, accX, accY, accZ
1680000639277,1180627632618320,2.9269502,3.2719502,9.153001
1680000639279,1180627635120180,2.88105,3.2440503,9.048
1680000639283,1180627637622334,2.913,3.2220001,9.022051
1680000639284,1180627640124257,2.94105,3.2989502,9.049951
1680000639287,1180627642626411,3.0010502,3.2650502,9.052951
1680000639289,1180627645128253,3.01095,3.34905,8.99295
1680000639292,1180627647630330,2.9250002,3.28005,8.95695
1680000639294,1180627650132253,2.83605,3.2770503,9.05805
1680000639299,1180627652634407,2.87205,3.3300002,9.049951
1680000639301,1180627655136262,2.87205,3.2389503,9.036
1680000639303,1180627657638339,2.8530002,3.3660002,9.096001
1680000639305,1180627660140262,2.838,3.2920501,9.02595
1680000639308,1180627662642339,2.90295,3.3280501,9.012
1680000639310,1180627665144262,2.7829502,3.2719502,8.988001
1680000639312,1180627667646426,2.9170501,3.21495,8.976001
1680000639314,1180627670148503,2.84505,3.3229501,9.049951
1680000639320,1180627672650349,2.8240502,3.28005,8.955001
1680000639320,1180627675152272,2.7520502,3.31095,9.043051
1680000639322,1180627677654329,2.901,3.3300002,9.120001
1680000639324,1180627680156252,2.76195,3.2320502,8.95695
1680000639328,1180627682658329,2.93595,3.2580001,9.048
1680000639329,1180627685160483,2.8330503,3.2370002,9.1060505
1680000639336,1180627687662406,2.8930502,3.1669502,9.04605
1680000639336,1180627690164464,2.90505,3.3319502,9.085951
1680000639339,1180627692666310,2.9250002,3.25605,8.95905
1680000639341,1180627695168233,2.901,3.177,9.14595
1680000639343,1180627697670291,2.8620002,3.3010502,9.09105
1680000639345,1180627700172445,2.9940002,3.21,9.1369505
1680000639348,1180627702674368,3.0300002,3.213,9.117001
1680000639350,1180627705176445,3.0229502,3.2410502,9.022051
1680000639352,1180627707678368,3.04695,3.318,9.175051
1680000639358,1180627710180450,3.0370502,3.15,9.30405
1680000639358,1180627712682296,3.1020002,3.15,9.148951
1680000639359,1180627715184219,3.0990002,3.1960502,9.07905
1680000639362,1180627717686373,3.1380002,3.1890001,9.06705
1680000639365,1180627720188450,2.9940002,3.2290502,9.043051
1680000639371,1180627722690373,3.0679502,3.3010502,9.09795
1680000639371,1180627725192219,3.075,3.2389503,9.040951
1680000639372,1180627727694296,3.07095,3.246,9.10305
1680000639376,1180627730196204,3.08505,3.186,9.141001
1680000639379,1180627732698358,3.0730503,3.2250001,9.11295
1680000639381,1180627735200435,3.1039503,3.318,9.085951
1680000639384,1180627737702358,3.07095,3.1980002,9.07905
1680000639386,1180627740204204,3.0540001,3.2269502,9.1699505
1680000639387,1180627742706277,3.07995,3.2389503,9.181951
1680000639389,1180627745208200,3.1300502,3.2580001,9.06705
1680000639392,1180627747710354,3.039,3.17895,9.0379505
1680000639394,1180627750212431,3.0679502,3.213,9.022051
1680000639397,1180627752714334,3.1300502,3.1740003,9.09105
1680000639400,1180627755216411,3.0730503,3.22005,9.12705
1680000639402,1180627757718334,3.08295,3.2220001,9.10995
1680000639404,1180627760220181,3.114,3.153,9.120001
1680000639407,1180627762722243,3.0540001,3.2029502,9.09105
1680000639409,1180627765224397,3.0589502,3.186,9.1060505
1680000639413,1180627767726320,3.0199502,3.1720502,9.096001
1680000639417,1180627770228397,3.1039503,3.2290502,9.12495
1680000639419,1180627772730329,3.04395,3.1960502,9.07005
1680000639421,1180627775232406,3.0679502,3.1600502,9.132
1680000639423,1180627777734329,3.0370502,3.1890001,8.988001
1680000639424,1180627780236406,3.13995,3.21,9.10305
1680000639427,1180627782738329,3.0949502,3.117,9.043051
1680000639429,1180627785240397,3.04695,3.1290002,8.976001
1680000639432,1180627787742320,3.0900002,3.1579502,9.12705
1680000639435,1180627790244397,3.0660002,3.081,9.08895
1680000639438,1180627792746320,2.9959502,3.0880501,9.096001
1680000639439,1180627795248397,3.0870001,3.22005,9.165
1680000639442,1180627797750315,3.0660002,3.078,9.144
1680000639444,1180627800252392,3.07995,3.1690502,9.003
1680000639447,1180627802754315,3.0730503,3.177,9.040951
1680000639451,1180627805256387,3.1039503,3.117,9.06495
1680000639453,1180627807758541,3.078,3.1240501,9.117001
1680000639455,1180627810260464,3.17595,3.081,9.040951
1680000639458,1180627812762310,3.15,3.1360502,9.08895
1680000639460,1180627815264387,3.15405,3.2389503,9.06495
1680000639462,1180627817766320,3.1639502,3.2370002,9.04605
1680000639465,1180627820268397,3.1710002,3.1290002,9.07695
1680000639468,1180627822770551,3.1879501,3.1240501,8.955001
1680000639470,1180627825272397,3.1999502,3.1260002,9.085951
1680000639472,1180627827774311,3.15,3.14295,9.06705
1680000639475,1180627830276387,3.13995,3.1189501,9.11505
1680000639478,1180627832778311,3.0970502,3.0859501,9.084001
1680000639480,1180627835280387,3.1020002,3.0550501,9.052951
1680000639484,1180627837782311,3.1980002,3.1309502,8.998051
1680000639484,1180627840284358,3.1639502,3.22005,9.12495
1680000639489,1180627842786282,3.1350002,3.114,9.040951
1680000639492,1180627845288358,3.10905,3.153,8.93295
1680000639493,1180627847790282,3.1020002,3.1240501,9.019051
1680000639494,1180627850292393,3.1039503,3.1600502,9.0
1680000639498,1180627852794317,3.1350002,3.1720502,9.07905
1680000639500,1180627855296470,3.1620002,3.17895,9.07695
1680000639502,1180627857798547,3.1570501,3.2440503,9.06
1680000639505,1180627860300384,3.1020002,3.1620002,8.96205
1680000639507,1180627862802307,3.1020002,3.1909502,8.96895
1680000639509,1180627865304384,3.006,3.21495,9.10095
1680000639512,1180627867806307,3.051,3.17895,9.07905
1680000639514,1180627870308460,3.1519501,3.1620002,9.049951
1680000639518,1180627872810556,3.1590002,3.14295,9.172951
1680000639519,1180627875312479,3.111,3.10695,9.085951
1680000639522,1180627877814556,3.1300502,3.10995,9.08205
1680000639526,1180627880316399,3.1980002,3.18405,9.11295
1680000639528,1180627882818322,3.04905,3.0570002,9.07905
1680000639530,1180627885320399,3.21,3.1000502,9.11505
1680000639532,1180627887822552,3.11805,3.14595,9.096001
1680000639535,1180627890324476,3.1950002,3.1930501,9.08205
1680000639538,1180627892826547,3.2290502,3.153,9.09405
1680000639540,1180627895328471,3.1999502,3.0930002,8.99295
1680000639542,1180627897830317,3.219,3.1189501,9.06
1680000639544,1180627900332394,3.15405,3.078,9.10095
1680000639547,1180627902834547,3.21705,3.1650002,8.943001
1680000639550,1180627905336471,3.2380502,3.14805,9.012
1680000639552,1180627907838547,3.2239501,3.18405,9.052951
1680000639555,1180627910340471,3.2910001,3.2290502,9.12195
1680000639557,1180627912842547,3.2209501,3.1290002,9.181951
1680000639559,1180627915344452,3.25005,3.15,9.07695
1680000639563,1180627917846298,3.28395,3.1240501,9.14595
1680000639566,1180627920348452,3.2290502,3.14595,9.12495
1680000639568,1180627922850529,3.24795,3.03795,9.012
1680000639571,1180627925352456,3.3010502,3.1219501,9.07695
1680000639573,1180627927854533,3.1740003,3.0859501,9.12705
1680000639575,1180627930356456,3.2020502,3.078,9.055051
1680000639578,1180627932858302,3.1879501,3.1549501,9.117001
1680000639580,1180627935360686,3.25005,3.1309502,9.07695
