system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680013190819,1193179167410720,0.387,0.054,0.169
1680013190819,1193179169912566,0.439,-0.054,0.074
1680013190819,1193179172414720,0.587,0.054,0.142
1680013190820,1193179174916796,0.49,0.014,0.088
1680013190822,1193179177418945,0.42,0.014,0.129
1680013190824,1193179179920868,0.445,0.03,0.212
1680013190834,1193179182422945,0.374,-0.01,0.13
1680013190834,1193179184925099,0.304,0.044,0.13
1680013190835,1193179187427022,0.344,0.126,0.239
1680013190836,1193179189929099,0.248,0.016,0.199
1680013190838,1193179192431022,0.262,0.084,0.171
1680013190841,1193179194933176,0.194,0.043,0.185
1680013190844,1193179197435249,0.175,0.109,0.118
1680013190845,1193179199937172,0.053,0.136,0.064
1680013190847,1193179202439249,0.053,0.19,0.023
1680013190850,1193179204941403,0.026,0.149,0.132
1680013190853,1193179207443345,-0.081,0.23,-0.057
1680013190855,1193179209945499,-0.162,0.093,0.051
1680013190857,1193179212447576,-0.107,0.188,0.105
1680013190863,1193179214949499,-0.128,0.142,0.011
1680013190863,1193179217451576,-0.114,0.046,-0.028
1680013190864,1193179219953504,-0.072,0.059,-0.001
1680013190868,1193179222455658,-0.112,0.004,-0.083
1680013190870,1193179224957812,-0.098,-0.022,-0.028
1680013190872,1193179227459889,-0.084,-0.118,-0.014
1680013190879,1193179229961826,-0.097,-0.091,-0.014
1680013190879,1193179232463903,-0.067,-0.075,0.025
1680013190880,1193179234965826,-0.122,-0.13,0.052
1680013190884,1193179237467903,-0.204,-0.171,0.025
1680013190885,1193179239970056,-0.164,-0.048,-0.001
1680013190887,1193179242472191,-0.247,-0.049,0.052
1680013190890,1193179244974114,-0.234,0.032,0.025
1680013190895,1193179247476191,-0.318,0.032,-0.055
1680013190895,1193179249978114,-0.309,0.044,0.011
1680013190897,1193179252480176,-0.31,0.071,0.025
1680013190900,1193179254982330,-0.285,0.058,0.025
1680013190902,1193179257484253,-0.192,0.153,-0.001
1680013190904,1193179259986407,-0.195,0.126,0.067
1680013190907,1193179262488460,-0.144,0.194,0.095
1680013190911,1193179264990383,-0.066,0.098,0.054
1680013190914,1193179267492460,-0.014,0.109,0.083
1680013190916,1193179269994383,-0.059,0.15,-0.025
1680013190918,1193179272496523,0.045,0.136,0.002
1680013190922,1193179274998600,0.054,0.109,0.016
1680013190924,1193179277500754,0.077,0.163,0.098
1680013190929,1193179280002677,0.128,0.041,0.072
1680013190929,1193179282504754,0.124,0.095,0.236
1680013190930,1193179285006682,0.116,0.095,0.209
1680013190933,1193179287508759,0.03,0.149,0.142
1680013190935,1193179290010913,0.135,0.122,0.224
1680013190937,1193179292513066,0.091,0.095,0.02
1680013190940,1193179295014990,0.1,0.04,0.089
1680013190946,1193179297517056,0.083,0.054,0.198
1680013190946,1193179300018980,0.011,0.135,0.253
1680013190947,1193179302521056,0.074,0.172,0.105
1680013190952,1193179305022985,0.057,0.144,0.215
1680013190953,1193179307525138,0.04,0.185,0.229
1680013190955,1193179310027292,0.078,0.185,0.134
1680013190957,1193179312529138,0.049,0.089,0.08
1680013190962,1193179315031292,0.087,0.171,0.203
1680013190963,1193179317533383,0.098,0.144,0.176
1680013190965,1193179320035306,0.067,0.141,0.164
1680013190967,1193179322537460,0.065,0.113,0.219
1680013190970,1193179325039556,0.036,0.236,0.246
1680013190973,1193179327541479,0.116,0.113,0.151
1680013190979,1193179330043633,0.114,0.167,0.152
1680013190980,1193179332545710,0.14,0.194,0.206
1680013190980,1193179335047633,0.043,0.167,0.139
1680013190982,1193179337549787,0.173,0.138,0.235
1680013190985,1193179340051864,0.185,0.097,0.208
1680013190989,1193179342553787,0.088,0.097,0.086
1680013190992,1193179345055864,0.142,0.137,0.195
1680013190995,1193179347558009,0.14,0.178,0.182
1680013190995,1193179350059932,0.167,0.11,0.141
1680013190997,1193179352562009,0.125,0.123,0.155
1680013191000,1193179355064163,0.094,0.175,0.224
1680013191003,1193179357566086,0.093,0.12,0.252
1680013191005,1193179360068148,0.134,0.161,0.239
1680013191007,1193179362570071,0.052,0.201,0.28
1680013191011,1193179365072455,0.106,0.201,0.13
1680013191014,1193179367574301,0.024,0.106,0.184
1680013191015,1193179370076441,0.01,0.119,0.225
1680013191018,1193179372578364,-0.029,0.13,0.131
1680013191020,1193179375080441,-0.07,0.103,0.049
1680013191023,1193179377582364,-0.07,0.157,0.226
1680013191028,1193179380084484,-0.043,0.198,0.117
1680013191028,1193179382586638,0.011,0.143,0.158
1680013191030,1193179385088484,0.038,0.211,0.213
1680013191033,1193179387590561,0.065,0.198,0.213
1680013191035,1193179390092715,-0.015,0.101,0.159
1680013191037,1193179392594663,-0.015,0.115,0.118
1680013191040,1193179395096740,-0.029,0.087,0.213
1680013191045,1193179397598894,-0.07,0.128,0.159
1680013191045,1193179400100817,-0.084,0.115,0.145
1680013191047,1193179402602976,-0.03,0.21,0.241
1680013191053,1193179405104822,-0.057,0.101,0.104
1680013191054,1193179407606976,-0.068,0.166,0.173
1680013191055,1193179410109053,-0.027,0.193,0.228
1680013191057,1193179412611207,-0.014,0.18,0.255
1680013191062,1193179415113130,-0.055,0.112,0.255
1680013191064,1193179417615207,-0.055,0.167,0.187
1680013191066,1193179420117360,-0.055,0.112,0.173
1680013191068,1193179422619202,-0.028,0.126,0.255
1680013191070,1193179425121355,-0.014,0.204,0.161
1680013191073,1193179427623279,-0.082,0.19,0.188
1680013191076,1193179430125432,-0.041,0.217,0.256
1680013191079,1193179432627537,-0.123,0.191,0.147
1680013191080,1193179435129460,-0.069,0.177,0.175
1680013191083,1193179437631537,-0.042,0.15,0.229
1680013191085,1193179440133691,-0.015,0.082,0.202
