system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680019717437,1199705788252984,0.203511,0.127157,0.730584,0.639265
1680019717438,1199705790755138,0.203289,0.127303,0.730711,0.639162
1680019717438,1199705793257600,0.203041,0.127472,0.730828,0.639073
1680019717440,1199705795759984,0.20279,0.127638,0.730944,0.638987
1680019717444,1199705798262138,0.20256,0.127788,0.731054,0.638904
1680019717456,1199705800764282,0.202343,0.127926,0.731162,0.638821
1680019717457,1199705803266513,0.202141,0.128047,0.731269,0.638739
1680019717457,1199705805768667,0.202166,0.127921,0.730505,0.63963
1680019717458,1199705808271051,0.202011,0.128006,0.730598,0.639556
1680019717459,1199705810773282,0.201868,0.128063,0.730699,0.639474
1680019717459,1199705813275677,0.201748,0.128101,0.730799,0.63939
1680019717461,1199705815777831,0.201655,0.128118,0.730899,0.639302
1680019717465,1199705818279984,0.201584,0.12811,0.730995,0.639216
1680019717465,1199705820782215,0.201527,0.128087,0.731095,0.639123
1680019717468,1199705823284614,0.201378,0.128492,0.731104,0.639079
1680019717470,1199705825786845,0.201527,0.128197,0.730274,0.64004
1680019717473,1199705828288998,0.20152,0.128125,0.730375,0.639941
1680019717475,1199705830791383,0.201529,0.128034,0.730486,0.63983
1680019717478,1199705833293537,0.201546,0.127939,0.730598,0.639715
1680019717483,1199705835795754,0.201563,0.127839,0.73071,0.639602
1680019717484,1199705838297908,0.201589,0.127731,0.73082,0.63949
1680019717486,1199705840800369,0.201565,0.1275,0.730959,0.639385
1680019717488,1199705843302523,0.201598,0.127368,0.731065,0.639279
1680019717490,1199705845804918,0.201895,0.126836,0.729904,0.640617
1680019717493,1199705848307071,0.201951,0.126699,0.729983,0.640536
1680019717495,1199705850809302,0.202012,0.126562,0.730068,0.640446
1680019717499,1199705853311446,0.202085,0.126419,0.730151,0.640357
1680019717501,1199705855813908,0.202168,0.126264,0.730229,0.640273
1680019717503,1199705858316061,0.202564,0.126226,0.730249,0.640132
1680019717506,1199705860818215,0.202684,0.126072,0.730317,0.640047
1680019717508,1199705863320600,0.202769,0.125919,0.730393,0.639964
1680019717511,1199705865822744,0.203188,0.125233,0.728791,0.641789
1680019717513,1199705868324975,0.203283,0.125071,0.72885,0.641724
1680019717517,1199705870827128,0.203375,0.124912,0.728925,0.641641
1680019717520,1199705873329590,0.203468,0.124753,0.729,0.641556
1680019717522,1199705875831749,0.203589,0.124621,0.729069,0.641465
1680019717524,1199705878333903,0.203676,0.124486,0.729146,0.641377
1680019717527,1199705880836287,0.203752,0.124358,0.729227,0.641285
1680019717532,1199705883338518,0.203817,0.124241,0.72931,0.641192
1680019717532,1199705885840696,0.204271,0.123472,0.72733,0.643442
1680019717533,1199705888343081,0.204321,0.123368,0.727394,0.643374
1680019717535,1199705890845311,0.20436,0.123275,0.727478,0.643284
1680019717539,1199705893347696,0.204436,0.123236,0.727551,0.643184
1680019717542,1199705895849845,0.204457,0.123171,0.727638,0.643092
1680019717543,1199705898351999,0.204464,0.12311,0.727724,0.643005
