system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680018818539,1198806887501262,-0.84375006,-9.168751,-40.55625
1680018818545,1198806897477276,-0.65625,-9.243751,-40.36875
1680018818554,1198806907479453,-0.84375006,-9.46875,-40.5
1680018818577,1198806917481611,-0.95625,-9.712501,-40.55625
1680018818579,1198806927484467,-0.90000004,-9.7875,-40.3125
1680018818586,1198806937505212,-0.84375006,-9.84375,-40.068752
1680018818592,1198806947506519,-0.58125,-10.012501,-40.068752
1680018818602,1198806957501115,-0.35625002,-10.125,-40.068752
1680018818613,1198806967502812,-0.28125,-9.95625,-40.2
1680018818624,1198806977509277,-0.24375,-9.712501,-40.256252
1680018818633,1198806987504551,-0.056250002,-9.84375,-40.068752
1680018818642,1198806997514262,0.056250002,-10.012501,-39.956253
1680018818654,1198807007509185,0.24375,-10.012501,-39.881252
1680018818662,1198807017476319,0.35625002,-10.012501,-39.787502
1680018818676,1198807027486078,0.52500004,-9.95625,-39.65625
1680018818682,1198807037480548,0.65625,-9.84375,-39.487503
1680018818692,1198807047475053,0.65625,-10.012501,-39.65625
1680018818702,1198807057515418,0.65625,-10.125,-39.787502
1680018818712,1198807067509913,0.71250004,-9.65625,-39.787502
1680018818727,1198807077512023,0.84375006,-9.1125,-39.787502
1680018818732,1198807087521763,0.84375006,-9.168751,-39.881252
1680018818743,1198807097508531,0.84375006,-9.243751,-39.956253
1680018818752,1198807107510665,0.90000004,-9.356251,-39.881252
1680018818764,1198807117512837,0.95625,-9.4125,-39.787502
1680018818775,1198807127507317,1.1812501,-9.65625,-39.65625
1680018818782,1198807137509485,1.44375,-9.84375,-39.487503
1680018818794,1198807147504061,1.8000001,-10.087501,-39.581253
1680018818803,1198807157498551,2.15625,-10.3125,-39.65625
1680018818812,1198807167500686,2.325,-10.3125,-39.65625
1680018818824,1198807177502810,2.4562502,-10.3125,-39.65625
1680018818833,1198807187504906,2.3812501,-10.3125,-39.65625
1680018818843,1198807197514218,2.325,-10.3125,-39.65625
1680018818853,1198807207517303,2.3812501,-10.25625,-39.65625
1680018818863,1198807217496634,2.4562502,-10.125,-39.65625
1680018818874,1198807227498874,2.2125,-10.387501,-39.581253
1680018818882,1198807237493863,2.04375,-10.6125,-39.487503
1680018818893,1198807247487401,1.85625,-10.6125,-39.7125
1680018818902,1198807257504761,1.7437501,-10.6125,-39.956253
1680018818913,1198807267506813,1.5,-10.25625,-40.3125
1680018818922,1198807277508982,1.25625,-9.84375,-40.6875
1680018818932,1198807287503573,1.0125,-9.7875,-40.85625
1680018818942,1198807297505721,0.84375006,-9.712501,-40.987503
1680018818954,1198807307500245,0.90000004,-9.65625,-40.85625
1680018818962,1198807317494759,0.95625,-9.543751,-40.6875
1680018818973,1198807327504432,1.0125,-9.65625,-40.55625
1680018818982,1198807337506605,1.1437501,-9.712501,-40.36875
1680018818993,1198807347516316,1.3125,-9.95625,-40.2
1680018819002,1198807357518412,1.5562501,-10.125,-39.956253
1680018819013,1198807367520561,1.5562501,-10.125,-39.7125
1680018819022,1198807377499782,1.5562501,-10.125,-39.487503
1680018819032,1198807387486691,1.7437501,-10.25625,-39.487503
1680018819042,1198807397481210,1.85625,-10.3125,-39.487503
1680018819052,1198807407475690,1.85625,-10.3125,-39.65625
1680018819063,1198807417485430,1.85625,-10.3125,-39.787502
1680018819072,1198807427487554,1.7437501,-10.25625,-39.581253
1680018819083,1198807437489665,1.5562501,-10.125,-39.35625
1680018819092,1198807447484193,1.5562501,-10.25625,-39.412502
1680018819104,1198807457486351,1.5562501,-10.3125,-39.487503
1680018819113,1198807467488433,1.1812501,-10.087501,-39.35625
1680018819122,1198807477490577,0.84375006,-9.84375,-39.1875
1680018819133,1198807487492755,0.84375006,-9.65625,-39.1875
1680018819144,1198807497487403,0.84375006,-9.4125,-39.1875
1680018819162,1198807507489580,0.65625,-9.65625,-39.487503
1680018819164,1198807517484118,0.52500004,-9.84375,-39.787502
1680018819172,1198807527486195,0.35625002,-9.95625,-39.956253
1680018819183,1198807537492825,0.24375,-10.012501,-40.068752
1680018819192,1198807547494974,0.52500004,-10.3125,-40.256252
1680018819202,1198807557504724,0.84375006,-10.6125,-40.36875
1680018819213,1198807567506859,0.84375006,-10.856251,-40.2
1680018819223,1198807577505305,0.84375006,-11.043751,-39.956253
1680018819232,1198807587499887,1.1812501,-11.2875,-39.881252
1680018819243,1198807597496728,1.5562501,-11.512501,-39.787502
1680018819254,1198807607475527,1.6125001,-11.34375,-39.65625
1680018819263,1198807617485613,1.7437501,-11.212501,-39.487503
1680018819272,1198807627487628,1.44375,-10.9125,-39.35625
1680018819283,1198807637487493,1.1437501,-10.6125,-39.1875
1680018819293,1198807647498569,1.1437501,-10.6125,-39.1875
1680018819303,1198807657500593,1.1437501,-10.6125,-39.1875
1680018819313,1198807667502742,0.95625,-10.6125,-39.112503
1680018819323,1198807677514665,0.84375006,-10.6125,-39.05625
1680018819332,1198807687503890,0.84375006,-10.6125,-39.0
1680018819342,1198807697504202,0.84375006,-10.6125,-38.86875
1680018819353,1198807707506293,0.95625,-10.743751,-39.112503
1680018819363,1198807717501696,1.1437501,-10.9125,-39.35625
1680018819372,1198807727515855,1.0125,-10.743751,-39.412502
1680018819382,1198807737503451,0.95625,-10.6125,-39.487503
1680018819392,1198807747502123,1.1812501,-10.3125,-39.412502
1680018819404,1198807757493542,1.44375,-10.012501,-39.35625
1680018819413,1198807767506561,1.7437501,-10.012501,-39.412502
1680018819423,1198807777509686,2.04375,-10.012501,-39.487503
1680018819432,1198807787522574,2.15625,-10.012501,-39.1875
1680018819444,1198807797524713,2.325,-10.012501,-38.86875
1680018819453,1198807807531616,2.4562502,-10.012501,-39.0
1680018819464,1198807817532735,2.6437502,-10.012501,-39.05625
1680018819473,1198807827520936,2.3812501,-10.3125,-39.112503
1680018819483,1198807837515397,2.15625,-10.6125,-39.1875
1680018819493,1198807847512637,1.9125,-10.44375,-39.35625
1680018819503,1198807857523546,1.7437501,-10.3125,-39.487503
1680018819513,1198807867501719,1.25625,-10.25625,-39.65625
1680018819522,1198807877507074,0.84375006,-10.125,-39.787502
1680018819532,1198807887503771,0.58125,-10.3125,-39.487503
1680018819542,1198807897507612,0.35625002,-10.44375,-39.1875
1680018819554,1198807907524996,0.28125,-9.712501,-39.412502
1680018819563,1198807917524053,0.28125,-9.356251,-39.581253
1680018819573,1198807927513576,0.24375,-9.356251,-39.581253
1680018819583,1198807937494903,0.112500004,-9.356251,-39.581253
1680018819594,1198807947497292,0.28125,-9.356251,-39.412502
1680018819603,1198807957491865,0.41250002,-9.356251,-39.300003
1680018819614,1198807967496081,0.41250002,-9.168751,-39.412502
1680018819628,1198807977470989,0.41250002,-9.056251,-39.581253
1680018819633,1198807987472916,0.52500004,-9.4125,-39.1875
1680018819643,1198807997482935,0.52500004,-9.4125,-38.86875
1680018819653,1198808007450714,0.52500004,-9.46875,-38.86875
1680018819663,1198808017447411,0.52500004,-9.543751,-38.86875
1680018819672,1198808027449584,0.41250002,-9.46875,-39.300003
1680018819683,1198808037410892,0.35625002,-9.4125,-39.65625
1680018819692,1198808047419338,0.58125,-9.4125,-39.956253
1680018819706,1198808057443227,0.84375006,-9.4125,-40.256252
1680018819714,1198808067407554,0.71250004,-9.543751,-40.5
1680018819723,1198808077439582,0.65625,-9.712501,-40.6875
1680018819733,1198808087433779,0.95625,-9.84375,-40.55625
1680018819742,1198808097441870,1.25625,-10.012501,-40.36875
1680018819753,1198808107457845,1.3125,-9.95625,-40.5
1680018819764,1198808117444455,1.44375,-9.84375,-40.55625
1680018819773,1198808127455604,1.3125,-9.95625,-40.36875
1680018819786,1198808137465368,1.25625,-10.012501,-40.256252
1680018819793,1198808147466291,1.5,-9.7875,-40.36875
1680018819803,1198808157474843,1.7437501,-9.543751,-40.55625
1680018819816,1198808167487679,1.5,-9.356251,-40.612503
1680018819824,1198808177446785,1.25625,-9.1125,-40.6875
1680018819833,1198808187427154,1.44375,-9.056251,-40.55625
1680018819843,1198808197400014,1.5562501,-8.925,-40.36875
1680018819854,1198808207375446,1.5562501,-8.925,-40.36875
1680018819863,1198808217398840,1.5562501,-8.925,-40.36875
1680018819872,1198808227411378,1.44375,-8.925,-40.36875
1680018819883,1198808237415916,1.25625,-8.925,-40.36875
1680018819893,1198808247424560,1.0125,-8.8125,-40.5
1680018819903,1198808257431848,1.0125,-8.8125,-40.55625
1680018819914,1198808267430607,1.0125,-8.887501,-40.612503
1680018819923,1198808277439164,0.95625,-9.056251,-40.612503
1680018819933,1198808287433136,0.90000004,-8.925,-40.612503
1680018819943,1198808297402972,0.84375006,-9.056251,-40.5
1680018819953,1198808307409577,0.84375006,-9.356251,-40.2
1680018819964,1198808317397490,0.90000004,-9.543751,-39.956253
1680018819974,1198808327413874,1.1437501,-9.84375,-39.787502
1680018819984,1198808337419181,0.95625,-9.95625,-39.881252
1680018819993,1198808347428666,0.84375006,-10.012501,-39.956253
1680018820005,1198808357428964,0.90000004,-9.95625,-39.787502
1680018820014,1198808367408973,0.95625,-9.84375,-39.65625
1680018820024,1198808377415521,0.95625,-9.7875,-39.956253
1680018820033,1198808387391194,0.95625,-9.712501,-40.256252
1680018820045,1198808397426813,0.90000004,-9.712501,-40.256252
1680018820054,1198808407467053,0.84375006,-9.712501,-40.256252
1680018820063,1198808417487725,0.90000004,-9.7875,-40.0125
1680018820074,1198808427496345,0.95625,-9.84375,-39.787502
1680018820085,1198808437471715,0.71250004,-9.84375,-39.956253
1680018820093,1198808447440099,0.52500004,-9.84375,-40.068752
1680018820104,1198808457435152,0.52500004,-9.95625,-39.881252
1680018820116,1198808467442398,0.52500004,-10.012501,-39.65625
1680018820124,1198808477463715,0.58125,-10.012501,-39.581253
1680018820133,1198808487477042,0.65625,-10.012501,-39.487503
1680018820143,1198808497478816,0.58125,-9.7875,-39.7125
1680018820155,1198808507488758,0.52500004,-9.543751,-39.956253
1680018820164,1198808517484397,0.65625,-9.65625,-39.956253
1680018820174,1198808527490536,0.84375006,-9.712501,-39.956253
1680018820184,1198808537492440,0.58125,-9.7875,-40.0125
1680018820192,1198808547499199,0.35625002,-9.84375,-40.068752
1680018820204,1198808557501363,0.112500004,-9.7875,-40.2
1680018820215,1198808567504506,-0.056250002,-9.712501,-40.256252
1680018820224,1198808577506948,0.056250002,-10.012501,-39.881252
1680018820232,1198808587501664,0.24375,-10.3125,-39.487503
1680018820243,1198808597503631,0.24375,-10.44375,-39.412502
1680018820253,1198808607504775,0.24375,-10.6125,-39.35625
1680018820263,1198808617502741,0.35625002,-10.668751,-39.412502
1680018820273,1198808627504683,0.52500004,-10.743751,-39.487503
1680018820283,1198808637508994,0.65625,-10.856251,-39.65625
1680018820293,1198808647504671,0.84375006,-10.9125,-39.787502
1680018820304,1198808657502974,0.65625,-10.668751,-39.7125
1680018820313,1198808667505127,0.52500004,-10.44375,-39.65625
1680018820324,1198808677504276,0.71250004,-10.25625,-39.65625
1680018820334,1198808687506467,0.95625,-10.012501,-39.65625
1680018820343,1198808697508620,1.1437501,-9.7875,-39.65625
1680018820352,1198808707503125,1.25625,-9.543751,-39.65625
1680018820363,1198808717506053,1.3125,-9.46875,-39.581253
1680018820373,1198808727508201,1.44375,-9.4125,-39.487503
1680018820383,1198808737510349,1.5,-9.543751,-39.956253
1680018820393,1198808747513710,1.5562501,-9.712501,-40.36875
1680018820404,1198808757508219,1.44375,-9.46875,-40.5
1680018820412,1198808767501724,1.25625,-9.243751,-40.55625
1680018820422,1198808777503906,1.0125,-9.1125,-40.55625
1680018820432,1198808787504839,0.84375006,-8.925,-40.55625
1680018820444,1198808797498136,0.84375006,-8.925,-40.5
1680018820452,1198808807500059,0.84375006,-8.925,-40.36875
1680018820464,1198808817494535,1.0125,-9.056251,-40.3125
1680018820474,1198808827497135,1.25625,-9.1125,-40.256252
1680018820482,1198808837500467,1.1437501,-9.1125,-40.36875
1680018820492,1198808847502553,0.95625,-9.1125,-40.55625
1680018820502,1198808857486548,1.1812501,-9.4125,-40.2
1680018820513,1198808867489390,1.44375,-9.712501,-39.787502
1680018820522,1198808877491543,1.44375,-9.95625,-39.7125
1680018820533,1198808887493686,1.44375,-10.125,-39.65625
1680018820542,1198808897499287,1.3125,-10.087501,-39.487503
1680018820552,1198808907493825,1.25625,-10.012501,-39.35625
