system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679930055436,1110043787358127,0.220705,0.130894,0.724294,0.639963
1679930055437,1110043789860281,0.220769,0.130776,0.724283,0.639977
1679930055437,1110043792362358,0.220835,0.130661,0.724275,0.639988
1679930055439,1110043794864286,0.220895,0.130558,0.724268,0.639996
1679930055442,1110043797366363,0.220947,0.130473,0.72426,0.640004
1679930055444,1110043799868286,0.220992,0.130403,0.724255,0.640009
1679930055447,1110043802370440,0.221033,0.130346,0.724249,0.640013
1679930055457,1110043804872301,0.221069,0.130302,0.724243,0.640015
1679930055457,1110043807374686,0.221095,0.13027,0.72424,0.640017
1679930055457,1110043809876609,0.22111,0.130248,0.724237,0.640019
1679930055457,1110043812378686,0.221115,0.130236,0.724234,0.640023
1679930055459,1110043814880613,0.221106,0.130238,0.724234,0.640026
1679930055462,1110043817382690,0.221091,0.130246,0.724233,0.640031
1679930055466,1110043819884613,0.221064,0.130264,0.724232,0.640038
1679930055468,1110043822386997,0.221023,0.130293,0.724237,0.640041
1679930055471,1110043824888878,0.220977,0.130327,0.724243,0.640042
1679930055473,1110043827391031,0.220928,0.130361,0.72425,0.640045
1679930055475,1110043829892954,0.22087,0.130399,0.724257,0.640049
1679930055478,1110043832395031,0.220811,0.130439,0.724268,0.640049
1679930055484,1110043834896935,0.22075,0.13048,0.724281,0.640046
1679930055484,1110043837399012,0.220686,0.130521,0.724294,0.640046
1679930055486,1110043839901166,0.220625,0.130561,0.724306,0.640045
1679930055487,1110043842403089,0.220565,0.130601,0.724322,0.640039
1679930055490,1110043844905161,0.220501,0.130642,0.724341,0.640032
1679930055492,1110043847407315,0.220439,0.130682,0.724359,0.640024
1679930055495,1110043849909238,0.220378,0.130719,0.724379,0.640016
1679930055501,1110043852411315,0.220318,0.130759,0.724396,0.640009
1679930055503,1110043854913238,0.220261,0.130798,0.724413,0.640001
1679930055503,1110043857415392,0.220205,0.130831,0.724434,0.639989
1679930055506,1110043859917469,0.220151,0.130861,0.724454,0.639979
1679930055508,1110043862419392,0.220097,0.130887,0.724472,0.639972
1679930055511,1110043864921469,0.220043,0.130909,0.72449,0.639966
1679930055513,1110043867423623,0.219996,0.130929,0.724504,0.639962
1679930055518,1110043869925546,0.219958,0.130943,0.724516,0.639959
1679930055519,1110043872427700,0.219917,0.130954,0.724528,0.639957
1679930055521,1110043874929743,0.219885,0.130956,0.724539,0.639956
1679930055523,1110043877431666,0.219853,0.130952,0.724552,0.639953
1679930055526,1110043879933743,0.219825,0.130947,0.724563,0.639951
1679930055528,1110043882435897,0.219803,0.130938,0.724572,0.63995
1679930055534,1110043884937820,0.219785,0.130922,0.72458,0.63995
1679930055534,1110043887439902,0.219777,0.130899,0.724586,0.639951
1679930055535,1110043889941825,0.219775,0.130867,0.724591,0.639953
1679930055537,1110043892443902,0.219778,0.130828,0.724597,0.639953
1679930055541,1110043894945825,0.219782,0.130784,0.724602,0.639954
1679930055543,1110043897448008,0.219932,0.13115,0.724492,0.639953
1679930055545,1110043899950084,0.219957,0.13114,0.724485,0.639953
1679930055551,1110043902452238,0.219977,0.131089,0.724488,0.639954
1679930055551,1110043904954161,0.219999,0.131031,0.72449,0.639957
1679930055552,1110043907456238,0.220019,0.130969,0.72449,0.639962
1679930055554,1110043909958146,0.220043,0.1309,0.724491,0.639967
1679930055557,1110043912460223,0.22007,0.130831,0.724489,0.639973
1679930055560,1110043914962146,0.220199,0.130968,0.724427,0.639971
1679930055562,1110043917464531,0.220236,0.13092,0.724418,0.639979
1679930055570,1110043919966373,0.220263,0.130853,0.724413,0.639989
1679930055570,1110043922468527,0.220292,0.130784,0.72441,0.639996
1679930055571,1110043924970450,0.220324,0.130717,0.724405,0.640005
1679930055573,1110043927472527,0.220354,0.130652,0.724398,0.640015
1679930055576,1110043929974459,0.22038,0.130586,0.724393,0.640025
1679930055579,1110043932476613,0.22063,0.130688,0.724328,0.639992
1679930055585,1110043934978690,0.220681,0.130643,0.724315,0.639999
1679930055585,1110043937480844,0.220704,0.130583,0.724306,0.640014
1679930055586,1110043939982695,0.220727,0.130523,0.724298,0.640026
1679930055588,1110043942484849,0.220749,0.130469,0.724289,0.640041
1679930055591,1110043944986772,0.22077,0.130418,0.724277,0.640056
1679930055593,1110043947488849,0.220786,0.130365,0.724269,0.640071
1679930055595,1110043949991003,0.220901,0.130463,0.724217,0.640071
1679930055602,1110043952492912,0.22092,0.130432,0.724207,0.640082
1679930055603,1110043954994989,0.22093,0.13039,0.724201,0.640094
1679930055604,1110043957496912,0.220936,0.130349,0.724197,0.640105
1679930055606,1110043959998989,0.220942,0.130311,0.724192,0.640115
1679930055609,1110043962501143,0.220947,0.130278,0.724189,0.640124
1679930055610,1110043965002989,0.220951,0.130244,0.724188,0.64013
1679930055617,1110043967505219,0.220843,0.130254,0.724187,0.640167
1679930055618,1110043970007296,0.220831,0.130228,0.724189,0.640174
1679930055618,1110043972509204,0.220824,0.130201,0.724194,0.640177
1679930055620,1110043975011281,0.220815,0.130178,0.7242,0.640177
1679930055622,1110043977513204,0.220808,0.130155,0.724205,0.640179
1679930055626,1110043980015281,0.220802,0.130133,0.724212,0.640177
1679930055628,1110043982517507,0.220792,0.130112,0.72422,0.640176
1679930055634,1110043985019584,0.220913,0.130265,0.724173,0.640156
1679930055634,1110043987521430,0.220909,0.130265,0.724176,0.640155
1679930055635,1110043990023584,0.220899,0.130249,0.724186,0.640151
1679930055638,1110043992525507,0.220884,0.130233,0.724197,0.640146
1679930055640,1110043995027599,0.220864,0.130223,0.724208,0.640143
1679930055642,1110043997529522,0.220843,0.130214,0.724219,0.640139
1679930055645,1110044000031676,0.22082,0.130204,0.724232,0.640134
1679930055651,1110044002533830,0.220806,0.130343,0.724206,0.64014
1679930055651,1110044005035695,0.220781,0.130351,0.724215,0.640137
1679930055654,1110044007537849,0.220761,0.130341,0.724228,0.640131
1679930055656,1110044010039926,0.220739,0.130333,0.72424,0.640128
1679930055658,1110044012541849,0.220713,0.130326,0.724252,0.640124
1679930055660,1110044015043921,0.220691,0.130319,0.724266,0.640117
1679930055662,1110044017546075,0.220671,0.130314,0.724279,0.64011
1679930055667,1110044020047998,0.220745,0.130649,0.724197,0.640109
1679930055668,1110044022550152,0.220735,0.130675,0.724198,0.640106
1679930055671,1110044025051998,0.220714,0.130671,0.72421,0.6401
1679930055674,1110044027554152,0.220694,0.130663,0.724223,0.640094
1679930055675,1110044030056229,0.220674,0.130656,0.724235,0.64009
1679930055677,1110044032558382,0.220656,0.130649,0.724246,0.640084
1679930055681,1110044035060306,0.220642,0.130642,0.724256,0.640079
1679930055686,1110044037562368,0.220942,0.130911,0.724168,0.64002
1679930055686,1110044040064292,0.220962,0.130928,0.724167,0.640011
1679930055687,1110044042566445,0.220954,0.130919,0.724173,0.640008
1679930055691,1110044045068292,0.220942,0.130911,0.724181,0.640006
1679930055693,1110044047570459,0.220931,0.130903,0.724189,0.640002
1679930055695,1110044050072613,0.220922,0.130889,0.724195,0.640002
1679930055701,1110044052574690,0.220915,0.130875,0.724199,0.640001
1679930055702,1110044055076613,0.221139,0.131208,0.724098,0.639971
1679930055703,1110044057578690,0.221154,0.131231,0.724092,0.639968
1679930055705,1110044060080613,0.221146,0.131219,0.724096,0.639968
1679930055708,1110044062582690,0.221136,0.131202,0.724101,0.639969
1679930055711,1110044065084844,0.221127,0.131184,0.724104,0.639973
1679930055713,1110044067586998,0.221117,0.131167,0.724108,0.639975
1679930055718,1110044070088839,0.221111,0.131152,0.724112,0.639976
1679930055719,1110044072590993,0.221164,0.131374,0.724051,0.639981
1679930055722,1110044075092916,0.221167,0.131375,0.724047,0.639985
1679930055724,1110044077595070,0.221166,0.131356,0.72405,0.639985
1679930055725,1110044080097152,0.221166,0.131336,0.724054,0.639984
1679930055729,1110044082599075,0.221168,0.131314,0.724058,0.639984
1679930055737,1110044085101152,0.22117,0.131293,0.724062,0.639984
1679930055741,1110044087603075,0.221175,0.131269,0.724066,0.639982
1679930055742,1110044090105161,0.221352,0.131543,0.723983,0.639958
1679930055744,1110044092607392,0.221372,0.131553,0.723977,0.639957
1679930055745,1110044095109469,0.221377,0.131536,0.72398,0.639954
1679930055746,1110044097611392,0.221381,0.131515,0.723985,0.639952
1679930055747,1110044100113449,0.221382,0.131492,0.723988,0.639953
1679930055748,1110044102615372,0.221383,0.131465,0.72399,0.639956
1679930055755,1110044105117449,0.221383,0.131437,0.723993,0.639958
1679930055756,1110044107619372,0.2214,0.131522,0.723966,0.639966
1679930055757,1110044110121526,0.221401,0.131506,0.723964,0.63997
1679930055758,1110044112623588,0.221398,0.131482,0.723965,0.639975
1679930055760,1110044115125512,0.221396,0.131457,0.723966,0.63998
1679930055763,1110044117627588,0.221394,0.131433,0.723967,0.639984
1679930055767,1110044120129742,0.221396,0.13141,0.723968,0.639988
1679930055768,1110044122631674,0.221394,0.131383,0.72397,0.639992
1679930055771,1110044125133828,0.221458,0.131413,0.723952,0.639984
1679930055773,1110044127635905,0.221462,0.131396,0.723952,0.639986
1679930055775,1110044130137828,0.221458,0.131375,0.723957,0.639986
1679930055778,1110044132639977,0.221455,0.131351,0.723961,0.639987
1679930055781,1110044135141823,0.221454,0.131329,0.723966,0.639986
1679930055785,1110044137643900,0.221455,0.131308,0.72397,0.639985
1679930055786,1110044140146054,0.22145,0.131288,0.723977,0.639984
1679930055789,1110044142648204,0.221629,0.131468,0.723917,0.639952
1679930055791,1110044145150127,0.221643,0.131472,0.723917,0.639947
1679930055793,1110044147652204,0.22164,0.131455,0.723923,0.639945
1679930055795,1110044150154127,0.221635,0.131438,0.723929,0.639943
1679930055801,1110044152656204,0.221627,0.131419,0.723935,0.639943
1679930055802,1110044155158127,0.221618,0.131398,0.723942,0.639943
1679930055804,1110044157660281,0.221608,0.131377,0.723948,0.639944
1679930055806,1110044160162435,0.221711,0.131492,0.723908,0.63993
1679930055807,1110044162664512,0.22171,0.131485,0.723907,0.639932
1679930055810,1110044165166425,0.221701,0.131466,0.72391,0.639936
1679930055812,1110044167668502,0.22169,0.131446,0.723914,0.639939
1679930055817,1110044170170425,0.22168,0.131426,0.723917,0.639943
1679930055818,1110044172672502,0.221671,0.1314,0.723919,0.639949
1679930055821,1110044175174651,0.221662,0.131375,0.723921,0.639956
1679930055825,1110044177676574,0.221639,0.131479,0.723892,0.639976
1679930055826,1110044180178727,0.22163,0.131465,0.723891,0.639983
1679930055828,1110044182680574,0.221621,0.131439,0.723893,0.639989
1679930055831,1110044185182727,0.221618,0.131426,0.723889,0.639997
1679930055833,1110044187684804,0.221616,0.131416,0.723884,0.640005
1679930055835,1110044190186727,0.221615,0.131406,0.723881,0.640011
1679930055838,1110044192688881,0.221613,0.131399,0.723879,0.640015
1679930055842,1110044195190963,0.221531,0.131615,0.723824,0.640061
1679930055844,1110044197692886,0.221526,0.131625,0.723816,0.64007
1679930055846,1110044200195040,0.221528,0.131617,0.723811,0.640077
1679930055848,1110044202696886,0.221527,0.131605,0.723808,0.640083
1679930055851,1110044205199040,0.221529,0.131593,0.723804,0.640089
1679930055853,1110044207701126,0.221533,0.131579,0.723799,0.640096
1679930055856,1110044210203280,0.221535,0.131565,0.723795,0.640104
1679930055859,1110044212705203,0.221507,0.131673,0.723761,0.640129
1679930055861,1110044215207280,0.221502,0.131673,0.723753,0.64014
1679930055863,1110044217709189,0.2215,0.131662,0.723747,0.64015
1679930055865,1110044220211266,0.221499,0.131651,0.723741,0.640159
1679930055870,1110044222713420,0.221493,0.131642,0.723735,0.64017
1679930055873,1110044225215574,0.221484,0.131634,0.723728,0.640183
1679930055874,1110044227717482,0.221475,0.131626,0.723722,0.640194
1679930055876,1110044230219559,0.221696,0.131913,0.723622,0.640171
1679930055880,1110044232721482,0.221711,0.131935,0.723609,0.640176
1679930055882,1110044235223559,0.221702,0.131933,0.723606,0.640183
1679930055884,1110044237725478,0.221691,0.131926,0.723605,0.640189
1679930055887,1110044240227555,0.221681,0.131922,0.723603,0.640196
1679930055888,1110044242729709,0.221673,0.131913,0.723601,0.640203
1679930055891,1110044245231862,0.221668,0.131907,0.7236,0.640207
1679930055893,1110044247733786,0.221664,0.132017,0.723568,0.640222
1679930055895,1110044250235842,0.221651,0.132024,0.723566,0.640227
1679930055898,1110044252737766,0.221635,0.132022,0.723567,0.640232
1679930055900,1110044255239842,0.221621,0.132021,0.723569,0.640235
1679930055903,1110044257741766,0.22161,0.132015,0.723574,0.640235
1679930055906,1110044260243895,0.221598,0.132008,0.723578,0.640235
1679930055909,1110044262745972,0.221586,0.132004,0.723583,0.640234
1679930055912,1110044265247895,0.22168,0.13212,0.72355,0.640216
1679930055916,1110044267749963,0.221675,0.132131,0.723552,0.640213
1679930055917,1110044270252117,0.221659,0.132132,0.723556,0.640213
1679930055920,1110044272754040,0.221642,0.13213,0.72356,0.640215
1679930055924,1110044275256194,0.221621,0.132133,0.723567,0.640214
1679930055925,1110044277758271,0.221603,0.132136,0.723572,0.640215
1679930055927,1110044280260198,0.221581,0.13214,0.723576,0.640217
