system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680013887849,1193876199258781,2.797,6.249,7.02
1680013887850,1193876201761176,2.796,6.248,7.021
1680013887850,1193876204263330,2.794,6.247,7.023
1680013887852,1193876206765484,2.793,6.246,7.024
1680013887855,1193876209267638,2.809,6.246,7.018
1680013887868,1193876211769762,2.809,6.245,7.018
1680013887869,1193876214272224,2.808,6.244,7.02
1680013887869,1193876216774378,2.807,6.243,7.021
1680013887869,1193876219276532,2.806,6.242,7.023
1680013887869,1193876221778700,2.805,6.241,7.024
1680013887869,1193876224280853,2.803,6.239,7.026
1680013887871,1193876226783007,2.822,6.237,7.02
1680013887876,1193876229285238,2.823,6.236,7.021
1680013887878,1193876231787623,2.822,6.235,7.023
1680013887879,1193876234289776,2.82,6.234,7.024
1680013887882,1193876236791930,2.818,6.233,7.026
1680013887885,1193876239294084,2.816,6.232,7.028
1680013887887,1193876241796238,2.813,6.231,7.03
1680013887893,1193876244298484,2.814,6.227,7.033
1680013887893,1193876246800638,2.812,6.226,7.035
1680013887895,1193876249303022,2.808,6.225,7.037
1680013887897,1193876251805176,2.805,6.224,7.039
1680013887899,1193876254307330,2.801,6.223,7.041
1680013887902,1193876256809484,2.797,6.223,7.043
1680013887906,1193876259311638,2.793,6.222,7.045
1680013887910,1193876261814099,2.779,6.227,7.046
1680013887910,1193876264316007,2.774,6.227,7.048
1680013887912,1193876266818392,2.771,6.227,7.05
1680013887916,1193876269320546,2.767,6.226,7.052
1680013887918,1193876271822700,2.764,6.226,7.054
1680013887920,1193876274324819,2.761,6.225,7.055
1680013887922,1193876276826973,2.758,6.225,7.057
1680013887927,1193876279329204,2.739,6.23,7.059
1680013887927,1193876281831589,2.736,6.23,7.061
1680013887929,1193876284333743,2.734,6.23,7.062
1680013887932,1193876286835911,2.732,6.229,7.063
1680013887935,1193876289338065,2.731,6.229,7.064
1680013887937,1193876291840219,2.73,6.228,7.064
1680013887939,1193876294342450,2.73,6.228,7.065
1680013887944,1193876296844840,2.719,6.235,7.063
1680013887946,1193876299346993,2.718,6.235,7.063
1680013887949,1193876301849147,2.719,6.235,7.063
1680013887950,1193876304351301,2.72,6.234,7.063
1680013887953,1193876306853421,2.722,6.234,7.063
1680013887955,1193876309355652,2.723,6.234,7.063
1680013887961,1193876311857806,2.725,6.233,7.062
