system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679931497620,1111485974573732,3.765,1.637,8.905
1679931497623,1111485977075664,3.767,1.636,8.904
1679931497625,1111485979577818,3.769,1.636,8.903
1679931497628,1111485982079972,3.771,1.636,8.903
1679931497629,1111485984582126,3.773,1.636,8.902
1679931497631,1111485987084203,3.775,1.645,8.899
1679931497639,1111485989586443,3.777,1.646,8.899
1679931497640,1111485992088597,3.777,1.646,8.898
1679931497640,1111485994590751,3.778,1.646,8.898
1679931497642,1111485997092828,3.778,1.646,8.898
1679931497644,1111485999595016,3.778,1.646,8.898
1679931497647,1111486002097170,3.777,1.646,8.898
1679931497651,1111486004599400,3.779,1.651,8.896
1679931497651,1111486007101554,3.779,1.652,8.897
1679931497654,1111486009603631,3.778,1.652,8.897
1679931497657,1111486012105780,3.777,1.652,8.897
1679931497661,1111486014607934,3.776,1.653,8.897
1679931497662,1111486017110088,3.775,1.653,8.898
1679931497664,1111486019612242,3.774,1.653,8.898
1679931497667,1111486022114395,3.772,1.652,8.899
1679931497669,1111486024616549,3.771,1.652,8.9
1679931497672,1111486027118472,3.77,1.652,8.9
1679931497675,1111486029620626,3.769,1.652,8.901
1679931497678,1111486032123015,3.768,1.652,8.901
1679931497679,1111486034625169,3.767,1.652,8.901
1679931497681,1111486037127092,3.767,1.652,8.902
1679931497684,1111486039629246,3.763,1.661,8.902
1679931497687,1111486042131404,3.762,1.662,8.902
1679931497689,1111486044633481,3.762,1.662,8.902
1679931497692,1111486047135712,3.762,1.662,8.902
1679931497694,1111486049637866,3.762,1.661,8.902
1679931497703,1111486052140040,3.762,1.661,8.902
1679931497703,1111486054642194,3.762,1.661,8.902
1679931497704,1111486057144271,3.758,1.668,8.902
1679931497705,1111486059646425,3.758,1.668,8.902
1679931497709,1111486062148655,3.759,1.668,8.902
1679931497709,1111486064650742,3.76,1.667,8.902
1679931497712,1111486067152896,3.761,1.667,8.901
1679931497715,1111486069655050,3.762,1.667,8.901
1679931497720,1111486072157204,3.763,1.666,8.9
1679931497721,1111486074659122,3.763,1.664,8.901
1679931497723,1111486077161276,3.764,1.663,8.901
1679931497725,1111486079663660,3.766,1.663,8.9
1679931497727,1111486082165814,3.767,1.662,8.9
1679931497730,1111486084667737,3.769,1.661,8.899
1679931497732,1111486087169910,3.77,1.661,8.899
1679931497736,1111486089672064,3.772,1.66,8.898
1679931497739,1111486092174218,3.772,1.66,8.898
1679931497741,1111486094676372,3.774,1.66,8.897
1679931497742,1111486097178512,3.775,1.659,8.897
1679931497744,1111486099680665,3.777,1.658,8.896
1679931497747,1111486102182819,3.778,1.657,8.896
1679931497753,1111486104684896,3.779,1.656,8.896
1679931497753,1111486107187045,3.78,1.656,8.895
1679931497755,1111486109689199,3.783,1.654,8.894
1679931497758,1111486112191430,3.784,1.653,8.894
1679931497760,1111486114693507,3.785,1.652,8.894
1679931497762,1111486117195675,3.786,1.651,8.894
1679931497765,1111486119697829,3.786,1.65,8.894
1679931497769,1111486122199983,3.787,1.649,8.894
1679931497770,1111486124701906,3.787,1.648,8.894
1679931497774,1111486127204286,3.792,1.648,8.892
1679931497777,1111486129706440,3.793,1.647,8.892
1679931497778,1111486132208594,3.793,1.646,8.892
1679931497780,1111486134710517,3.793,1.644,8.892
1679931497782,1111486137212670,3.793,1.643,8.892
1679931497789,1111486139714814,3.792,1.642,8.893
1679931497790,1111486142217199,3.792,1.641,8.893
1679931497791,1111486144719122,3.795,1.645,8.891
1679931497792,1111486147221276,3.795,1.644,8.891
1679931497795,1111486149723435,3.795,1.643,8.891
1679931497798,1111486152225589,3.794,1.641,8.892
1679931497802,1111486154727742,3.794,1.64,8.892
1679931497803,1111486157229819,3.793,1.639,8.893
1679931497805,1111486159732050,3.793,1.638,8.893
1679931497809,1111486162234185,3.791,1.642,8.893
1679931497811,1111486164736339,3.79,1.642,8.893
1679931497813,1111486167238416,3.79,1.64,8.894
1679931497815,1111486169740570,3.789,1.639,8.894
1679931497822,1111486172242708,3.789,1.638,8.895
1679931497823,1111486174744939,3.788,1.637,8.895
1679931497824,1111486177247016,3.788,1.636,8.896
1679931497825,1111486179749170,3.784,1.642,8.896
1679931497827,1111486182251329,3.783,1.641,8.897
1679931497830,1111486184753483,3.783,1.64,8.897
1679931497832,1111486187255637,3.783,1.639,8.897
1679931497837,1111486189757560,3.782,1.638,8.898
1679931497838,1111486192259949,3.782,1.636,8.898
1679931497840,1111486194762103,3.782,1.635,8.898
1679931497842,1111486197264257,3.78,1.643,8.897
1679931497844,1111486199766180,3.78,1.643,8.898
1679931497849,1111486202268324,3.78,1.642,8.898
1679931497856,1111486204770478,3.78,1.641,8.898
1679931497857,1111486207272862,3.781,1.64,8.898
1679931497858,1111486209774786,3.781,1.638,8.898
1679931497861,1111486212276939,3.781,1.637,8.898
1679931497861,1111486214779084,3.779,1.641,8.899
1679931497862,1111486217281238,3.779,1.64,8.899
1679931497865,1111486219783315,3.779,1.639,8.899
1679931497869,1111486222285469,3.78,1.638,8.899
1679931497870,1111486224787714,3.78,1.637,8.899
1679931497872,1111486227289791,3.78,1.636,8.899
1679931497876,1111486229791944,3.781,1.635,8.899
1679931497878,1111486232294098,3.781,1.637,8.898
1679931497880,1111486234796271,3.781,1.637,8.898
1679931497882,1111486237298194,3.782,1.636,8.898
1679931497887,1111486239800579,3.782,1.635,8.898
1679931497889,1111486242302502,3.782,1.634,8.898
1679931497892,1111486244804873,3.782,1.633,8.899
1679931497893,1111486247306796,3.783,1.632,8.899
1679931497895,1111486249808949,3.78,1.635,8.899
1679931497898,1111486252311103,3.78,1.635,8.899
1679931497905,1111486254813488,3.78,1.634,8.899
1679931497906,1111486257315401,3.781,1.633,8.899
1679931497907,1111486259817555,3.78,1.632,8.9
1679931497908,1111486262319709,3.78,1.63,8.9
1679931497910,1111486264821863,3.78,1.629,8.9
1679931497912,1111486267324016,3.778,1.632,8.9
1679931497915,1111486269826170,3.778,1.632,8.901
1679931497920,1111486272328324,3.777,1.63,8.901
1679931497921,1111486274830401,3.777,1.629,8.901
1679931497925,1111486277332579,3.777,1.628,8.902
1679931497929,1111486279833655,3.777,1.627,8.902
1679931497929,1111486282334734,3.777,1.626,8.902
1679931497931,1111486284839040,3.775,1.63,8.902
1679931497932,1111486287341194,3.774,1.629,8.903
1679931497939,1111486289843348,3.774,1.628,8.903
1679931497941,1111486292345502,3.774,1.627,8.903
1679931497942,1111486294847425,3.774,1.626,8.903
1679931497943,1111486297349810,3.774,1.625,8.904
1679931497945,1111486299851767,3.774,1.624,8.904
1679931497948,1111486302354151,3.774,1.624,8.904
1679931497953,1111486304856075,3.774,1.623,8.904
1679931497953,1111486307358228,3.774,1.623,8.904
1679931497956,1111486309860372,3.774,1.622,8.904
1679931497959,1111486312362526,3.774,1.621,8.904
1679931497963,1111486314864680,3.774,1.62,8.904
1679931497964,1111486317366834,3.774,1.619,8.905
1679931497966,1111486319868983,3.771,1.619,8.906
1679931497970,1111486322371136,3.771,1.618,8.906
1679931497971,1111486324873213,3.771,1.617,8.906
1679931497972,1111486327375367,3.771,1.616,8.906
