system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1679993569873,1173558226009631,-0.0026125,-0.01045,0.016224999
1679993569873,1173558228511784,-0.0066,-0.0125124995,0.0232375
1679993569876,1173558231013861,-0.014712499,-0.01045,0.0262625
1679993569878,1173558233516015,-0.015675,-0.007425,0.0292875
1679993569881,1173558236018164,-0.0176,-0.007425,0.0312125
1679993569897,1173558238520318,-0.0196625,-0.0015125,0.033275
1679993569897,1173558243522241,-0.0187,0.0045375,0.0312125
1679993569898,1173558243669933,-0.0166375,0.0066,0.03025
1679993569898,1173558246026452,-0.015675,0.0066,0.027224999
1679993569898,1173558248528683,-0.0116875,0.0105875,0.0253
1679993569898,1173558251030759,-0.009625,0.01155,0.0232375
1679993569899,1173558253532683,-0.0116875,0.014575,0.01925
1679993569904,1173558256034831,-0.0116875,0.013475,0.0171875
1679993569905,1173558258536908,-0.01265,0.0155375,0.01925
1679993569906,1173558261039062,-0.013612499,0.014575,0.015262499
1679993569908,1173558263541216,-0.015675,0.0176,0.0143
1679993569912,1173558266043370,-0.0176,0.0204875,0.0143
1679993569913,1173558268545288,-0.0166375,0.0265375,0.0122375
1679993569916,1173558271047365,-0.0187,0.0275,0.0103124995
1679993569920,1173558273549596,-0.0187,0.0325875,0.0103124995
1679993569922,1173558276051673,-0.021724999,0.0385,0.0042625
1679993569925,1173558278553813,-0.0246125,0.0396,-6.875E-4
1679993569927,1173558281055737,-0.0226875,0.036575,-0.0077
1679993569930,1173558283557890,-0.02365,0.0405625,-0.0158125
1679993569932,1173558286059967,-0.0246125,0.0435875,-0.014712499
1679993569937,1173558288562183,-0.032725,0.0545875,-0.016775
1679993569937,1173558291064260,-0.0446875,0.0675125,-0.0187
1679993569939,1173558293566414,-0.0466125,0.0765875,-0.0158125
1679993569941,1173558296068337,-0.0506,0.0845625,-0.010725
1679993569943,1173558298570414,-0.0496375,0.085525,-0.0158125
1679993569945,1173558301072568,-0.048675,0.0875875,-0.014712499
1679993569948,1173558303574799,-0.0446875,0.085525,-0.0158125
1679993569953,1173558306076875,-0.043725,0.0895125,-0.0177375
1679993569954,1173558308578799,-0.043725,0.085525,-0.0187
1679993569956,1173558311080952,-0.0386375,0.0785125,-0.0198
1679993569960,1173558313583106,-0.0297,0.0726,-0.0207625
1679993569962,1173558316085183,-0.02365,0.068475,-0.0177375
1679993569964,1173558318587106,-0.0226875,0.0625625,-0.0158125
1679993569966,1173558321089491,-0.0187,0.057475,-0.0158125
1679993569971,1173558323591645,-0.013612499,0.046475,-0.0116875
1679993569972,1173558326093568,-0.0116875,0.0385,-0.0097624995
1679993569973,1173558328595645,-0.0086624995,0.0314875,-0.0077
1679993569976,1173558331097799,-0.010725,0.024475,-0.005775
1679993569979,1173558333599943,-0.0086624995,0.0235125,-0.00275
1679993569981,1173558336102097,-0.0037125,0.014575,-6.875E-4
1679993569988,1173558338604020,-0.0077,0.0015125,2.75E-4
1679993569988,1173558341106174,-0.0066,-0.002475,0.0012375
1679993569988,1173558343608313,-0.0026125,-0.002475,0.0022
1679993569992,1173558346110390,-0.0037125,-0.007425,0.0033
1679993569993,1173558348612313,-0.00165,-0.013475,0.0061875
1679993569997,1173558351114674,-0.0026125,-0.0204875,0.0092124995
1679993569999,1173558353616828,-0.0026125,-0.0224125,0.0092124995
1679993570003,1173558356118751,2.75E-4,-0.0275,0.00825
1679993570004,1173558358620828,-6.875E-4,-0.0275,0.0103124995
1679993570006,1173558361122981,-6.875E-4,-0.0254375,0.00825
1679993570009,1173558363625149,-6.875E-4,-0.0314875,0.0092124995
1679993570012,1173558366127303,0.0023375,-0.0334125,0.0092124995
1679993570013,1173558368629226,0.0044,-0.0334125,0.00825
1679993570016,1173558371131380,0.0033,-0.030524999,0.0072875
1679993570024,1173558373633443,0.001375,-0.0275,0.0103124995
