system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679993569873,1173558226009631,4.482,6.798,5.464
1679993569873,1173558228511784,4.482,6.797,5.464
1679993569876,1173558231013861,4.483,6.797,5.464
1679993569879,1173558233516015,4.484,6.796,5.464
1679993569881,1173558236018164,4.484,6.796,5.465
1679993569897,1173558238520318,4.485,6.794,5.467
1679993569898,1173558243522241,4.486,6.792,5.467
1679993569898,1173558243669913,4.486,6.792,5.467
1679993569898,1173558246026452,4.487,6.792,5.468
1679993569898,1173558248528683,4.487,6.791,5.468
1679993569898,1173558251030759,4.487,6.791,5.468
1679993569899,1173558253532683,4.487,6.791,5.468
1679993569905,1173558256034831,4.49,6.79,5.467
1679993569905,1173558258536908,4.491,6.789,5.467
1679993569906,1173558261039062,4.491,6.789,5.468
1679993569908,1173558263541216,4.491,6.789,5.468
1679993569912,1173558266043370,4.491,6.788,5.469
1679993569913,1173558268545288,4.491,6.788,5.469
1679993569916,1173558271047365,4.49,6.788,5.47
1679993569920,1173558273549596,4.494,6.789,5.466
1679993569922,1173558276051673,4.493,6.789,5.466
1679993569925,1173558278553813,4.493,6.789,5.467
1679993569927,1173558281055737,4.492,6.788,5.467
1679993569930,1173558283557890,4.492,6.788,5.468
1679993569932,1173558286059967,4.491,6.788,5.469
1679993569937,1173558288562183,4.49,6.788,5.47
1679993569937,1173558291064260,4.488,6.789,5.47
1679993569939,1173558293566414,4.486,6.788,5.472
1679993569942,1173558296068337,4.485,6.788,5.474
1679993569944,1173558298570414,4.484,6.788,5.475
1679993569945,1173558301072568,4.482,6.787,5.477
1679993569948,1173558303574799,4.481,6.787,5.479
1679993569953,1173558306076875,4.479,6.786,5.48
1679993569954,1173558308578799,4.474,6.786,5.485
1679993569956,1173558311080952,4.472,6.786,5.487
1679993569960,1173558313583106,4.471,6.786,5.488
1679993569962,1173558316085183,4.47,6.786,5.489
1679993569965,1173558318587106,4.469,6.785,5.49
1679993569967,1173558321089491,4.467,6.785,5.491
1679993569971,1173558323591645,4.467,6.785,5.492
1679993569973,1173558326093568,4.459,6.787,5.496
1679993569974,1173558328595645,4.457,6.788,5.497
1679993569976,1173558331097790,4.457,6.788,5.497
1679993569980,1173558333599943,4.456,6.787,5.498
1679993569981,1173558336102097,4.456,6.787,5.498
1679993569988,1173558338604020,4.456,6.787,5.498
1679993569988,1173558341106159,4.456,6.787,5.498
1679993569989,1173558343608313,4.454,6.789,5.497
1679993569992,1173558346110390,4.454,6.789,5.497
1679993569994,1173558348612313,4.455,6.789,5.497
1679993569997,1173558351114674,4.455,6.789,5.497
1679993569999,1173558353616828,4.456,6.789,5.496
1679993570003,1173558356118751,4.456,6.789,5.496
1679993570004,1173558358620828,4.457,6.789,5.496
1679993570006,1173558361122981,4.457,6.789,5.496
1679993570009,1173558363625149,4.457,6.789,5.496
1679993570012,1173558366127303,4.458,6.789,5.495
1679993570013,1173558368629226,4.458,6.789,5.495
1679993570016,1173558371131380,4.459,6.789,5.494
1679993570025,1173558373633443,4.459,6.789,5.494
1679993570026,1173558376135597,4.46,6.788,5.493
1679993570026,1173558378637520,4.464,6.788,5.492
1679993570028,1173558381139905,4.465,6.787,5.491
1679993570029,1173558383641828,4.465,6.787,5.491
1679993570032,1173558386143991,4.466,6.787,5.49
1679993570038,1173558388646068,4.466,6.787,5.49
1679993570038,1173558391148222,4.466,6.787,5.49
1679993570039,1173558393650145,4.467,6.787,5.49
1679993570043,1173558396152299,4.468,6.785,5.491
1679993570044,1173558398654453,4.469,6.785,5.491
1679993570046,1173558401156607,4.469,6.785,5.491
1679993570048,1173558403658684,4.469,6.785,5.491
1679993570053,1173558406160833,4.469,6.785,5.491
1679993570054,1173558408662756,4.469,6.785,5.491
1679993570056,1173558411164910,4.469,6.785,5.491
1679993570061,1173558413667063,4.468,6.785,5.492
1679993570062,1173558416169140,4.468,6.785,5.492
1679993570064,1173558418671294,4.468,6.785,5.492
1679993570065,1173558421173448,4.468,6.785,5.492
1679993570071,1173558423675371,4.468,6.785,5.492
1679993570073,1173558426177429,4.468,6.785,5.491
1679993570076,1173558428679660,4.469,6.784,5.491
1679993570077,1173558431181737,4.47,6.784,5.49
1679993570079,1173558433683891,4.47,6.784,5.49
1679993570082,1173558436185814,4.47,6.784,5.49
1679993570086,1173558438687982,4.471,6.784,5.49
1679993570086,1173558441190059,4.471,6.784,5.49
1679993570088,1173558443692289,4.471,6.784,5.49
1679993570092,1173558446194366,4.471,6.784,5.49
1679993570094,1173558448696549,4.472,6.783,5.49
1679993570096,1173558451198472,4.472,6.783,5.49
1679993570100,1173558453700626,4.472,6.783,5.49
1679993570104,1173558456202703,4.472,6.783,5.491
1679993570105,1173558458704852,4.472,6.783,5.491
1679993570106,1173558461207006,4.472,6.783,5.491
1679993570111,1173558463709160,4.472,6.783,5.491
1679993570112,1173558466211083,4.47,6.783,5.492
1679993570115,1173558468713236,4.47,6.783,5.492
1679993570119,1173558471215313,4.47,6.783,5.492
1679993570120,1173558473717467,4.47,6.783,5.492
1679993570122,1173558476219621,4.47,6.783,5.492
1679993570125,1173558478721775,4.471,6.783,5.492
1679993570127,1173558481223679,4.471,6.783,5.492
1679993570129,1173558483725833,4.469,6.782,5.495
1679993570132,1173558486227910,4.469,6.781,5.495
1679993570138,1173558488730064,4.469,6.781,5.495
1679993570139,1173558491232203,4.47,6.781,5.495
1679993570142,1173558493734126,4.47,6.781,5.495
1679993570143,1173558496236279,4.47,6.781,5.495
1679993570145,1173558498738433,4.47,6.781,5.495
1679993570148,1173558501240573,4.471,6.778,5.498
1679993570149,1173558503742650,4.471,6.778,5.498
1679993570154,1173558506244804,4.471,6.778,5.498
1679993570155,1173558508746727,4.471,6.778,5.497
1679993570156,1173558511248881,4.471,6.778,5.497
1679993570158,1173558513750972,4.472,6.778,5.497
1679993570162,1173558516253203,4.472,6.778,5.496
1679993570164,1173558518755280,4.473,6.779,5.494
1679993570166,1173558521257433,4.474,6.779,5.494
1679993570173,1173558523759366,4.474,6.78,5.493
1679993570174,1173558526261520,4.475,6.78,5.493
1679993570176,1173558528763597,4.475,6.78,5.492
1679993570177,1173558531265828,4.475,6.78,5.492
1679993570180,1173558533767876,4.475,6.78,5.491
1679993570182,1173558536270030,4.478,6.783,5.485
1679993570186,1173558538771953,4.479,6.784,5.484
1679993570187,1173558541274107,4.479,6.784,5.484
1679993570189,1173558543776193,4.479,6.784,5.483
1679993570193,1173558546278346,4.479,6.784,5.483
1679993570194,1173558548780500,4.479,6.785,5.483
1679993570196,1173558551282423,4.479,6.785,5.482
1679993570199,1173558553784577,4.481,6.784,5.481
1679993570203,1173558556286731,4.481,6.785,5.481
1679993570204,1173558558788808,4.481,6.785,5.481
1679993570206,1173558561290731,4.481,6.785,5.48
1679993570209,1173558563793116,4.481,6.785,5.48
1679993570212,1173558566295280,4.482,6.785,5.48
1679993570214,1173558568797203,4.482,6.786,5.479
1679993570216,1173558571299280,4.483,6.785,5.479
1679993570220,1173558573801433,4.483,6.785,5.479
1679993570224,1173558576303582,4.484,6.785,5.478
1679993570226,1173558578805736,4.484,6.785,5.478
1679993570228,1173558581307659,4.484,6.785,5.478
1679993570230,1173558583809813,4.484,6.786,5.477
1679993570233,1173558586311967,4.485,6.786,5.477
1679993570237,1173558588814063,4.484,6.785,5.478
1679993570238,1173558591315986,4.484,6.786,5.477
1679993570239,1173558593818371,4.485,6.786,5.477
1679993570242,1173558596320524,4.485,6.786,5.476
1679993570244,1173558598822448,4.486,6.786,5.476
1679993570246,1173558601324543,4.486,6.786,5.475
1679993570249,1173558603826697,4.486,6.786,5.475
1679993570253,1173558606328851,4.487,6.787,5.474
1679993570254,1173558608831005,4.487,6.787,5.473
1679993570256,1173558611332938,4.488,6.787,5.473
1679993570263,1173558613835092,4.488,6.787,5.472
1679993570264,1173558616337246,4.489,6.787,5.472
1679993570265,1173558618839323,4.489,6.787,5.471
1679993570267,1173558621341236,4.49,6.787,5.471
1679993570269,1173558623843390,4.491,6.787,5.47
1679993570274,1173558626345774,4.492,6.787,5.469
1679993570275,1173558628847697,4.492,6.787,5.469
1679993570277,1173558631349760,4.493,6.787,5.468
1679993570279,1173558633851914,4.493,6.787,5.468
1679993570282,1173558636354068,4.493,6.787,5.468
1679993570285,1173558638855991,4.494,6.787,5.467
1679993570287,1173558641358145,4.494,6.79,5.464
1679993570289,1173558643860284,4.494,6.79,5.463
1679993570292,1173558646362361,4.494,6.79,5.463
1679993570294,1173558648864515,4.494,6.79,5.463
1679993570298,1173558651366434,4.495,6.79,5.463
1679993570300,1173558653868588,4.495,6.79,5.463
1679993570303,1173558656370741,4.495,6.79,5.463
1679993570305,1173558658872895,4.494,6.79,5.464
1679993570307,1173558661374972,4.494,6.79,5.464
1679993570309,1173558663877150,4.494,6.79,5.464
1679993570313,1173558666379073,4.495,6.79,5.464
1679993570314,1173558668881227,4.495,6.79,5.463
1679993570316,1173558671383381,4.495,6.79,5.463
1679993570319,1173558673885549,4.495,6.79,5.463
1679993570322,1173558676387626,4.495,6.791,5.462
1679993570324,1173558678889779,4.495,6.791,5.461
1679993570326,1173558681391703,4.496,6.791,5.461
1679993570329,1173558683893861,4.496,6.791,5.461
1679993570332,1173558686395938,4.496,6.791,5.46
1679993570335,1173558688898169,4.496,6.792,5.46
1679993570337,1173558691400246,4.497,6.792,5.459
1679993570342,1173558693902159,4.497,6.792,5.459
1679993570345,1173558696404313,4.497,6.792,5.459
1679993570346,1173558698906467,4.498,6.792,5.458
1679993570348,1173558701408544,4.498,6.792,5.458
1679993570349,1173558703910698,4.499,6.792,5.457
1679993570352,1173558706412875,4.499,6.792,5.457
1679993570354,1173558708915029,4.5,6.793,5.456
1679993570357,1173558711416952,4.5,6.792,5.457
1679993570360,1173558713919029,4.5,6.792,5.457
1679993570362,1173558716421270,4.501,6.792,5.456
1679993570364,1173558718923347,4.501,6.792,5.455
1679993570366,1173558721425501,4.502,6.793,5.454
1679993570369,1173558723927424,4.503,6.793,5.453
1679993570375,1173558726429563,4.503,6.793,5.452
1679993570376,1173558728931717,4.502,6.792,5.455
1679993570377,1173558731433870,4.502,6.792,5.454
1679993570380,1173558733935947,4.503,6.792,5.453
1679993570383,1173558736438101,4.504,6.793,5.452
1679993570385,1173558738940010,4.505,6.793,5.451
1679993570387,1173558741442164,4.505,6.793,5.45
1679993570389,1173558743944318,4.506,6.794,5.449
1679993570393,1173558746446472,4.505,6.793,5.451
1679993570394,1173558748948549,4.506,6.793,5.45
1679993570396,1173558751450491,4.506,6.793,5.449
1679993570399,1173558753952645,4.507,6.794,5.448
1679993570402,1173558756454799,4.508,6.794,5.447
1679993570404,1173558758956952,4.509,6.794,5.446
1679993570406,1173558761458994,4.51,6.795,5.445
1679993570410,1173558763961148,4.514,6.795,5.441
1679993570413,1173558766463302,4.515,6.796,5.439
1679993570416,1173558768965225,4.516,6.797,5.438
1679993570417,1173558771467302,4.516,6.797,5.436
1679993570420,1173558773969456,4.517,6.798,5.435
1679993570422,1173558776471687,4.518,6.799,5.433
1679993570424,1173558778973764,4.519,6.799,5.432
1679993570427,1173558781475658,4.514,6.803,5.431
1679993570429,1173558783977812,4.515,6.803,5.43
1679993570432,1173558786479965,4.516,6.804,5.428
1679993570434,1173558788982042,4.518,6.804,5.426
1679993570437,1173558791484196,4.519,6.805,5.425
1679993570439,1173558793986326,4.52,6.805,5.423
1679993570442,1173558796488480,4.521,6.806,5.421
1679993570444,1173558798990403,4.522,6.805,5.421
1679993570448,1173558801492480,4.524,6.806,5.42
1679993570450,1173558803994668,4.525,6.806,5.418
1679993570453,1173558806496899,4.526,6.807,5.416
1679993570454,1173558808998976,4.527,6.808,5.414
1679993570456,1173558811500899,4.528,6.808,5.412
1679993570460,1173558814003086,4.529,6.809,5.411
1679993570463,1173558816505240,4.531,6.81,5.408
1679993570465,1173558819007317,4.532,6.811,5.406
1679993570466,1173558821509471,4.533,6.812,5.404
1679993570469,1173558824011625,4.534,6.813,5.402
1679993570474,1173558826513774,4.535,6.814,5.4
1679993570475,1173558829015697,4.536,6.815,5.398
1679993570477,1173558831517774,4.537,6.816,5.396
1679993570480,1173558834019928,4.536,6.819,5.393
1679993570482,1173558836522148,4.537,6.82,5.39
1679993570486,1173558839024225,4.538,6.821,5.388
1679993570488,1173558841526148,4.54,6.822,5.385
1679993570489,1173558844028302,4.541,6.823,5.383
1679993570494,1173558846530456,4.542,6.824,5.381
1679993570498,1173558849032533,4.544,6.825,5.378
1679993570501,1173558851534456,4.541,6.833,5.371
1679993570501,1173558854036841,4.542,6.834,5.368
1679993570502,1173558856538995,4.544,6.835,5.365
1679993570504,1173558859040928,4.546,6.837,5.362
1679993570506,1173558861543005,4.547,6.838,5.359
1679993570509,1173558864045158,4.55,6.839,5.356
1679993570512,1173558866547101,4.552,6.84,5.352
1679993570514,1173558869049485,4.548,6.848,5.346
1679993570516,1173558871551408,4.549,6.85,5.342
1679993570519,1173558874053562,4.551,6.851,5.339
1679993570524,1173558876555625,4.553,6.852,5.335
1679993570526,1173558879057779,4.556,6.853,5.332
1679993570528,1173558881559702,4.558,6.854,5.329
1679993570529,1173558884062087,4.56,6.855,5.326
1679993570532,1173558886564010,4.564,6.86,5.316
1679993570534,1173558889066149,4.566,6.862,5.312
1679993570536,1173558891568225,4.568,6.863,5.31
1679993570540,1173558894070379,4.569,6.864,5.307
1679993570543,1173558896572302,4.57,6.865,5.305
1679993570544,1173558899074716,4.571,6.866,5.303
1679993570547,1173558901576639,4.572,6.866,5.301
1679993570549,1173558904078793,4.573,6.868,5.298
1679993570552,1173558906580870,4.574,6.869,5.296
1679993570554,1173558909083024,4.573,6.87,5.295
1679993570557,1173558911584966,4.573,6.871,5.294
1679993570561,1173558914087350,4.572,6.872,5.293
1679993570563,1173558916589274,4.572,6.873,5.292
1679993570565,1173558919091427,4.572,6.874,5.291
1679993570567,1173558921593499,4.563,6.87,5.305
1679993570569,1173558924095653,4.561,6.87,5.305
1679993570573,1173558926597576,4.561,6.871,5.304
1679993570576,1173558929099730,4.561,6.873,5.302
1679993570577,1173558931601889,4.561,6.874,5.301
1679993570580,1173558934103966,4.562,6.875,5.299
1679993570582,1173558936606120,4.562,6.876,5.298
1679993570584,1173558939108274,4.562,6.876,5.297
1679993570586,1173558941610437,4.562,6.877,5.296
1679993570589,1173558944112591,4.563,6.878,5.295
1679993570592,1173558946614514,4.563,6.878,5.294
1679993570594,1173558949116591,4.562,6.879,5.293
1679993570598,1173558951618750,4.562,6.88,5.292
1679993570600,1173558954120904,4.562,6.881,5.291
1679993570602,1173558956623058,4.564,6.877,5.294
1679993570604,1173558959124981,4.564,6.878,5.294
1679993570606,1173558961627135,4.563,6.879,5.293
1679993570609,1173558964129303,4.563,6.879,5.293
1679993570615,1173558966631380,4.562,6.88,5.292
1679993570615,1173558969133303,4.562,6.881,5.291
1679993570616,1173558971635687,4.562,6.881,5.291
1679993570620,1173558974137826,4.557,6.878,5.299
1679993570623,1173558976639749,4.557,6.878,5.299
1679993570625,1173558979141826,4.558,6.878,5.298
1679993570627,1173558981643980,4.558,6.878,5.297
1679993570629,1173558984146134,4.559,6.879,5.297
1679993570632,1173558986648269,4.559,6.879,5.296
1679993570635,1173558989150192,4.559,6.879,5.296
1679993570637,1173558991652346,4.566,6.878,5.291
1679993570639,1173558994154499,4.567,6.878,5.291
1679993570643,1173558996656600,4.568,6.878,5.29
1679993570644,1173558999158523,4.568,6.878,5.29
1679993570646,1173559001660677,4.569,6.878,5.289
1679993570648,1173559004163062,4.57,6.877,5.289
1679993570652,1173559006664980,4.57,6.877,5.289
1679993570654,1173559009167057,4.574,6.874,5.289
1679993570656,1173559011669211,4.575,6.874,5.289
1679993570660,1173559014171365,4.575,6.873,5.289
1679993570662,1173559016673284,4.576,6.873,5.289
1679993570664,1173559019175668,4.576,6.873,5.289
1679993570666,1173559021677591,4.577,6.873,5.289
1679993570669,1173559024179668,4.577,6.873,5.289
1679993570674,1173559026681774,4.584,6.87,5.286
1679993570676,1173559029183697,4.585,6.869,5.286
1679993570677,1173559031685851,4.586,6.869,5.285
1679993570679,1173559034188005,4.586,6.87,5.285
1679993570682,1173559036690159,4.586,6.87,5.284
1679993570685,1173559039192317,4.586,6.87,5.284
1679993570687,1173559041694394,4.587,6.87,5.284
1679993570689,1173559044196317,4.592,6.87,5.279
1679993570693,1173559046698471,4.593,6.87,5.279
1679993570694,1173559049200855,4.593,6.87,5.279
1679993570697,1173559051702773,4.593,6.87,5.279
1679993570700,1173559054204850,4.593,6.87,5.279
1679993570702,1173559056707004,4.594,6.869,5.279
1679993570704,1173559059209158,4.594,6.869,5.278
1679993570707,1173559061711081,4.599,6.87,5.273
1679993570711,1173559064213235,4.599,6.87,5.273
1679993570713,1173559066715389,4.599,6.87,5.273
1679993570715,1173559069217543,4.599,6.87,5.273
1679993570718,1173559071719596,4.599,6.871,5.273
1679993570720,1173559074221519,4.598,6.871,5.273
1679993570723,1173559076723672,4.597,6.872,5.273
1679993570726,1173559079225826,4.592,6.871,5.278
1679993570727,1173559081727976,4.591,6.872,5.278
1679993570729,1173559084230053,4.591,6.872,5.278
1679993570732,1173559086732207,4.591,6.872,5.277
1679993570734,1173559089234361,4.591,6.873,5.277
1679993570736,1173559091736284,4.591,6.873,5.276
1679993570740,1173559094238365,4.592,6.873,5.275
1679993570743,1173559096740596,4.59,6.872,5.278
1679993570744,1173559099242749,4.59,6.872,5.278
1679993570748,1173559101744837,4.591,6.872,5.278
1679993570750,1173559104246991,4.591,6.872,5.277
1679993570753,1173559106748914,4.592,6.872,5.276
1679993570754,1173559109251068,4.592,6.873,5.276
1679993570757,1173559111753222,4.593,6.873,5.275
1679993570760,1173559114255289,4.596,6.874,5.27
1679993570762,1173559116757443,4.597,6.874,5.269
1679993570764,1173559119259597,4.597,6.875,5.269
1679993570767,1173559121761520,4.597,6.875,5.268
1679993570769,1173559124263689,4.598,6.875,5.268
1679993570773,1173559126765842,4.598,6.875,5.267
1679993570775,1173559129267996,4.598,6.875,5.267
1679993570777,1173559131770073,4.597,6.875,5.267
1679993570780,1173559134272227,4.597,6.876,5.267
1679993570783,1173559136774150,4.597,6.876,5.267
1679993570786,1173559139276227,4.598,6.876,5.267
1679993570788,1173559141778458,4.598,6.876,5.266
1679993570790,1173559144280607,4.598,6.876,5.266
1679993570793,1173559146782684,4.598,6.876,5.265
1679993570795,1173559149284607,4.6,6.878,5.262
1679993570797,1173559151786761,4.6,6.879,5.261
1679993570800,1173559154288914,4.601,6.879,5.26
1679993570803,1173559156790996,4.601,6.879,5.26
1679993570805,1173559159293150,4.601,6.879,5.259
1679993570807,1173559161795304,4.602,6.879,5.259
1679993570810,1173559164297458,4.602,6.879,5.259
1679993570812,1173559166799385,4.603,6.881,5.256
1679993570814,1173559169301539,4.603,6.881,5.255
1679993570817,1173559171803693,4.603,6.881,5.255
1679993570820,1173559174305770,4.604,6.881,5.254
1679993570827,1173559176807928,4.604,6.881,5.254
1679993570827,1173559179309852,4.604,6.881,5.254
1679993570828,1173559181812005,4.605,6.881,5.253
1679993570831,1173559184314159,4.602,6.882,5.255
1679993570833,1173559186816323,4.602,6.882,5.255
1679993570835,1173559189318400,4.602,6.882,5.255
1679993570837,1173559191820554,4.602,6.882,5.254
1679993570840,1173559194322477,4.603,6.882,5.254
1679993570842,1173559196824573,4.603,6.882,5.254
1679993570844,1173559199326804,4.603,6.882,5.253
1679993570847,1173559201828958,4.604,6.883,5.252
1679993570849,1173559204331034,4.605,6.883,5.252
1679993570852,1173559206832953,4.605,6.883,5.251
1679993570854,1173559209335106,4.605,6.883,5.251
1679993570857,1173559211837260,4.605,6.883,5.251
1679993570861,1173559214339414,4.606,6.883,5.251
1679993570864,1173559216841558,4.606,6.883,5.25
1679993570866,1173559219387635,4.603,6.885,5.25
1679993570868,1173559221845789,4.603,6.885,5.25
1679993570870,1173559224347943,4.603,6.885,5.25
1679993570872,1173559226849890,4.603,6.885,5.25
1679993570874,1173559229352044,4.603,6.885,5.25
1679993570877,1173559231854197,4.603,6.885,5.249
1679993570879,1173559234356351,4.603,6.886,5.249
