system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679933804630,1113792982336726,0.06,0.11,0.249
1679933804631,1113792984838879,0.059,0.137,0.194
1679933804633,1113792987341023,0.139,0.205,0.208
1679933804635,1113792989843177,0.043,0.233,0.181
1679933804637,1113792992345100,0.097,0.233,0.222
1679933804647,1113792994847254,0.002,0.192,0.194
1679933804647,1113792997349639,0.085,0.137,0.181
1679933804647,1113792999851586,0.003,0.212,0.167
1679933804647,1113793002353970,-0.008,0.129,0.195
1679933804650,1113793004855893,0.046,0.156,0.154
1679933804652,1113793007358047,0.048,0.074,0.127
1679933804654,1113793009860210,-0.018,0.142,0.181
1679933804658,1113793012362595,0.011,0.142,0.209
1679933804660,1113793014864749,0.0,0.197,0.154
1679933804663,1113793017366672,-0.038,0.137,0.168
1679933804664,1113793019868831,0.032,0.246,0.114
1679933804669,1113793022370984,-0.019,0.232,0.032
1679933804672,1113793024873138,0.051,0.15,0.114
1679933804677,1113793027375292,-0.082,0.218,0.251
1679933804677,1113793029877702,0.002,0.272,0.033
1679933804679,1113793032379625,-0.062,0.163,0.169
1679933804682,1113793034881779,-0.084,0.171,0.142
1679933804683,1113793037383932,-0.04,0.102,0.047
1679933804684,1113793039886086,-0.105,0.02,-0.02
1679933804687,1113793042388235,-0.088,0.224,0.075
1679933804693,1113793044890389,-0.085,0.143,0.116
1679933804693,1113793047392543,-0.192,0.143,0.007
1679933804695,1113793049894697,-0.189,0.17,0.021
1679933804697,1113793052396837,-0.22,0.164,-0.032
1679933804700,1113793054898990,-0.244,0.164,0.172
1679933804703,1113793057401144,-0.228,0.136,0.076
1679933804710,1113793059903298,-0.349,0.15,-0.004
1679933804710,1113793062405452,-0.32,0.11,-0.045
1679933804711,1113793064907606,-0.237,0.11,0.063
1679933804713,1113793067409760,-0.359,0.084,0.022
1679933804715,1113793069911914,-0.32,0.094,0.009
1679933804717,1113793072414067,-0.318,0.19,0.078
1679933804720,1113793074916158,-0.263,0.15,0.05
1679933804727,1113793077418389,-0.358,0.137,0.091
1679933804727,1113793079920543,-0.263,0.165,-0.044
1679933804728,1113793082422697,-0.304,0.275,-0.003
1679933804730,1113793084924832,-0.304,0.222,0.064
1679933804733,1113793087426986,-0.229,0.136,-0.125
1679933804735,1113793089929139,-0.27,0.191,0.023
1679933804737,1113793092431216,-0.176,0.165,-0.044
1679933804743,1113793094933423,-0.179,0.22,-0.153
1679933804744,1113793097435577,-0.154,0.181,-0.235
1679933804746,1113793099937731,-0.225,0.21,-0.085
1679933804748,1113793102439808,-0.119,0.279,-0.085
