system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680007949657,1187938010636393,0.167,0.312,0.196
1680007949658,1187938013138546,0.116,0.216,0.289
1680007949661,1187938015640700,0.063,0.241,0.317
1680007949666,1187938018142854,0.173,0.253,0.169
1680007949667,1187938020644782,0.173,0.278,0.225
1680007949668,1187938023146936,0.093,0.29,0.213
1680007949672,1187938025649090,0.012,0.261,0.228
1680007949676,1187938028151475,0.067,0.273,0.23
1680007949677,1187938030653388,0.125,0.349,0.178
1680007949682,1187938033155541,0.127,0.252,0.22
1680007949683,1187938035657695,0.046,0.263,0.113
1680007949683,1187938038159849,0.088,0.289,0.128
1680007949687,1187938040662003,0.116,0.191,0.117
1680007949689,1187938043164422,0.13,0.325,0.146
1680007949690,1187938045666576,0.158,0.31,0.093
1680007949694,1187938048168729,0.12,0.344,0.071
1680007949701,1187938050670652,0.067,0.287,0.128
1680007949702,1187938053172820,0.067,0.394,0.103
1680007949703,1187938055674974,0.163,0.297,0.105
1680007949703,1187938058177359,0.096,0.267,0.107
1680007949707,1187938060679282,0.096,0.279,0.014
1680007949710,1187938063181480,0.069,0.263,0.126
1680007949712,1187938065683634,0.032,0.218,0.154
1680007949716,1187938068185787,0.074,0.229,0.211
1680007949717,1187938070687941,0.047,0.2,0.214
1680007949719,1187938073190095,0.102,0.239,0.189
1680007949721,1187938075692484,0.034,0.196,0.301
1680007949724,1187938078194407,0.129,0.248,0.168
1680007949727,1187938080696561,0.102,0.164,0.293
1680007949732,1187938083198715,0.132,0.217,0.225
1680007949733,1187938085700859,0.105,0.105,0.255
1680007949734,1187938088202936,0.105,0.185,0.217
1680007949737,1187938090705167,0.105,0.169,0.343
1680007949741,1187938093207321,0.133,0.18,0.223
1680007949742,1187938095709465,0.106,0.096,0.281
1680007949743,1187938098211619,0.174,0.134,0.189
1680007949749,1187938100713772,0.015,0.186,0.282
1680007949750,1187938103215926,0.111,0.156,0.312
1680007949752,1187938105718085,0.139,0.181,0.22
1680007949756,1187938108220239,0.057,0.192,0.129
1680007949758,1187938110722393,0.139,0.23,0.105
1680007949759,1187938113224547,0.098,0.173,0.136
1680007949761,1187938115726701,0.152,0.197,0.031
1680007949769,1187938118228830,0.046,0.245,0.051
1680007949771,1187938120730984,0.155,0.283,0.151
1680007949771,1187938123233369,0.168,0.444,0.06
1680007949772,1187938125735292,0.249,0.413,0.079
1680007949774,1187938128237465,0.153,0.356,-0.011
1680007949777,1187938130739619,0.466,0.898,-0.169
1680007949779,1187938133241773,0.166,0.608,0.08
1680007949783,1187938135743849,0.111,0.432,-0.227
1680007949785,1187938138246085,0.042,0.537,-0.411
1680007949788,1187938140748239,-0.068,0.329,-0.309
1680007949790,1187938143250393,-0.178,0.312,-0.112
1680007949792,1187938145752547,-0.179,0.186,-0.106
1680007949794,1187938148254701,-0.167,0.21,-0.059
1680007949796,1187938150756879,-0.169,0.18,0.042
1680007949799,1187938153258955,-0.177,0.198,-0.03
1680007949801,1187938155761186,-0.097,0.153,-0.065
1680007949803,1187938158263340,-0.071,0.163,0.064
1680007949806,1187938160765494,-0.236,0.187,-0.078
1680007949808,1187938163267648,-0.061,0.129,-0.043
1680007949810,1187938165769725,-0.117,0.166,-0.05
1680007949813,1187938168271879,-0.214,0.175,-0.042
1680007949816,1187938170774099,-0.144,0.083,-0.219
1680007949818,1187938173276253,-0.254,0.024,-0.142
1680007949822,1187938175778407,-0.242,0.073,-0.202
1680007949824,1187938178280561,-0.284,0.191,-0.194
1680007949827,1187938180782729,-0.449,0.186,-0.267
1680007949829,1187938183284806,-0.314,0.399,-0.244
1680007949831,1187938185786960,-0.397,0.19,-0.276
1680007949835,1187938188289190,-0.309,0.253,-0.352
1680007949837,1187938190791330,-0.473,0.097,-0.286
1680007949839,1187938193293407,-0.461,0.146,-0.412
1680007949841,1187938195795561,-0.517,0.263,-0.429
1680007949843,1187938198297715,-0.492,0.148,-0.472
1680007949847,1187938200799869,-0.385,0.278,-0.529
1680007949848,1187938203302113,-0.415,0.34,-0.489
1680007949851,1187938205804267,-0.367,0.396,-0.608
1680007949854,1187938208306421,-0.45,0.388,-0.498
1680007949857,1187938210808575,-0.52,0.367,-0.525
1680007949860,1187938213310638,-0.591,0.102,-0.648
1680007949862,1187938215812792,-0.539,0.163,-0.471
1680007949863,1187938218315023,-0.65,0.183,-0.484
1680007949867,1187938220817176,-0.667,0.19,-0.346
1680007949871,1187938223319253,-0.625,0.326,-0.389
1680007949871,1187938225821378,-0.586,0.344,-0.372
1680007949875,1187938228323532,-0.711,0.186,-0.411
1680007949877,1187938230825763,-0.647,0.206,-0.516
1680007949879,1187938233327840,-0.623,0.239,-0.35
1680007949881,1187938235829989,-0.586,0.286,-0.237
1680007949883,1187938238332142,-0.494,0.238,-0.193
1680007949888,1187938240834296,-0.617,0.27,-0.146
1680007949888,1187938243336450,-0.306,0.452,-0.169
1680007949891,1187938245838590,-0.379,0.335,-0.137
1680007949894,1187938248340744,-0.22,0.492,-0.147
1680007949899,1187938250842898,0.156,0.649,0.074
1680007949900,1187938253345052,0.015,0.669,-0.07
1680007949903,1187938255847190,0.228,0.812,0.097
1680007949904,1187938258349344,0.308,0.783,-0.063
1680007949907,1187938260851498,0.263,0.775,0.078
1680007949909,1187938263353652,0.354,0.741,0.068
1680007949911,1187938265855806,0.336,0.816,0.058
1680007949915,1187938268357951,0.495,0.741,0.089
1680007949917,1187938270859874,0.532,0.748,0.079
1680007949920,1187938273362028,0.664,0.701,0.232
1680007949921,1187938275864181,0.576,0.642,0.398
1680007949924,1187938278366551,0.736,0.622,0.292
1680007949927,1187938280868705,0.637,0.48,0.39
1680007949929,1187938283370859,0.606,0.46,0.488
1680007949931,1187938285873013,0.739,0.373,0.53
1680007949936,1187938288375162,0.844,0.313,0.791
1680007949939,1187938290877086,0.84,0.28,0.983
1680007949941,1187938293379470,0.882,0.356,0.729
1680007949942,1187938295881624,1.069,0.406,0.933
1680007949944,1187938298383547,0.943,0.36,0.947
1680007949949,1187938300885681,0.94,0.286,1.03
1680007949950,1187938303387835,1.006,0.281,1.003
1680007949951,1187938305889989,0.881,0.18,1.057
1680007949955,1187938308392143,0.934,0.269,0.921
1680007949958,1187938310894532,0.732,0.05,0.954
1680007949959,1187938313396686,0.798,0.155,1.006
1680007949962,1187938315898840,0.592,0.0,0.963
1680007949964,1187938318400763,0.7,0.036,1.071
1680007949967,1187938320902917,0.849,0.003,1.096
1680007949969,1187938323405090,0.902,0.108,1.12
1680007949973,1187938325907474,0.888,0.103,1.157
1680007949975,1187938328409397,1.051,0.18,1.18
1680007949978,1187938330911551,1.05,0.122,1.135
1680007949980,1187938333413725,1.009,0.145,1.184
1680007949982,1187938335915879,0.968,0.018,1.165
1680007949984,1187938338418033,0.955,-0.121,1.036
1680007949988,1187938340920417,1.377,0.255,1.22
1680007949991,1187938343422571,1.296,0.156,1.186
1680007949991,1187938345924749,1.27,0.221,0.96
1680007949994,1187938348426672,1.244,0.026,0.871
1680007949998,1187938350928826,1.151,0.185,0.849
1680007949999,1187938353430980,1.234,0.249,0.84
1680007950002,1187938355933057,1.223,0.231,0.75
1680007950004,1187938358435288,1.321,0.459,0.863
1680007950012,1187938360937441,1.243,0.318,0.609
1680007950013,1187938363439595,0.798,0.149,0.51
1680007950013,1187938365941725,1.195,0.459,0.568
1680007950014,1187938368443879,0.913,0.345,0.436
1680007950016,1187938370946033,0.768,0.394,0.305
1680007950018,1187938373448417,0.622,0.47,0.146
1680007950021,1187938375950341,0.709,0.587,0.109
1680007950024,1187938378452489,0.496,0.595,0.113
1680007950027,1187938380954643,0.86,0.726,0.046
1680007950030,1187938383456797,0.442,0.598,-0.071
1680007950031,1187938385958874,0.598,0.823,-0.108
1680007950034,1187938388461037,0.304,0.681,-0.077
1680007950037,1187938390963268,0.31,0.729,-0.072
1680007950039,1187938393465421,0.138,0.749,0.122
1680007950041,1187938395967575,-0.087,0.511,-0.062
1680007950044,1187938398469729,-0.326,0.272,-0.001
1680007950048,1187938400971912,-0.212,0.183,-0.157
1680007950051,1187938403473989,-0.833,-0.151,-0.013
1680007950052,1187938405976220,-1.033,-0.173,-0.112
1680007950057,1187938408478355,-1.028,-0.072,-0.075
1680007950059,1187938410980508,-0.766,0.015,-0.051
1680007950060,1187938413482585,-0.381,0.238,-0.257
1680007950062,1187938415984739,-0.473,0.325,-0.423
1680007950065,1187938418486893,-0.578,0.399,-0.383
1680007950069,1187938420989076,-0.669,0.431,-0.48
1680007950072,1187938423491307,-0.734,0.423,-0.536
1680007950074,1187938425993384,-0.812,0.347,-0.566
1680007950075,1187938428495537,-0.74,0.325,-0.513
1680007950077,1187938430997695,-0.845,0.222,-0.489
1680007950079,1187938433499849,-0.937,0.079,-0.26
1680007950081,1187938436002003,-0.962,0.004,0.035
1680007950085,1187938438504234,-0.823,-0.015,0.168
1680007950089,1187938441006388,-0.644,0.073,0.573
1680007950090,1187938443508465,-0.384,0.163,0.61
1680007950092,1187938446010618,-0.057,0.267,0.675
1680007950093,1187938448512772,0.147,0.289,0.631
1680007950097,1187938451014926,0.325,0.437,0.484
1680007950099,1187938453517095,0.543,0.46,0.507
1680007950101,1187938456019249,0.639,0.605,0.272
1680007950105,1187938458521403,0.625,0.518,0.31
1680007950106,1187938461023557,0.612,0.323,0.198
1680007950108,1187938463525729,0.559,0.358,0.467
1680007950111,1187938466027883,0.628,0.313,0.572
1680007950114,1187938468530037,0.569,0.315,0.491
1680007950117,1187938471032191,0.542,0.325,0.5
1680007950120,1187938473534350,0.543,0.224,0.51
1680007950123,1187938476036504,0.572,0.26,0.423
1680007950125,1187938478538658,0.573,0.16,0.501
1680007950128,1187938481040581,0.548,0.264,0.564
1680007950130,1187938483542709,0.604,0.191,0.546
1680007950132,1187938486045094,0.583,0.102,0.556
1680007950134,1187938488547248,0.597,0.276,0.508
1680007950139,1187938491049402,0.599,0.244,0.557
1680007950140,1187938493551556,0.588,0.239,0.511
1680007950141,1187938496053699,0.671,0.207,0.628
1680007950143,1187938498555853,0.687,0.256,0.486
1680007950147,1187938501058007,0.717,0.252,0.548
1680007950149,1187938503560161,0.629,0.243,0.505
1680007950152,1187938506062070,0.74,0.348,0.552
1680007950155,1187938508564224,0.715,0.316,0.559
1680007950157,1187938511066378,0.745,0.216,0.389
1680007950161,1187938513568762,0.734,0.17,0.396
1680007950162,1187938516070891,0.764,0.234,0.525
1680007950164,1187938518573045,0.822,0.27,0.613
1680007950167,1187938521074968,0.774,0.344,0.595
1680007950169,1187938523577122,0.763,0.313,0.573
1680007950171,1187938526079276,0.78,0.404,0.551
1680007950174,1187938528581661,0.784,0.249,0.557
1680007950178,1187938531083814,0.842,0.38,0.562
1680007950179,1187938533585738,0.751,0.362,0.622
1680007950181,1187938536087891,0.701,0.466,0.695
1680007950184,1187938538590065,0.685,0.441,0.541
1680007950187,1187938541092219,0.567,0.532,0.477
1680007950189,1187938543594296,0.476,0.404,0.468
1680007950192,1187938546096527,0.467,0.454,0.527
1680007950194,1187938548598685,0.581,0.34,0.408
1680007950199,1187938551100838,0.436,0.307,0.576
1680007950201,1187938553602992,0.332,0.329,0.403
1680007950203,1187938556105146,0.443,0.369,0.321
1680007950204,1187938558607315,0.42,0.365,0.392
1680007950207,1187938561109469,0.343,0.237,0.328
1680007950209,1187938563611623,0.321,0.287,0.318
1680007950211,1187938566113777,0.298,0.255,0.308
1680007950214,1187938568615930,0.316,0.196,0.162
1680007950217,1187938571118007,0.389,0.245,0.165
1680007950219,1187938573620161,0.402,0.285,0.168
