system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680014365659,1194354008764487,0.092,0.171,0.127
1680014365659,1194354011266948,-0.056,0.171,0.114
1680014365659,1194354013769102,-0.041,0.225,-0.171
1680014365673,1194354016271338,-0.013,0.225,-0.143
1680014365673,1194354018773492,-0.094,0.197,-0.143
1680014365673,1194354021275876,-0.128,0.275,-0.189
1680014365673,1194354023778039,-0.072,0.193,-0.174
1680014365673,1194354026280270,-0.098,0.261,-0.159
1680014365677,1194354028782655,-0.124,0.22,-0.159
1680014365677,1194354031284809,-0.206,0.247,-0.172
1680014365678,1194354033786962,-0.11,0.206,-0.226
1680014365683,1194354036289189,-0.109,0.178,-0.225
1680014365684,1194354038791574,-0.038,0.216,-0.269
1680014365686,1194354041293805,0.002,0.106,-0.281
1680014365689,1194354043795958,0.043,0.215,-0.321
1680014365693,1194354046298352,-0.037,0.27,-0.253
1680014365694,1194354048800506,-0.024,0.147,-0.171
1680014365696,1194354051302660,-0.064,0.12,-0.17
1680014365699,1194354053804891,-0.064,0.051,-0.197
1680014365702,1194354056307261,-0.035,0.131,-0.15
1680014365704,1194354058809492,-0.035,0.09,-0.068
1680014365710,1194354061311646,-0.089,-0.004,-0.163
1680014365710,1194354063814030,-0.049,-0.1,-0.203
1680014365712,1194354066316179,0.059,-0.072,-0.162
1680014365716,1194354068818410,0.004,-0.059,0.014
1680014365716,1194354071320564,0.045,0.036,-0.107
1680014365719,1194354073822949,0.161,-0.017,-0.116
1680014365729,1194354076325174,-0.07,-0.004,-0.129
1680014365729,1194354078827328,0.065,0.063,-0.224
1680014365730,1194354081329713,-0.016,0.05,-0.156
1680014365730,1194354083831867,-0.003,-0.017,-0.156
1680014365732,1194354086334097,-0.099,-0.044,0.007
1680014365734,1194354088836468,0.008,-0.058,-0.182
1680014365737,1194354091338622,-0.005,-0.003,0.007
1680014365739,1194354093840853,-0.032,0.05,0.008
1680014365746,1194354096343006,0.02,0.023,0.13
1680014365746,1194354098845145,0.02,0.105,-0.1
1680014365748,1194354101347530,0.033,0.064,0.104
1680014365749,1194354103849992,0.087,0.05,0.05
1680014365752,1194354106352145,0.045,0.132,-0.044
1680014365754,1194354108854299,0.149,0.025,0.05
1680014365756,1194354111356520,0.107,0.066,0.05
1680014365765,1194354113858674,0.12,0.079,-0.071
1680014365766,1194354116361058,0.16,0.025,0.037
1680014365766,1194354118863212,0.187,0.079,-0.084
1680014365766,1194354121365425,0.186,0.107,-0.151
1680014365769,1194354123867810,0.09,0.079,-0.056
1680014365772,1194354126370040,0.075,0.134,-0.079
1680014365780,1194354128872194,0.074,0.161,-0.023
1680014365781,1194354131374353,0.019,0.161,-0.037
1680014365781,1194354133876738,0.032,0.161,-0.037
1680014365784,1194354136378969,-0.008,0.12,-0.009
1680014365785,1194354138881122,0.017,0.161,-0.064
1680014365788,1194354141383497,-0.05,0.093,-0.132
1680014365790,1194354143885651,-0.062,0.079,-0.048
1680014365794,1194354146387805,-0.035,0.038,-0.021
1680014365795,1194354148890036,0.045,0.106,-0.076
1680014365797,1194354151392497,-0.009,0.052,-0.022
1680014365799,1194354153894656,0.003,0.039,-0.077
1680014365803,1194354156396810,-0.065,0.107,-0.036
1680014365804,1194354158899194,-0.052,-0.001,-0.078
1680014365810,1194354161401348,0.028,0.08,0.029
1680014365811,1194354163903565,-0.013,0.135,-0.093
1680014365812,1194354166405950,-0.054,0.136,-0.053
1680014365814,1194354168908104,0.012,0.109,-0.067
1680014365817,1194354171410334,0.025,0.068,0.081
1680014365821,1194354173912743,0.065,0.123,-0.055
1680014365827,1194354176414897,0.01,0.055,-0.015
1680014365827,1194354178917051,-0.002,0.151,0.09
1680014365828,1194354181419512,-0.003,0.124,0.267
1680014365829,1194354183921666,0.023,0.097,0.103
1680014365832,1194354186423809,0.036,0.124,0.225
1680014365834,1194354188925963,0.117,0.07,0.334
1680014365836,1194354191428424,0.075,0.166,0.334
1680014365839,1194354193930655,0.02,0.125,0.306
1680014365844,1194354196432804,0.073,0.14,0.192
1680014365845,1194354198934958,0.045,0.072,0.273
1680014365846,1194354201437342,0.058,0.1,0.219
1680014365849,1194354203939496,0.044,0.168,0.233
1680014365852,1194354206441732,0.057,0.018,0.275
1680014365854,1194354208944117,0.016,0.14,0.18
1680014365862,1194354211446270,0.07,0.018,0.127
1680014365863,1194354213948501,0.015,0.073,0.177
1680014365863,1194354216450665,-0.025,0.073,0.136
1680014365864,1194354218953050,-0.012,0.114,0.002
1680014365866,1194354221455204,0.096,0.086,0.098
1680014365869,1194354223957665,0.001,0.1,-0.022
1680014365872,1194354226459819,0.0,0.059,-0.116
1680014365879,1194354228962001,0.014,0.058,-0.156
1680014365879,1194354231464232,0.013,0.003,-0.149
1680014365880,1194354233966385,0.012,0.03,-0.12
1680014365883,1194354236468770,-0.028,-0.038,-0.173
1680014365885,1194354238971006,-0.069,0.002,-0.144
1680014365888,1194354241473390,0.025,-0.079,-0.252
1680014365893,1194354243975544,-0.015,-0.188,-0.101
1680014365893,1194354246477775,-0.03,-0.12,-0.249
1680014365896,1194354248979934,0.101,-0.093,-0.174
1680014365899,1194354251482088,-0.022,-0.025,-0.172
1680014365900,1194354253984549,-0.036,-0.053,-0.117
1680014365903,1194354256486703,0.044,-0.053,-0.102
1680014365904,1194354258988857,-0.024,-0.039,-0.046
1680014365909,1194354261491251,0.042,-0.08,-0.113
1680014365910,1194354263993481,-0.134,-0.026,-0.071
1680014365912,1194354266495635,0.078,-0.08,-0.134
1680014365914,1194354268998020,-0.004,-0.012,0.017
1680014365917,1194354271500247,0.022,-0.04,-0.035
1680014365920,1194354274002401,-0.019,-0.04,-0.007
1680014365927,1194354276504554,0.102,-0.013,0.048
1680014365927,1194354279006939,-0.048,0.041,0.09
1680014365928,1194354281509097,0.004,-0.04,-0.017
1680014365929,1194354284011328,0.043,0.068,-0.014
1680014365934,1194354286513712,0.029,0.109,0.041
1680014365936,1194354289015943,0.055,0.068,0.028
1680014365937,1194354291518097,0.027,0.081,0.139
1680014365939,1194354294020481,0.094,0.068,0.222
1680014365946,1194354296522635,0.038,0.081,0.006
1680014365947,1194354299024789,0.065,0.244,0.212
1680014365948,1194354301527251,0.091,0.299,0.091
1680014365949,1194354304029391,-0.018,0.408,0.052
1680014365952,1194354306531544,-0.005,0.366,-0.053
1680014365954,1194354309033775,-0.197,0.311,-0.119
1680014365956,1194354311535929,-0.143,0.257,-0.089
1680014365960,1194354314038338,-0.062,0.093,-0.099
1680014365963,1194354316540568,-0.009,-0.002,-0.164
1680014365965,1194354319042953,0.108,0.037,-0.222
1680014365967,1194354321545107,0.161,0.214,-0.327
1680014365971,1194354324047251,0.091,0.145,-0.283
1680014365978,1194354326549482,0.145,0.158,-0.267
1680014365979,1194354329051635,-0.1,0.171,-0.305
1680014365982,1194354331554097,-0.195,0.253,-0.207
1680014365983,1194354334056251,-0.264,0.293,-0.3
1680014365984,1194354336558664,-0.32,0.261,-0.207
1680014365985,1194354339060818,-0.305,0.274,-0.313
1680014365986,1194354341563049,-0.306,0.314,-0.12
1680014365989,1194354344065203,-0.361,0.246,-0.159
1680014365994,1194354346567607,-0.28,0.273,-0.17
1680014365994,1194354349069837,-0.294,0.259,-0.223
1680014365997,1194354351571991,-0.295,0.259,-0.207
1680014366000,1194354354074376,-0.258,0.322,-0.223
1680014366003,1194354356576530,-0.244,0.212,-0.029
1680014366005,1194354359078760,-0.34,0.307,-0.109
1680014366010,1194354361580914,-0.313,0.171,-0.147
1680014366011,1194354364083299,-0.409,0.13,0.071
1680014366013,1194354366585525,-0.383,0.089,-0.144
1680014366015,1194354369087679,-0.356,0.197,0.021
1680014366016,1194354371589832,-0.37,0.127,0.101
1680014366019,1194354374092217,-0.233,0.14,0.116
1680014366022,1194354376594371,-0.234,0.357,0.05
1680014366027,1194354379096828,-0.18,0.67,0.134
1680014366028,1194354381598982,-0.453,0.439,0.83
1680014366029,1194354384101213,-0.643,0.043,0.669
1680014366033,1194354386603367,-0.547,-0.079,0.018
1680014366034,1194354389105755,-0.423,0.023,-0.308
1680014366038,1194354391607909,-0.503,-0.087,-0.209
1680014366039,1194354394110140,-0.462,-0.264,-0.111
