system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680014365661,1194354015711762,24.35625,-91.200005,-228.71251,9.35,-61.32,-216.36
1680014365673,1194354025705078,24.35625,-90.787506,-229.06876,9.35,-61.32,-216.36
1680014365680,1194354035714443,24.16875,-90.9,-228.95625,9.35,-61.32,-216.36
1680014365693,1194354045716592,24.056252,-90.95625,-228.7875,9.35,-61.32,-216.36
1680014365700,1194354055719216,24.16875,-90.65625,-228.90001,9.35,-61.32,-216.36
1680014365711,1194354065728971,24.35625,-90.356255,-228.95625,9.35,-61.32,-216.36
1680014365720,1194354075724447,24.093752,-90.65625,-228.90001,9.35,-61.32,-216.36
1680014365730,1194354085731826,23.868752,-90.95625,-228.7875,9.35,-61.32,-216.36
1680014365745,1194354095725869,23.868752,-91.256256,-228.4875,9.35,-61.32,-216.36
1680014365750,1194354105720411,23.868752,-91.55625,-228.18752,9.35,-61.32,-216.36
1680014365765,1194354115721324,23.925001,-91.481255,-228.05626,9.35,-61.32,-216.36
1680014365770,1194354125718209,24.056252,-91.387505,-227.88751,9.35,-61.32,-216.36
1680014365781,1194354135728002,24.093752,-91.912506,-227.75626,9.35,-61.32,-216.36
1680014365794,1194354145730049,24.16875,-92.45625,-227.56876,9.35,-61.32,-216.36
1680014365800,1194354155732188,24.35625,-92.4,-227.75626,9.35,-61.32,-216.36
1680014365811,1194354165726654,24.468752,-92.287506,-227.88751,9.35,-61.32,-216.36
1680014365822,1194354175721139,24.35625,-92.2125,-227.88751,9.35,-61.32,-216.36
1680014365830,1194354185698128,24.093752,-91.912506,-227.88751,9.35,-61.32,-216.36
1680014365844,1194354195692666,23.925001,-91.856255,-228.05626,9.35,-61.32,-216.36
1680014365850,1194354205681334,23.8125,-91.8,-228.18752,9.35,-61.32,-216.36
1680014365863,1194354215649319,23.56875,-91.6125,-228.18752,9.35,-61.32,-216.36
1680014365870,1194354225668963,23.456251,-91.55625,-228.18752,9.35,-61.32,-216.36
1680014365880,1194354235671222,23.1375,-91.55625,-228.05626,9.35,-61.32,-216.36
1680014365893,1194354245686842,22.85625,-91.55625,-227.88751,9.35,-61.32,-216.36
1680014365901,1194354255687174,22.725,-91.481255,-228.05626,9.35,-61.32,-216.36
1680014365910,1194354265689413,22.66875,-91.481255,-228.18752,9.35,-61.32,-216.36
1680014365920,1194354275691409,22.59375,-91.481255,-228.35626,9.35,-61.32,-216.36
1680014365930,1194354285659894,22.9125,-91.8,-228.35626,9.35,-61.32,-216.36
1680014365945,1194354295665644,23.325,-91.912506,-228.35626,9.35,-61.32,-216.36
1680014365950,1194354305660072,23.56875,-92.100006,-228.3,9.35,-61.32,-216.36
1680014365960,1194354315662403,23.8125,-92.2125,-228.18752,9.35,-61.32,-216.36
1680014365972,1194354325690546,24.056252,-91.9875,-228.3,9.35,-61.32,-216.36
1680014365983,1194354335717421,24.16875,-91.856255,-228.18752,9.35,-61.32,-216.36
1680014365993,1194354345736209,24.35625,-92.100006,-228.00002,9.35,-61.32,-216.36
1680014366000,1194354355726382,24.468752,-92.287506,-227.75626,9.35,-61.32,-216.36
1680014366011,1194354365736978,24.093752,-91.912506,-227.75626,9.35,-61.32,-216.36
1680014366020,1194354375739127,23.75625,-91.55625,-227.75626,9.35,-61.32,-216.36
1680014366030,1194354385732219,23.325,-91.256256,-228.05626,9.35,-61.32,-216.36
1680014366040,1194354395731050,22.96875,-90.95625,-228.35626,9.35,-61.32,-216.36
1680014366051,1194354405709420,22.96875,-91.3125,-228.3,9.35,-61.32,-216.36
1680014366060,1194354415711516,22.96875,-91.668755,-228.18752,9.35,-61.32,-216.36
1680014366070,1194354425703415,22.9125,-91.668755,-228.18752,9.35,-61.32,-216.36
1680014366080,1194354435720635,22.85625,-91.668755,-228.18752,9.35,-61.32,-216.36
1680014366092,1194354445701082,22.96875,-91.912506,-228.18752,9.35,-61.32,-216.36
1680014366100,1194354455695707,23.1375,-92.15625,-228.18752,9.35,-61.32,-216.36
1680014366110,1194354465671009,23.5125,-92.2125,-228.18752,9.35,-61.32,-216.36
1680014366122,1194354475657864,23.868752,-92.287506,-228.18752,9.35,-61.32,-216.36
1680014366131,1194354485689392,23.5125,-92.100006,-228.3,9.35,-61.32,-216.36
1680014366140,1194354495684988,23.1375,-91.856255,-228.35626,9.35,-61.32,-216.36
1680014366150,1194354505700075,23.212502,-91.912506,-228.6,9.35,-61.32,-216.36
1680014366161,1194354515709844,23.268751,-91.9875,-228.7875,9.35,-61.32,-216.36
1680014366171,1194354525694387,23.268751,-91.856255,-229.01251,9.35,-61.32,-216.36
1680014366180,1194354535690310,23.268751,-91.668755,-229.25626,9.35,-61.32,-216.36
1680014366190,1194354545701314,23.025002,-91.6125,-229.31252,9.35,-61.32,-216.36
1680014366201,1194354555695910,22.85625,-91.55625,-229.38751,9.35,-61.32,-216.36
1680014366210,1194354565707958,23.025002,-91.6125,-229.25626,9.35,-61.32,-216.36
1680014366220,1194354575711337,23.268751,-91.668755,-229.06876,9.35,-61.32,-216.36
1680014366230,1194354585705933,23.1375,-91.55625,-229.01251,9.35,-61.32,-216.36
1680014366240,1194354595708125,22.96875,-91.387505,-228.95625,9.35,-61.32,-216.36
1680014366251,1194354605714976,23.325,-91.6125,-228.71251,9.35,-61.32,-216.36
1680014366260,1194354615724927,23.75625,-91.856255,-228.4875,9.35,-61.32,-216.36
1680014366272,1194354625734581,23.925001,-91.856255,-228.3,9.35,-61.32,-216.36
1680014366284,1194354635728965,24.16875,-91.856255,-228.05626,9.35,-61.32,-216.36
1680014366290,1194354645726339,24.093752,-91.668755,-228.18752,9.35,-61.32,-216.36
1680014366300,1194354655716873,24.056252,-91.55625,-228.35626,9.35,-61.32,-216.36
1680014366312,1194354665719050,24.225,-91.481255,-228.18752,9.35,-61.32,-216.36
1680014366322,1194354675734483,24.468752,-91.387505,-228.05626,9.35,-61.32,-216.36
1680014366332,1194354685736641,24.16875,-91.387505,-228.05626,9.35,-61.32,-216.36
1680014366340,1194354695738722,23.868752,-91.387505,-228.05626,9.35,-61.32,-216.36
1680014366351,1194354705733256,23.625,-91.3125,-228.1125,9.35,-61.32,-216.36
1680014366360,1194354715722102,23.456251,-91.256256,-228.18752,9.35,-61.32,-216.36
1680014366370,1194354725724328,23.75625,-91.3125,-228.18752,9.35,-61.32,-216.36
1680014366380,1194354735726572,24.056252,-91.387505,-228.18752,9.35,-61.32,-216.36
1680014366391,1194354745728749,24.056252,-91.256256,-228.4875,9.35,-61.32,-216.36
1680014366400,1194354755723235,24.056252,-91.0875,-228.7875,9.35,-61.32,-216.36
1680014366410,1194354765717629,23.868752,-91.200005,-228.95625,9.35,-61.32,-216.36
1680014366422,1194354775719686,23.75625,-91.256256,-229.06876,9.35,-61.32,-216.36
1680014366430,1194354785721763,23.56875,-91.387505,-229.06876,9.35,-61.32,-216.36
1680014366441,1194354795723974,23.456251,-91.55625,-229.06876,9.35,-61.32,-216.36
1680014366450,1194354805718479,23.025002,-91.6125,-229.01251,9.35,-61.32,-216.36
1680014366461,1194354815687113,22.66875,-91.668755,-228.95625,9.35,-61.32,-216.36
1680014366471,1194354825689252,22.556252,-91.912506,-228.90001,9.35,-61.32,-216.36
1680014366483,1194354835691305,22.368752,-92.15625,-228.7875,9.35,-61.32,-216.36
1680014366491,1194354845693458,22.59375,-92.100006,-228.7875,9.35,-61.32,-216.36
