system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680013659563,1193647917889535,-14.587501,-73.3125,-245.64375,9.35,-61.32,-216.36
1680013659577,1193647927891698,-14.587501,-73.3125,-245.64375,9.35,-61.32,-216.36
1680013659582,1193647937886173,-14.587501,-73.3125,-245.64375,9.35,-61.32,-216.36
1680013659594,1193647947880644,-14.2875,-73.256256,-245.64375,9.35,-61.32,-216.36
1680013659603,1193647957882778,-13.9875,-73.14375,-245.64375,9.35,-61.32,-216.36
1680013659612,1193647967877239,-14.118751,-73.3125,-245.81252,9.35,-61.32,-216.36
1680013659622,1193647977879383,-14.2875,-73.443756,-245.94376,9.35,-61.32,-216.36
1680013659633,1193647987890830,-14.118751,-73.3125,-245.86876,9.35,-61.32,-216.36
1680013659642,1193647997892978,-13.9875,-73.14375,-245.81252,9.35,-61.32,-216.36
1680013659652,1193648007902747,-14.231251,-73.55625,-245.75626,9.35,-61.32,-216.36
1680013659662,1193648017904872,-14.418751,-73.912506,-245.64375,9.35,-61.32,-216.36
1680013659672,1193648027897722,-14.531251,-73.912506,-245.58751,9.35,-61.32,-216.36
1680013659682,1193648037899832,-14.587501,-73.912506,-245.51251,9.35,-61.32,-216.36
1680013659692,1193648047894394,-14.587501,-73.912506,-245.51251,9.35,-61.32,-216.36
1680013659703,1193648057896553,-14.587501,-73.912506,-245.51251,9.35,-61.32,-216.36
1680013659712,1193648067891028,-14.418751,-74.34375,-245.45625,9.35,-61.32,-216.36
1680013659723,1193648077893898,-14.2875,-74.8125,-245.34377,9.35,-61.32,-216.36
1680013659732,1193648087896060,-14.231251,-74.512505,-245.58751,9.35,-61.32,-216.36
1680013659744,1193648097898147,-14.118751,-74.2125,-245.81252,9.35,-61.32,-216.36
1680013659752,1193648107900300,-14.2875,-74.45625,-245.58751,9.35,-61.32,-216.36
1680013659763,1193648117894174,-14.418751,-74.64375,-245.34377,9.35,-61.32,-216.36
1680013659772,1193648127896309,-14.418751,-74.756256,-245.21251,9.35,-61.32,-216.36
1680013659784,1193648137875837,-14.418751,-74.8125,-245.04376,9.35,-61.32,-216.36
1680013659792,1193648147877986,-14.418751,-74.34375,-245.15627,9.35,-61.32,-216.36
1680013659802,1193648157872409,-14.418751,-73.912506,-245.21251,9.35,-61.32,-216.36
1680013659812,1193648167866966,-14.2875,-74.025,-244.9125,9.35,-61.32,-216.36
1680013659823,1193648177861172,-14.118751,-74.2125,-244.6125,9.35,-61.32,-216.36
1680013659833,1193648187863345,-13.81875,-74.2125,-244.74376,9.35,-61.32,-216.36
1680013659842,1193648197873114,-13.500001,-74.2125,-244.9125,9.35,-61.32,-216.36
1680013659852,1193648207875194,-13.33125,-74.15625,-244.68752,9.35,-61.32,-216.36
1680013659862,1193648217900256,-13.087501,-74.025,-244.44376,9.35,-61.32,-216.36
1680013659873,1193648227894785,-13.387501,-74.34375,-244.25626,9.35,-61.32,-216.36
1680013659883,1193648237889323,-13.687501,-74.64375,-244.01251,9.35,-61.32,-216.36
1680013659894,1193648247891423,-13.63125,-74.64375,-243.84377,9.35,-61.32,-216.36
1680013659903,1193648257885894,-13.500001,-74.64375,-243.71251,9.35,-61.32,-216.36
1680013659912,1193648267887971,-13.500001,-74.756256,-243.95625,9.35,-61.32,-216.36
