system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679995139523,1175127876826853,0.461,2.625,9.437
1679995139524,1175127879328930,0.459,2.624,9.437
1679995139527,1175127881830853,0.456,2.624,9.438
1679995139530,1175127884332930,0.453,2.623,9.438
1679995139532,1175127886835083,0.451,2.622,9.438
1679995139534,1175127889337007,0.447,2.622,9.439
1679995139545,1175127891839165,0.444,2.621,9.439
1679995139545,1175127894341012,0.441,2.62,9.439
1679995139545,1175127896843165,0.439,2.619,9.44
1679995139545,1175127899345242,0.436,2.618,9.44
1679995139547,1175127901847160,0.434,2.617,9.44
1679995139549,1175127904349314,0.432,2.617,9.441
1679995139552,1175127906851468,0.421,2.616,9.441
1679995139556,1175127909353314,0.419,2.615,9.442
1679995139557,1175127911855391,0.417,2.614,9.442
1679995139560,1175127914357314,0.416,2.614,9.442
1679995139562,1175127916859699,0.415,2.613,9.442
1679995139565,1175127919361545,0.414,2.612,9.443
1679995139568,1175127921863699,0.414,2.612,9.443
1679995139573,1175127924365575,0.407,2.613,9.443
1679995139573,1175127926867729,0.407,2.613,9.443
1679995139576,1175127929369652,0.407,2.613,9.443
1679995139577,1175127931871806,0.408,2.612,9.443
1679995139579,1175127934373960,0.409,2.612,9.443
1679995139581,1175127936875811,0.41,2.611,9.443
1679995139585,1175127939377888,0.411,2.611,9.443
1679995139590,1175127941880042,0.413,2.611,9.443
1679995139591,1175127944381965,0.415,2.611,9.443
1679995139592,1175127946884061,0.416,2.611,9.443
1679995139595,1175127949386215,0.418,2.61,9.443
1679995139597,1175127951888138,0.42,2.61,9.443
1679995139600,1175127954390291,0.422,2.609,9.443
1679995139601,1175127956892138,0.423,2.609,9.443
1679995139607,1175127959394291,0.425,2.61,9.443
1679995139608,1175127961896368,0.427,2.609,9.443
1679995139610,1175127964398522,0.428,2.609,9.443
1679995139612,1175127966900459,0.43,2.608,9.443
1679995139616,1175127969402536,0.431,2.607,9.443
1679995139617,1175127971904459,0.433,2.607,9.443
1679995139624,1175127974406613,0.434,2.606,9.443
1679995139624,1175127976908445,0.439,2.607,9.443
1679995139625,1175127979410599,0.441,2.606,9.443
1679995139628,1175127981912753,0.442,2.605,9.443
1679995139630,1175127984414830,0.443,2.605,9.443
1679995139631,1175127986916753,0.444,2.604,9.444
1679995139634,1175127989418825,0.445,2.603,9.444
1679995139641,1175127991920748,0.446,2.603,9.444
1679995139642,1175127994422825,0.453,2.604,9.443
1679995139643,1175127996924714,0.454,2.604,9.443
1679995139645,1175127999427099,0.455,2.603,9.443
1679995139648,1175128001929022,0.455,2.603,9.443
1679995139649,1175128004431099,0.456,2.602,9.443
1679995139651,1175128006933022,0.456,2.602,9.444
1679995139656,1175128009435104,0.456,2.601,9.444
1679995139657,1175128011937027,0.458,2.606,9.442
1679995139659,1175128014439181,0.458,2.606,9.442
1679995139662,1175128016941258,0.457,2.606,9.442
1679995139665,1175128019443172,0.457,2.605,9.443
1679995139668,1175128021945326,0.457,2.605,9.443
1679995139669,1175128024447402,0.456,2.605,9.443
1679995139675,1175128026949326,0.456,2.604,9.443
1679995139676,1175128029451388,0.454,2.609,9.442
1679995139677,1175128031953541,0.453,2.609,9.442
1679995139680,1175128034455464,0.453,2.609,9.442
1679995139683,1175128036957618,0.453,2.609,9.442
1679995139685,1175128039459695,0.452,2.608,9.442
1679995139689,1175128041961541,0.452,2.608,9.442
1679995139690,1175128044463695,0.452,2.608,9.442
1679995139692,1175128046965618,0.452,2.607,9.442
1679995139694,1175128049467772,0.452,2.606,9.442
1679995139697,1175128051969873,0.453,2.606,9.443
1679995139699,1175128054471796,0.453,2.606,9.443
1679995139702,1175128056973950,0.453,2.605,9.443
1679995139706,1175128059476027,0.454,2.605,9.443
1679995139708,1175128061977945,0.454,2.605,9.443
1679995139709,1175128064480099,0.455,2.608,9.442
1679995139711,1175128066982176,0.455,2.608,9.442
1679995139714,1175128069484099,0.456,2.608,9.442
1679995139718,1175128071986186,0.457,2.608,9.442
1679995139722,1175128074488109,0.457,2.608,9.442
1679995139723,1175128076990263,0.458,2.608,9.442
1679995139724,1175128079492340,0.459,2.607,9.442
1679995139728,1175128081994508,0.458,2.61,9.441
1679995139729,1175128084496431,0.458,2.61,9.441
1679995139732,1175128086998508,0.459,2.609,9.441
1679995139734,1175128089500431,0.459,2.609,9.441
1679995139740,1175128092002483,0.459,2.609,9.441
1679995139741,1175128094504406,0.46,2.608,9.442
1679995139743,1175128097006560,0.46,2.608,9.442
1679995139745,1175128099508636,0.461,2.609,9.441
1679995139748,1175128102010785,0.461,2.609,9.441
1679995139751,1175128104512631,0.461,2.608,9.441
1679995139752,1175128107014785,0.461,2.608,9.442
1679995139760,1175128109516939,0.461,2.608,9.442
1679995139761,1175128112018862,0.461,2.607,9.442
1679995139762,1175128114520939,0.461,2.607,9.442
1679995139763,1175128117022862,0.46,2.607,9.442
1679995139765,1175128119524939,0.46,2.606,9.442
1679995139766,1175128122027093,0.46,2.606,9.442
1679995139775,1175128124529030,0.46,2.605,9.442
1679995139775,1175128127031184,0.46,2.604,9.443
1679995139777,1175128129533030,0.46,2.604,9.443
1679995139778,1175128132035184,0.46,2.603,9.443
1679995139780,1175128134537233,0.459,2.601,9.444
1679995139782,1175128137039156,0.459,2.601,9.444
1679995139785,1175128139541310,0.459,2.6,9.444
1679995139791,1175128142043387,0.459,2.6,9.444
1679995139792,1175128144545560,0.46,2.6,9.444
1679995139793,1175128147047483,0.46,2.6,9.444
1679995139796,1175128149549560,0.46,2.599,9.444
1679995139798,1175128152051483,0.461,2.598,9.444
1679995139799,1175128154553560,0.462,2.598,9.444
1679995139802,1175128157055483,0.462,2.598,9.444
1679995139806,1175128159557867,0.462,2.598,9.444
1679995139808,1175128162059714,0.463,2.598,9.444
1679995139809,1175128164561867,0.463,2.597,9.444
1679995139812,1175128167063747,0.463,2.597,9.444
1679995139814,1175128169565900,0.469,2.598,9.444
1679995139818,1175128172067823,0.469,2.598,9.444
1679995139819,1175128174569987,0.47,2.598,9.444
1679995139825,1175128177072064,0.47,2.598,9.444
1679995139826,1175128179573987,0.47,2.597,9.444
1679995139828,1175128182076064,0.47,2.597,9.444
1679995139832,1175128184578199,0.47,2.597,9.444
1679995139833,1175128187080045,0.47,2.601,9.443
1679995139836,1175128189582199,0.47,2.602,9.443
1679995139840,1175128192084353,0.47,2.601,9.443
1679995139841,1175128194586276,0.47,2.601,9.443
1679995139842,1175128197088348,0.47,2.601,9.443
1679995139844,1175128199590271,0.469,2.601,9.443
1679995139848,1175128202092348,0.469,2.6,9.443
1679995139849,1175128204594271,0.467,2.605,9.442
1679995139852,1175128207096444,0.467,2.605,9.442
1679995139858,1175128209598598,0.466,2.605,9.442
1679995139859,1175128212100675,0.466,2.605,9.442
1679995139861,1175128214602598,0.466,2.605,9.442
1679995139863,1175128217104670,0.465,2.604,9.442
1679995139865,1175128219606593,0.465,2.604,9.442
1679995139869,1175128222108670,0.464,2.604,9.442
1679995139871,1175128224610824,0.464,2.604,9.443
1679995139879,1175128227112968,0.463,2.604,9.443
1679995139880,1175128229614892,0.463,2.603,9.443
1679995139881,1175128232116968,0.462,2.603,9.443
1679995139882,1175128234618892,0.462,2.603,9.443
1679995139882,1175128237120968,0.462,2.602,9.443
1679995139886,1175128239622882,0.458,2.6,9.444
1679995139891,1175128242125266,0.458,2.6,9.444
1679995139891,1175128244627189,0.458,2.6,9.444
1679995139892,1175128247129266,0.457,2.6,9.444
1679995139896,1175128249631189,0.457,2.599,9.444
1679995139897,1175128252133266,0.457,2.599,9.444
1679995139900,1175128254635189,0.457,2.599,9.444
1679995139903,1175128257137343,0.454,2.599,9.444
1679995139907,1175128259639415,0.454,2.599,9.444
1679995139909,1175128262141569,0.454,2.599,9.445
1679995139910,1175128264643492,0.454,2.598,9.445
1679995139912,1175128267145569,0.454,2.598,9.445
1679995139914,1175128269647492,0.454,2.598,9.445
1679995139917,1175128272149593,0.454,2.598,9.445
1679995139920,1175128274651747,0.458,2.604,9.443
1679995139922,1175128277153670,0.458,2.605,9.443
1679995139925,1175128279655747,0.458,2.605,9.443
1679995139929,1175128282157901,0.459,2.605,9.443
1679995139930,1175128284659824,0.459,2.605,9.443
1679995139932,1175128287161901,0.46,2.605,9.443
1679995139935,1175128289663824,0.46,2.605,9.443
1679995139937,1175128292165978,0.462,2.607,9.442
1679995139940,1175128294668055,0.463,2.607,9.442
1679995139945,1175128297169978,0.463,2.607,9.442
1679995139947,1175128299672055,0.464,2.607,9.442
1679995139949,1175128302174218,0.464,2.607,9.442
1679995139951,1175128304676141,0.465,2.607,9.442
1679995139952,1175128307178218,0.465,2.607,9.442
1679995139955,1175128309680141,0.464,2.609,9.441
1679995139957,1175128312182295,0.464,2.609,9.441
1679995139960,1175128314684372,0.465,2.609,9.441
1679995139963,1175128317186526,0.465,2.609,9.441
1679995139965,1175128319688449,0.465,2.609,9.441
1679995139968,1175128322190526,0.466,2.609,9.441
1679995139970,1175128324692425,0.466,2.609,9.441
1679995139972,1175128327194502,0.468,2.607,9.441
1679995139975,1175128329696656,0.468,2.607,9.442
1679995139978,1175128332198502,0.469,2.607,9.442
1679995139981,1175128334700656,0.469,2.607,9.442
1679995139984,1175128337202810,0.469,2.606,9.442
1679995139987,1175128339704733,0.469,2.606,9.442
1679995139988,1175128342206810,0.469,2.606,9.442
1679995139990,1175128344708733,0.472,2.605,9.442
1679995139992,1175128347210805,0.472,2.604,9.442
1679995139995,1175128349712728,0.472,2.604,9.442
1679995139998,1175128352215113,0.472,2.604,9.442
1679995140000,1175128354717036,0.472,2.604,9.442
1679995140003,1175128357219137,0.472,2.603,9.442
1679995140005,1175128359721060,0.472,2.603,9.442
1679995140008,1175128362223137,0.475,2.608,9.441
1679995140010,1175128364725060,0.475,2.608,9.441
1679995140012,1175128367227243,0.475,2.608,9.441
1679995140015,1175128369729396,0.475,2.607,9.441
1679995140019,1175128372231243,0.475,2.607,9.441
1679995140021,1175128374733396,0.474,2.607,9.441
1679995140024,1175128377235219,0.474,2.607,9.441
1679995140026,1175128379737372,0.473,2.608,9.441
1679995140029,1175128382239449,0.472,2.608,9.441
1679995140031,1175128384741603,0.472,2.608,9.441
1679995140032,1175128387243526,0.471,2.608,9.441
1679995140037,1175128389745602,0.471,2.608,9.441
1679995140040,1175128392247525,0.47,2.608,9.441
1679995140040,1175128394749679,0.47,2.608,9.441
1679995140043,1175128397251756,0.466,2.609,9.441
1679995140045,1175128399753665,0.466,2.61,9.441
1679995140050,1175128402255819,0.465,2.609,9.441
1679995140051,1175128404757896,0.465,2.609,9.441
1679995140052,1175128407259819,0.464,2.609,9.441
1679995140056,1175128409761896,0.464,2.609,9.441
1679995140059,1175128412263819,0.463,2.609,9.441
1679995140061,1175128414765973,0.462,2.611,9.441
1679995140063,1175128417268127,0.461,2.611,9.441
1679995140065,1175128419770204,0.461,2.611,9.441
1679995140068,1175128422272132,0.461,2.611,9.441
1679995140070,1175128424774209,0.461,2.611,9.441
1679995140072,1175128427276363,0.461,2.611,9.441
1679995140075,1175128429778209,0.461,2.61,9.441
1679995140078,1175128432280397,0.46,2.61,9.441
1679995140080,1175128434782550,0.461,2.61,9.441
1679995140083,1175128437284473,0.461,2.61,9.441
1679995140085,1175128439786550,0.461,2.61,9.441
1679995140088,1175128442288449,0.462,2.609,9.441
1679995140090,1175128444790526,0.463,2.609,9.441
1679995140094,1175128447292450,0.464,2.609,9.441
1679995140096,1175128449794526,0.464,2.61,9.441
1679995140098,1175128452296767,0.465,2.61,9.441
1679995140101,1175128454798613,0.466,2.61,9.441
1679995140103,1175128457300767,0.467,2.61,9.441
1679995140105,1175128459802844,0.468,2.609,9.441
1679995140108,1175128462304767,0.469,2.609,9.441
1679995140110,1175128464806830,0.47,2.609,9.441
1679995140113,1175128467309061,0.473,2.61,9.44
1679995140115,1175128469810907,0.474,2.61,9.44
1679995140119,1175128472313061,0.475,2.61,9.44
1679995140120,1175128474814906,0.476,2.61,9.44
1679995140123,1175128477317060,0.477,2.609,9.44
1679995140125,1175128479819137,0.478,2.609,9.441
1679995140128,1175128482321060,0.478,2.609,9.441
1679995140131,1175128484823190,0.483,2.608,9.44
1679995140133,1175128487325267,0.484,2.608,9.441
1679995140135,1175128489827190,0.484,2.607,9.441
1679995140138,1175128492329267,0.484,2.607,9.441
1679995140140,1175128494831421,0.484,2.606,9.441
1679995140143,1175128497333354,0.484,2.606,9.441
1679995140162,1175128499835431,0.484,2.606,9.441
1679995140167,1175128502337584,0.487,2.607,9.441
1679995140167,1175128504839508,0.487,2.607,9.441
1679995140167,1175128507341584,0.487,2.607,9.441
1679995140167,1175128509843489,0.487,2.606,9.441
1679995140167,1175128512345642,0.487,2.606,9.441
1679995140168,1175128514847719,0.486,2.605,9.441
1679995140168,1175128517349873,0.486,2.605,9.441
1679995140168,1175128519851723,0.485,2.608,9.44
1679995140169,1175128522353877,0.484,2.609,9.44
1679995140171,1175128524855800,0.484,2.608,9.44
1679995140172,1175128527357954,0.484,2.608,9.441
1679995140175,1175128529860036,0.484,2.607,9.441
1679995140177,1175128532361959,0.484,2.607,9.441
1679995140180,1175128534864113,0.483,2.607,9.441
1679995140183,1175128537365959,0.479,2.608,9.441
1679995140185,1175128539868109,0.478,2.608,9.441
1679995140188,1175128542370186,0.478,2.608,9.441
1679995140189,1175128544872340,0.478,2.607,9.441
1679995140192,1175128547374263,0.479,2.607,9.441
1679995140196,1175128549876330,0.479,2.607,9.441
1679995140199,1175128552378253,0.479,2.606,9.441
1679995140200,1175128554880330,0.474,2.605,9.442
1679995140202,1175128557382484,0.474,2.604,9.442
1679995140206,1175128559884648,0.475,2.604,9.442
1679995140209,1175128562386571,0.475,2.603,9.442
1679995140211,1175128564888648,0.475,2.603,9.442
1679995140212,1175128567390571,0.476,2.603,9.442
1679995140215,1175128569892648,0.477,2.602,9.442
1679995140217,1175128572394580,0.475,2.603,9.442
1679995140219,1175128574896733,0.475,2.602,9.442
1679995140223,1175128577398887,0.476,2.602,9.443
1679995140225,1175128579900964,0.477,2.602,9.443
1679995140229,1175128582402906,0.477,2.601,9.443
1679995140230,1175128584904983,0.478,2.601,9.443
1679995140232,1175128587406906,0.478,2.6,9.443
1679995140235,1175128589908983,0.475,2.599,9.443
1679995140237,1175128592410906,0.475,2.598,9.444
1679995140239,1175128594913301,0.475,2.598,9.444
1679995140244,1175128597415147,0.475,2.597,9.444
1679995140247,1175128599917301,0.475,2.597,9.444
1679995140248,1175128602419199,0.475,2.596,9.444
1679995140250,1175128604921276,0.475,2.596,9.444
1679995140252,1175128607423199,0.476,2.594,9.445
1679995140255,1175128609925353,0.476,2.593,9.445
1679995140257,1175128612427430,0.476,2.593,9.445
1679995140260,1175128614929584,0.475,2.592,9.445
1679995140263,1175128617431430,0.474,2.592,9.445
1679995140265,1175128619933584,0.474,2.592,9.445
1679995140268,1175128622435507,0.473,2.591,9.446
1679995140270,1175128624937584,0.475,2.593,9.445
1679995140273,1175128627439738,0.475,2.593,9.445
1679995140275,1175128629941661,0.474,2.593,9.445
1679995140278,1175128632443738,0.473,2.592,9.445
1679995140283,1175128634945671,0.473,2.592,9.445
1679995140283,1175128637447825,0.472,2.592,9.445
1679995140286,1175128639949901,0.471,2.592,9.446
1679995140288,1175128642451825,0.469,2.59,9.446
1679995140290,1175128644953978,0.469,2.59,9.446
1679995140292,1175128647456083,0.468,2.589,9.446
1679995140295,1175128649958006,0.467,2.589,9.446
1679995140297,1175128652460083,0.466,2.589,9.447
1679995140300,1175128654962006,0.466,2.589,9.447
1679995140303,1175128657464184,0.465,2.589,9.447
1679995140305,1175128659966338,0.461,2.585,9.448
1679995140308,1175128662468415,0.46,2.585,9.448
1679995140310,1175128664970338,0.46,2.585,9.448
1679995140315,1175128667472430,0.46,2.585,9.448
1679995140316,1175128669974353,0.46,2.585,9.448
1679995140320,1175128672476430,0.46,2.585,9.448
1679995140322,1175128674978584,0.46,2.585,9.448
1679995140324,1175128677480512,0.459,2.583,9.449
1679995140327,1175128679982589,0.459,2.582,9.449
1679995140330,1175128682484512,0.459,2.582,9.449
1679995140331,1175128684986589,0.46,2.582,9.449
1679995140333,1175128687488820,0.46,2.582,9.449
1679995140335,1175128689990824,0.461,2.582,9.449
1679995140337,1175128692492747,0.462,2.583,9.449
1679995140340,1175128694994824,0.46,2.581,9.449
1679995140344,1175128697496747,0.461,2.581,9.449
1679995140346,1175128699998810,0.461,2.581,9.449
1679995140348,1175128702500733,0.462,2.581,9.449
1679995140350,1175128705002887,0.463,2.581,9.449
1679995140352,1175128707505041,0.463,2.581,9.449
1679995140356,1175128710007112,0.464,2.58,9.449
1679995140359,1175128712509036,0.469,2.582,9.448
1679995140362,1175128715011112,0.469,2.582,9.448
1679995140363,1175128717513036,0.47,2.582,9.448
1679995140365,1175128720015189,0.47,2.582,9.448
1679995140367,1175128722517266,0.47,2.582,9.448
1679995140370,1175128725019420,0.47,2.582,9.448
1679995140372,1175128727521343,0.47,2.581,9.448
1679995140375,1175128730023420,0.472,2.582,9.448
1679995140379,1175128732525314,0.472,2.582,9.448
1679995140380,1175128735027391,0.471,2.581,9.448
1679995140383,1175128737529545,0.471,2.581,9.448
1679995140385,1175128740031699,0.471,2.581,9.448
1679995140388,1175128742533545,0.47,2.581,9.449
1679995140390,1175128745035699,0.47,2.581,9.449
1679995140395,1175128747537545,0.473,2.582,9.448
1679995140396,1175128750039699,0.473,2.582,9.448
1679995140398,1175128752541622,0.472,2.581,9.448
1679995140400,1175128755043776,0.472,2.581,9.448
1679995140402,1175128757545853,0.471,2.581,9.448
1679995140405,1175128760047776,0.471,2.581,9.448
1679995140408,1175128762549853,0.47,2.581,9.448
1679995140410,1175128765051776,0.466,2.581,9.449
1679995140412,1175128767553853,0.465,2.581,9.449
1679995140415,1175128770056084,0.465,2.581,9.449
1679995140418,1175128772558161,0.465,2.581,9.449
1679995140420,1175128775060075,0.465,2.581,9.449
1679995140424,1175128777562152,0.464,2.581,9.449
1679995140427,1175128780064075,0.464,2.581,9.449
1679995140432,1175128782566171,0.462,2.583,9.448
1679995140433,1175128785068094,0.462,2.583,9.448
1679995140434,1175128787570247,0.462,2.583,9.449
1679995140437,1175128790072401,0.462,2.583,9.449
1679995140439,1175128792574478,0.462,2.583,9.449
1679995140440,1175128795076377,0.462,2.583,9.449
