system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680020366049,1200354399993599,0.380316,0.475539,0.465503,0.642283
1680020366049,1200354402495984,0.380277,0.4756,0.465524,0.642246
1680020366051,1200354404998215,0.380238,0.475662,0.465545,0.642208
1680020366053,1200354407500605,0.380205,0.475725,0.465565,0.642165
1680020366067,1200354410002836,0.380375,0.475635,0.465738,0.642006
1680020366067,1200354412505221,0.380369,0.475687,0.465768,0.64195
1680020366067,1200354415007682,0.380346,0.475753,0.465778,0.641907
1680020366067,1200354417509937,0.38032,0.475819,0.465788,0.641867
1680020366068,1200354420012091,0.380293,0.475882,0.465797,0.641829
1680020366070,1200354422514475,0.380269,0.475941,0.465807,0.641793
1680020366074,1200354425016706,0.380239,0.475997,0.465817,0.641762
1680020366074,1200354427519091,0.380441,0.476157,0.465794,0.64154
1680020366075,1200354430021340,0.380427,0.476214,0.465801,0.641501
1680020366078,1200354432523724,0.380387,0.476258,0.465811,0.641484
1680020366080,1200354435025955,0.380342,0.476297,0.465828,0.64147
1680020366084,1200354437528345,0.380295,0.476329,0.465847,0.64146
1680020366085,1200354440030575,0.380247,0.476364,0.465866,0.641448
1680020366091,1200354442532960,0.380197,0.476396,0.465885,0.641441
1680020366091,1200354445035422,0.380016,0.476471,0.465841,0.641524
1680020366093,1200354447537575,0.379955,0.476503,0.465852,0.641529
1680020366095,1200354450039797,0.379909,0.47653,0.465868,0.641524
1680020366098,1200354452542182,0.379867,0.476551,0.465885,0.641522
1680020366102,1200354455044413,0.379825,0.476573,0.465902,0.641517
1680020366104,1200354457546797,0.379787,0.476595,0.465917,0.641513
1680020366108,1200354460049273,0.379754,0.476612,0.465931,0.64151
1680020366109,1200354462551503,0.379741,0.476818,0.465806,0.641454
1680020366111,1200354465053657,0.379712,0.476851,0.465806,0.641448
1680020366112,1200354467556042,0.379678,0.476865,0.465824,0.641445
1680020366115,1200354470058273,0.379641,0.476878,0.465846,0.64144
1680020366118,1200354472560681,0.379604,0.47689,0.465871,0.641435
1680020366120,1200354475063143,0.379565,0.476904,0.465893,0.641432
