system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679932757331,1112745681892698,-0.475,-0.032,0.665
1679932757331,1112745684652698,-0.348,-0.044,0.709
1679932757333,1112745686897082,-0.291,0.011,0.739
1679932757334,1112745689399236,-0.112,0.134,0.866
1679932757336,1112745691901659,-0.111,0.203,0.884
1679932757339,1112745694403813,0.106,0.136,0.888
1679932757341,1112745696905966,0.161,0.191,0.975
1679932757356,1112745699408197,0.325,0.261,0.992
1679932757356,1112745701910337,0.448,0.098,1.079
1679932757357,1112745704412491,0.571,0.084,0.879
1679932757357,1112745706914645,0.64,0.084,0.857
1679932757358,1112745709416799,0.75,0.098,0.698
1679932757359,1112745711919192,0.861,0.152,0.716
1679932757363,1112745714421423,0.781,0.151,0.557
1679932757363,1112745716923577,0.926,0.139,0.446
1679932757365,1112745719425731,0.927,0.274,0.423
1679932757369,1112745721927884,1.123,0.313,0.346
1679932757370,1112745724430038,0.951,0.203,0.172
1679932757372,1112745726932192,0.821,0.255,-0.028
1679932757374,1112745729434346,0.801,0.103,0.083
1679932757379,1112745731936731,0.742,0.156,-0.09
1679932757380,1112745734438899,0.621,0.163,-0.16
1679932757382,1112745736941129,0.643,0.242,-0.075
1679932757385,1112745739443283,0.545,0.199,-0.101
1679932757388,1112745741945437,0.516,0.17,-0.004
1679932757390,1112745744447582,0.378,0.209,-0.14
1679932757391,1112745746949966,0.365,0.249,-0.153
1679932757396,1112745749452120,0.338,0.152,0.01
1679932757398,1112745751954274,0.224,0.24,0.014
1679932757400,1112745754456433,0.089,0.183,0.096
1679932757402,1112745756958587,-0.004,0.223,0.314
1679932757405,1112745759460818,-0.002,0.318,0.3
1679932757407,1112745761962972,-0.219,0.263,0.231
1679932757413,1112745764465356,-0.231,0.168,0.408
1679932757414,1112745766967471,-0.257,0.25,0.366
1679932757414,1112745769469625,-0.308,0.219,0.457
1679932757417,1112745771971779,-0.306,0.314,0.469
1679932757420,1112745774473933,-0.36,0.301,0.755
1679932757422,1112745776976076,-0.427,0.207,0.795
1679932757425,1112745779478307,-0.373,0.303,0.754
1679932757431,1112745781980461,-0.373,0.14,0.809
1679932757432,1112745784482615,-0.415,0.087,0.986
1679932757436,1112745786984979,-0.328,0.145,0.95
1679932757436,1112745789487133,-0.328,0.133,0.949
1679932757437,1112745791989287,-0.316,0.079,0.95
1679932757440,1112745794491441,-0.196,0.08,0.882
1679932757443,1112745796993672,-0.226,0.108,0.856
1679932757447,1112745799495803,-0.107,0.041,0.748
1679932757447,1112745801997957,-0.207,0.027,0.682
1679932757450,1112745804500110,-0.132,0.098,0.637
1679932757452,1112745807002495,-0.109,0.126,0.502
1679932757454,1112745809504649,-0.155,0.126,0.559
1679932757457,1112745812006871,-0.065,0.181,0.52
1679932757463,1112745814509024,0.023,0.181,0.359
1679932757463,1112745817011178,-0.077,0.127,0.456
1679932757465,1112745819513332,-0.015,0.236,0.404
1679932757467,1112745822015481,0.022,0.179,0.311
1679932757471,1112745824517635,0.07,0.151,0.381
1679932757474,1112745827020096,0.106,0.205,0.193
1679932757479,1112745829522173,0.114,0.151,0.086
1679932757479,1112745832024389,0.136,0.164,0.02
1679932757480,1112745834526543,0.226,0.232,0.009
1679932757482,1112745837028697,0.303,0.245,-0.029
1679932757486,1112745839530851,0.186,0.225,0.043
1679932757488,1112745842033025,0.277,0.17,0.059
1679932757490,1112745844535409,0.205,0.388,0.074
1679932757492,1112745847037563,0.284,0.429,0.034
1679932757499,1112745849539717,0.267,0.442,0.09
1679932757501,1112745852041871,0.197,0.442,0.104
1679932757502,1112745854544092,0.154,0.429,-0.057
1679932757503,1112745857046245,0.097,0.325,0.109
1679932757505,1112745859548630,0.013,0.351,0.11
1679932757508,1112745862050770,0.025,0.338,0.151
1679932757512,1112745864552924,0.01,0.284,0.302
1679932757513,1112745867055078,0.064,0.284,0.356
1679932757515,1112745869557308,-0.018,0.258,0.261
1679932757518,1112745872059462,-0.115,0.218,0.302
1679932757520,1112745874561630,-0.108,0.189,0.395
1679932757522,1112745877063784,-0.054,0.135,0.368
1679932757525,1112745879565938,-0.11,0.135,0.518
1679932757529,1112745882068092,-0.18,0.068,0.546
1679932757530,1112745884570447,-0.168,0.028,0.424
1679932757532,1112745887072678,-0.211,0.001,0.398
1679932757535,1112745889574832,-0.146,0.043,0.412
1679932757537,1112745892076986,-0.168,-0.008,0.314
1679932757540,1112745894579164,-0.157,0.033,0.315
1679932757542,1112745897081317,-0.161,0.006,0.221
1679932757548,1112745899583471,-0.139,0.034,0.168
1679932757549,1112745902085856,-0.144,0.048,0.142
1679932757552,1112745904587991,-0.23,0.117,0.185
1679932757553,1112745907090145,-0.223,0.158,0.092
1679932757554,1112745909592298,-0.127,0.168,0.175
1679932757557,1112745912094529,-0.282,0.168,0.109
1679932757563,1112745914596683,-0.289,0.182,0.03
