system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1680008826608,1188814960195968,0.0455125,0.095699996,-0.015125
1680008826609,1188814962698122,0.035475,0.086625,-0.015125
1680008826610,1188814965200276,0.030524999,0.0807125,-0.0160875
1680008826613,1188814967702416,0.0254375,0.073699996,-0.0160875
1680008826630,1188814970204646,0.0204875,0.059675,-0.0191125
1680008826630,1188814972706800,0.0155375,0.048675,-0.0160875
1680008826631,1188814975208877,0.0055,0.037675,-0.0100375
1680008826632,1188814977711031,4.125E-4,0.0286,-0.0100375
1680008826632,1188814980213185,-0.002475,0.0215875,-0.0081124995
1680008826633,1188814982715416,0.0015125,0.0187,-0.009075
1680008826633,1188814985217493,0.002475,0.0246125,-0.0011
1680008826634,1188814987719723,0.008525,0.0226875,-0.0
1680008826640,1188814990221886,0.0094875,0.0187,0.0039875
1680008826640,1188814992724040,0.007425,0.015675,0.007975
1680008826641,1188814995226194,0.0064625,0.009625,0.006875
1680008826643,1188814997728348,0.0064625,0.004675,0.0089375
1680008826645,1188815000230502,0.0055,0.0026125,0.0099
1680008826647,1188815002732905,0.002475,0.0026125,0.011
1680008826650,1188815005235059,0.008525,0.00165,0.0119624995
1680008826656,1188815007737213,0.0055,0.0037125,0.0089375
1680008826658,1188815010239372,0.0034375,0.0037125,0.0089375
1680008826659,1188815012741526,0.0055,0.004675,0.0039875
1680008826661,1188815015243679,0.0064625,0.009625,0.0059125
1680008826664,1188815017745910,0.0055,0.0066,0.0059125
1680008826666,1188815020248064,0.007425,0.009625,0.00495
1680008826671,1188815022750194,0.008525,0.0116875,0.0059125
1680008826672,1188815025252348,0.0094875,0.0116875,0.00495
1680008826673,1188815027754502,0.0094875,0.009625,-0.0
1680008826675,1188815030256655,0.0055,0.0105875,0.001925
1680008826677,1188815032758732,0.0055,0.01265,-0.0011
1680008826680,1188815035260963,0.0034375,0.009625,0.001925
1680008826683,1188815037763348,4.125E-4,0.0066,-0.0
1680008826688,1188815040265502,4.125E-4,0.0037125,-0.0020625
1680008826688,1188815042767425,4.125E-4,0.004675,-0.004125
1680008826691,1188815045269589,4.125E-4,0.0026125,-0.0020625
1680008826694,1188815047771742,-5.5E-4,0.0037125,-0.0011
1680008826697,1188815050274127,-5.5E-4,0.0037125,-0.003025
1680008826698,1188815052776247,-0.002475,0.0026125,-0.0020625
1680008826700,1188815055278401,-0.0045375,-4.125E-4,-0.003025
1680008826704,1188815057780555,-0.002475,0.0066,-0.004125
1680008826705,1188815060282708,-0.0055,0.0077,-0.003025
1680008826707,1188815062784862,4.125E-4,-4.125E-4,-0.0020625
1680008826710,1188815065287002,-0.0015125,0.0077,-0.003025
