system_ts_ms, sensor_ts_ns, accXr, accYr, accZr, accDXr, accDYr, accDZr
1679930463941,1110452295870974,-3.07905,2.8200002,8.710051,0.0,0.0,0.0
1679930463943,1110452298373051,-3.108,2.736,8.715,0.0,0.0,0.0
1679930463945,1110452300875205,-3.009,2.805,8.65305,0.0,0.0,0.0
1679930463948,1110452303377051,-3.0570002,2.74305,8.80395,0.0,0.0,0.0
1679930463950,1110452305879219,-3.1339502,2.7499502,8.703,0.0,0.0,0.0
1679930463952,1110452308381373,-3.1320002,2.79795,8.587951,0.0,0.0,0.0
1679930463962,1110452310883296,-3.072,2.77395,8.67405,0.0,0.0,0.0
1679930463962,1110452313385373,-3.177,2.72895,8.682,0.0,0.0,0.0
1679930463963,1110452315887291,-3.1909502,2.69295,8.578951,0.0,0.0,0.0
1679930463963,1110452318389368,-3.1549501,2.7190502,8.655001,0.0,0.0,0.0
1679930463965,1110452320891522,-3.25605,2.76195,8.545051,0.0,0.0,0.0
1679930463969,1110452323393440,-3.28695,2.805,8.622001,0.0,0.0,0.0
1679930463973,1110452325895594,-3.2580001,2.7769501,8.59305,0.0,0.0,0.0
1679930463974,1110452328397671,-3.246,2.77005,8.634001,0.0,0.0,0.0
1679930463976,1110452330899594,-3.2730002,2.6860502,8.55,0.0,0.0,0.0
1679930463977,1110452333401671,-3.3259501,2.7930002,8.677051,0.0,0.0,0.0
1679930463980,1110452335903575,-3.2659502,2.72895,8.59095,0.0,0.0,0.0
1679930463982,1110452338405652,-3.3060002,2.8219502,8.571,0.0,0.0,0.0
1679930463985,1110452340907882,-3.2580001,2.7910502,8.578951,0.0,0.0,0.0
1679930463989,1110452343409729,-3.2970002,2.772,8.64795,0.0,0.0,0.0
1679930463990,1110452345911887,-3.24195,2.7169502,8.65305,0.0,0.0,0.0
1679930463992,1110452348413964,-3.1750503,2.7580502,8.65995,0.0,0.0,0.0
1679930463995,1110452350915887,-3.2940001,2.8510501,8.59095,0.0,0.0,0.0
1679930463997,1110452353417964,-3.2250001,2.7600002,8.6650505,0.0,0.0,0.0
1679930464000,1110452355919887,-3.249,2.7550502,8.658,0.0,0.0,0.0
1679930464002,1110452358422286,-3.1669502,2.79795,8.569051,0.0,0.0,0.0
1679930464007,1110452360924132,-3.1890001,2.772,8.65995,0.0,0.0,0.0
1679930464008,1110452363426286,-3.1669502,2.832,8.677051,0.0,0.0,0.0
1679930464011,1110452365928229,-3.2580001,2.8510501,8.595,0.0,0.0,0.0
1679930464013,1110452368430306,-3.3300002,2.8200002,8.677051,0.0,0.0,0.0
1679930464015,1110452370932229,-3.18405,2.8150501,8.682,0.0,0.0,0.0
1679930464017,1110452373434383,-3.249,2.9160001,8.66205,0.0,0.0,0.0
1679930464020,1110452375936460,-3.213,2.9250002,8.622001,0.0,0.0,0.0
1679930464023,1110452378438652,-3.2680502,2.8129501,8.63595,0.0,0.0,0.0
1679930464025,1110452380940498,-3.2680502,2.7889502,8.6310005,0.0,0.0,0.0
1679930464028,1110452383442652,-3.17895,2.8630502,8.703,0.0,0.0,0.0
1679930464030,1110452385944575,-3.18195,2.8890002,8.66205,0.0,0.0,0.0
1679930464033,1110452388446652,-3.1960502,2.80305,8.59095,0.0,0.0,0.0
1679930464035,1110452390948830,-3.2370002,2.87295,8.63595,0.0,0.0,0.0
1679930464042,1110452393450753,-3.18705,2.8270502,8.694,0.0,0.0,0.0
1679930464042,1110452395952830,-3.1990502,2.79795,8.619,0.0,0.0,0.0
1679930464046,1110452398454719,-3.1390502,2.7480001,8.62905,0.0,0.0,0.0
1679930464047,1110452400956873,-3.1990502,2.7960002,8.64105,0.0,0.0,0.0
1679930464048,1110452403458949,-3.153,2.77905,8.530951,0.0,0.0,0.0
1679930464050,1110452405960873,-3.14295,2.7169502,8.569051,0.0,0.0,0.0
1679930464053,1110452408463026,-3.10995,2.77005,8.62695,0.0,0.0,0.0
1679930464058,1110452410965132,-3.1390502,2.80305,8.62695,0.0,0.0,0.0
1679930464058,1110452413467055,-3.213,2.79795,8.524051,0.0,0.0,0.0
1679930464060,1110452415969132,-3.1890001,2.7169502,8.63805,0.0,0.0,0.0
1679930464063,1110452418471286,-3.0880501,2.8219502,8.60505,0.0,0.0,0.0
1679930464066,1110452420973209,-3.14595,2.7840002,8.569051,0.0,0.0,0.0
1679930464068,1110452423475286,-3.1339502,2.8579502,8.530951,0.0,0.0,0.0
1679930464071,1110452425977209,-3.21495,2.808,8.655001,0.0,0.0,0.0
1679930464075,1110452428479363,-3.2010002,2.7169502,8.599951,0.0,0.0,0.0
1679930464076,1110452430981445,-3.2269502,2.7480001,8.655001,0.0,0.0,0.0
1679930464078,1110452433483599,-3.04305,2.805,8.68605,0.0,0.0,0.0
1679930464082,1110452435985522,-3.07905,2.8560002,8.710051,0.0,0.0,0.0
