system_ts_ms, sensor_ts_ns, magX, magY, magZ
1679998855892,1178844239574530,10.9125,-26.75625,-26.400002
1679998855895,1178844249569078,11.15625,-26.925001,-26.400002
1679998855920,1178844259571106,11.212501,-27.056252,-26.400002
1679998855922,1178844269579952,11.2875,-27.243752,-26.400002
1679998855925,1178844279596432,11.043751,-27.056252,-26.212502
1679998855940,1178844289589816,10.856251,-26.925001,-26.081251
1679998855945,1178844299574647,10.856251,-26.75625,-26.212502
1679998855954,1178844309558556,10.856251,-26.643751,-26.400002
1679998855966,1178844319566608,10.6125,-26.456251,-26.5125
1679998855976,1178844329541608,10.387501,-26.343752,-26.7
1679998855984,1178844339551377,10.6125,-26.400002,-26.7
1679998855994,1178844349553478,10.856251,-26.456251,-26.7
1679998856005,1178844359534261,10.856251,-26.7,-26.643751
1679998856015,1178844369554088,10.856251,-26.925001,-26.5125
1679998856027,1178844379538640,10.9125,-26.8875,-26.643751
1679998856035,1178844389541019,10.9875,-26.75625,-26.7
1679998856048,1178844399526611,11.15625,-26.8875,-26.643751
1679998856055,1178844409516423,11.2875,-26.925001,-26.5125
1679998856065,1178844419495148,11.15625,-27.000002,-26.400002
1679998856079,1178844429464441,10.9875,-27.056252,-26.212502
1679998856085,1178844439488609,11.043751,-26.75625,-26.212502
1679998856096,1178844449492632,11.15625,-26.456251,-26.212502
1679998856104,1178844459507959,11.212501,-26.587502,-26.212502
1679998856117,1178844469508261,11.2875,-26.643751,-26.212502
1679998856129,1178844479508722,11.15625,-26.75625,-26.212502
1679998856135,1178844489521645,10.9875,-26.925001,-26.212502
1679998856145,1178844499517525,10.9875,-27.056252,-26.156252
1679998856155,1178844509552525,10.9875,-27.243752,-26.081251
1679998856165,1178844519545279,10.856251,-27.35625,-26.343752
1679998856178,1178844529522510,10.668751,-27.54375,-26.5125
1679998856185,1178844539532962,10.668751,-27.35625,-26.456251
1679998856195,1178844549496100,10.668751,-27.243752,-26.400002
1679998856204,1178844559502720,10.856251,-27.187502,-26.400002
1679998856217,1178844569521575,10.9875,-27.056252,-26.400002
1679998856226,1178844579500705,11.15625,-26.925001,-26.5125
1679998856235,1178844589506628,11.2875,-26.75625,-26.7
1679998856250,1178844599481724,11.2875,-26.75625,-26.456251
1679998856255,1178844609459113,11.2875,-26.75625,-26.212502
1679998856266,1178844619458536,11.15625,-27.000002,-26.212502
1679998856274,1178844629451920,10.9875,-27.243752,-26.212502
1679998856285,1178844639458578,10.856251,-27.000002,-26.212502
1679998856295,1178844649460275,10.668751,-26.75625,-26.212502
1679998856304,1178844659490972,10.556251,-26.7,-26.081251
1679998856315,1178844669494178,10.387501,-26.643751,-25.9125
1679998856325,1178844679501865,10.387501,-26.75625,-26.081251
1679998856335,1178844689510629,10.387501,-26.925001,-26.212502
1679998856346,1178844699512764,10.556251,-26.75625,-26.081251
1679998856355,1178844709528509,10.668751,-26.643751,-25.9125
1679998856371,1178844719529076,10.856251,-26.7,-25.85625
1679998856375,1178844729537301,10.9875,-26.75625,-25.800001
1679998856385,1178844739528662,10.9125,-26.7,-26.04375
1679998856395,1178844749534988,10.856251,-26.643751,-26.212502
1679998856405,1178844759550049,10.856251,-26.343752,-26.343752
1679998856417,1178844769556703,10.856251,-26.04375,-26.400002
1679998856425,1178844779569611,10.9125,-26.343752,-26.456251
1679998856435,1178844789545149,10.9875,-26.643751,-26.5125
