system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680016506740,1196495092445428,3.337,1.152,9.148
1680016506740,1196495094947812,3.34,1.152,9.147
1680016506753,1196495097450274,3.342,1.152,9.147
1680016506754,1196495099952505,3.343,1.153,9.146
1680016506754,1196495102454659,3.345,1.153,9.145
1680016506755,1196495104957043,3.346,1.154,9.145
1680016506755,1196495107459274,3.347,1.154,9.144
1680016506755,1196495109961659,3.351,1.158,9.142
1680016506759,1196495112463850,3.352,1.159,9.142
1680016506760,1196495114966235,3.353,1.16,9.142
1680016506762,1196495117468466,3.353,1.16,9.141
1680016506764,1196495119970850,3.354,1.161,9.141
1680016506767,1196495122473081,3.354,1.162,9.141
1680016506770,1196495124975486,3.354,1.162,9.141
1680016506772,1196495127477947,3.362,1.169,9.137
1680016506777,1196495129980178,3.362,1.171,9.137
1680016506777,1196495132482332,3.362,1.172,9.137
1680016506781,1196495134984697,3.361,1.172,9.137
1680016506783,1196495137486927,3.361,1.173,9.137
1680016506785,1196495139989081,3.36,1.174,9.137
1680016506788,1196495142491543,3.359,1.175,9.137
1680016506790,1196495144993927,3.357,1.18,9.138
1680016506794,1196495147496173,3.356,1.181,9.138
1680016506795,1196495149998558,3.355,1.182,9.138
1680016506799,1196495152500789,3.354,1.184,9.138
1680016506800,1196495155003173,3.352,1.185,9.139
1680016506802,1196495157505606,3.351,1.186,9.139
1680016506805,1196495160007760,3.35,1.187,9.139
1680016506810,1196495162509990,3.345,1.194,9.14
1680016506810,1196495165012375,3.343,1.196,9.141
1680016506812,1196495167514577,3.342,1.197,9.141
1680016506815,1196495170016731,3.341,1.198,9.141
1680016506819,1196495172519192,3.339,1.2,9.141
1680016506820,1196495175021577,3.338,1.201,9.142
1680016506822,1196495177523808,3.337,1.202,9.142
1680016506826,1196495180026192,3.329,1.208,9.144
1680016506827,1196495182528423,3.327,1.21,9.145
1680016506829,1196495185030808,3.327,1.211,9.145
1680016506833,1196495187533038,3.326,1.212,9.145
1680016506834,1196495190035433,3.326,1.213,9.144
1680016506838,1196495192537664,3.326,1.214,9.144
1680016506840,1196495195040048,3.327,1.215,9.144
1680016506844,1196495197542202,3.317,1.222,9.147
1680016506845,1196495200044409,3.317,1.223,9.147
1680016506847,1196495202546871,3.317,1.224,9.146
1680016506850,1196495205049255,3.318,1.225,9.146
1680016506852,1196495207551486,3.319,1.225,9.145
1680016506856,1196495210053875,3.32,1.226,9.145
1680016506861,1196495212556105,3.322,1.226,9.144
1680016506861,1196495215058490,3.317,1.228,9.146
1680016506862,1196495217560721,3.317,1.228,9.146
1680016506864,1196495220063105,3.318,1.229,9.145
1680016506867,1196495222565317,3.32,1.229,9.145
1680016506870,1196495225067702,3.321,1.23,9.144
