system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680016506753,1196495100481165,13.087501,-16.78125,-23.7
1680016506756,1196495110481415,13.14375,-16.987501,-23.8875
1680016506765,1196495120479741,13.087501,-16.85625,-24.056252
1680016506777,1196495130490626,13.012501,-16.6875,-24.187502
1680016506786,1196495140487760,12.712501,-16.181252,-24.300001
1680016506795,1196495150497005,12.4125,-15.656251,-24.35625
1680016506805,1196495160460533,12.168751,-15.712501,-24.4125
1680016506815,1196495170461715,11.94375,-15.7875,-24.487501
1680016506826,1196495180504561,12.1125,-15.656251,-24.35625
1680016506835,1196495190469013,12.0,-15.6,-24.300001
1680016506845,1196495200476450,11.94375,-15.712501,-24.300001
1680016506857,1196495210439223,11.887501,-15.900001,-24.300001
1680016506865,1196495220400127,12.0,-16.087502,-24.187502
1680016506877,1196495230397665,12.168751,-16.3125,-24.112501
1680016506886,1196495240398483,12.243751,-15.900001,-24.187502
1680016506896,1196495250413160,12.3,-15.4125,-24.300001
1680016506905,1196495260424337,12.168751,-15.4875,-24.4125
1680016506916,1196495270440347,12.243751,-15.4875,-24.487501
1680016506929,1196495280444812,12.243751,-15.281251,-24.300001
1680016506935,1196495290466095,12.243751,-15.056251,-24.056252
1680016506945,1196495300475268,12.168751,-15.056251,-24.187502
1680016506955,1196495310454450,12.1125,-15.056251,-24.35625
1680016506966,1196495320446854,11.94375,-15.4125,-24.112501
1680016506978,1196495330408748,12.1125,-15.656251,-24.0
1680016506986,1196495340400666,12.1125,-15.4875,-24.056252
1680016506996,1196495350410569,12.1125,-15.281251,-23.8125
1680016507007,1196495360409857,12.168751,-15.281251,-23.8875
1680016507016,1196495370414684,12.0,-15.4875,-24.112501
1680016507028,1196495380405404,11.887501,-15.6,-24.056252
1680016507035,1196495390415091,11.8125,-15.656251,-23.7
1680016507045,1196495400446769,11.94375,-15.656251,-23.2875
1680016507055,1196495410453192,12.1125,-15.712501,-23.1
1680016507066,1196495420472173,12.243751,-15.7875,-22.85625
1680016507078,1196495430470452,12.168751,-15.712501,-23.1
1680016507086,1196495440464999,12.1125,-15.656251,-23.2875
1680016507096,1196495450481503,12.243751,-15.4875,-23.400002
1680016507106,1196495460456013,12.4125,-15.356251,-23.456251
1680016507117,1196495470437229,12.3,-15.356251,-23.75625
1680016507126,1196495480406912,12.243751,-15.356251,-24.056252
1680016507136,1196495490378363,12.1125,-15.6,-24.112501
1680016507146,1196495500379646,11.94375,-15.7875,-24.187502
1680016507158,1196495510383909,12.0,-16.087502,-23.8875
1680016507166,1196495520418428,12.1125,-16.368752,-23.587502
1680016507176,1196495530426491,12.0,-16.556252,-23.7
1680016507186,1196495540435568,11.94375,-16.6875,-23.75625
1680016507195,1196495550457481,12.4125,-16.78125,-23.75625
1680016507206,1196495560437029,12.843751,-16.85625,-23.75625
1680016507216,1196495570438966,13.087501,-16.612501,-23.75625
1680016507226,1196495580448884,13.312501,-16.368752,-23.75625
1680016507235,1196495590458649,13.387501,-16.5,-24.0
1680016507246,1196495600468336,13.44375,-16.556252,-24.187502
1680016507255,1196495610477624,13.500001,-16.556252,-24.056252
1680016507269,1196495620485230,13.6125,-16.556252,-23.8875
1680016507276,1196495630479648,13.387501,-16.556252,-23.7
