system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1680016506753,1196495100481165,5.2875004,-69.95625,-230.94376,-7.8,-53.16,-207.24
1680016506756,1196495110481415,5.34375,-70.14375,-231.1125,-7.8,-53.16,-207.24
1680016506765,1196495120479741,5.2875004,-70.012505,-231.3,-7.8,-53.16,-207.24
1680016506777,1196495130490626,5.2125,-69.84375,-231.4125,-7.8,-53.16,-207.24
1680016506786,1196495140487760,4.9125004,-69.356255,-231.54376,-7.8,-53.16,-207.24
1680016506795,1196495150497005,4.6125,-68.8125,-231.58125,-7.8,-53.16,-207.24
1680016506805,1196495160460533,4.36875,-68.86875,-231.65627,-7.8,-53.16,-207.24
1680016506815,1196495170461715,4.14375,-68.943756,-231.71251,-7.8,-53.16,-207.24
1680016506826,1196495180504561,4.3125,-68.8125,-231.58125,-7.8,-53.16,-207.24
1680016506835,1196495190469013,4.2000003,-68.756256,-231.54376,-7.8,-53.16,-207.24
1680016506845,1196495200476450,4.14375,-68.86875,-231.54376,-7.8,-53.16,-207.24
1680016506857,1196495210439223,4.0875,-69.05625,-231.54376,-7.8,-53.16,-207.24
1680016506865,1196495220400127,4.2000003,-69.24375,-231.4125,-7.8,-53.16,-207.24
1680016506877,1196495230397665,4.36875,-69.4875,-231.35626,-7.8,-53.16,-207.24
1680016506886,1196495240398483,4.4437504,-69.05625,-231.4125,-7.8,-53.16,-207.24
1680016506896,1196495250413160,4.5,-68.5875,-231.54376,-7.8,-53.16,-207.24
1680016506905,1196495260424337,4.36875,-68.64375,-231.65627,-7.8,-53.16,-207.24
1680016506916,1196495270440347,4.4437504,-68.64375,-231.71251,-7.8,-53.16,-207.24
1680016506929,1196495280444812,4.4437504,-68.45625,-231.54376,-7.8,-53.16,-207.24
1680016506936,1196495290466095,4.4437504,-68.2125,-231.3,-7.8,-53.16,-207.24
1680016506945,1196495300475268,4.36875,-68.2125,-231.4125,-7.8,-53.16,-207.24
1680016506955,1196495310454450,4.3125,-68.2125,-231.58125,-7.8,-53.16,-207.24
1680016506966,1196495320446854,4.14375,-68.5875,-231.35626,-7.8,-53.16,-207.24
1680016506978,1196495330408748,4.3125,-68.8125,-231.24376,-7.8,-53.16,-207.24
1680016506986,1196495340400666,4.3125,-68.64375,-231.3,-7.8,-53.16,-207.24
1680016506996,1196495350410569,4.3125,-68.45625,-231.05626,-7.8,-53.16,-207.24
1680016507007,1196495360409857,4.36875,-68.45625,-231.1125,-7.8,-53.16,-207.24
1680016507016,1196495370414684,4.2000003,-68.64375,-231.35626,-7.8,-53.16,-207.24
1680016507028,1196495380405404,4.0875,-68.756256,-231.3,-7.8,-53.16,-207.24
1680016507035,1196495390415091,4.0125003,-68.8125,-230.94376,-7.8,-53.16,-207.24
1680016507045,1196495400446769,4.14375,-68.8125,-230.51251,-7.8,-53.16,-207.24
1680016507055,1196495410453192,4.3125,-68.86875,-230.34377,-7.8,-53.16,-207.24
1680016507066,1196495420472173,4.4437504,-68.943756,-230.08125,-7.8,-53.16,-207.24
1680016507079,1196495430470452,4.36875,-68.86875,-230.34377,-7.8,-53.16,-207.24
1680016507086,1196495440464999,4.3125,-68.8125,-230.51251,-7.8,-53.16,-207.24
1680016507096,1196495450481503,4.4437504,-68.64375,-230.64375,-7.8,-53.16,-207.24
1680016507106,1196495460456013,4.6125,-68.512505,-230.70001,-7.8,-53.16,-207.24
1680016507117,1196495470437229,4.5,-68.512505,-231.00002,-7.8,-53.16,-207.24
1680016507126,1196495480406912,4.4437504,-68.512505,-231.3,-7.8,-53.16,-207.24
1680016507136,1196495490378363,4.3125,-68.756256,-231.35626,-7.8,-53.16,-207.24
1680016507146,1196495500379646,4.14375,-68.943756,-231.4125,-7.8,-53.16,-207.24
1680016507158,1196495510383909,4.2000003,-69.24375,-231.1125,-7.8,-53.16,-207.24
1680016507166,1196495520418428,4.3125,-69.525,-230.81252,-7.8,-53.16,-207.24
1680016507176,1196495530426491,4.2000003,-69.7125,-230.94376,-7.8,-53.16,-207.24
1680016507187,1196495540435568,4.14375,-69.84375,-231.00002,-7.8,-53.16,-207.24
1680016507195,1196495550457481,4.6125,-69.95625,-231.00002,-7.8,-53.16,-207.24
1680016507206,1196495560437029,5.0437503,-70.012505,-231.00002,-7.8,-53.16,-207.24
1680016507216,1196495570438966,5.2875004,-69.76875,-231.00002,-7.8,-53.16,-207.24
1680016507226,1196495580448884,5.5125003,-69.525,-231.00002,-7.8,-53.16,-207.24
1680016507236,1196495590458649,5.5875,-69.65625,-231.24376,-7.8,-53.16,-207.24
1680016507246,1196495600468336,5.64375,-69.7125,-231.4125,-7.8,-53.16,-207.24
