system_ts_ms, sensor_ts_ns, linX, linY, linZ
1680001707076,1181695430777721,0.241,0.232,0.16
1680001707078,1181695433279875,0.255,0.191,0.079
1680001707081,1181695435781937,0.282,0.272,0.189
1680001707086,1181695438284168,0.323,0.245,0.135
1680001707087,1181695440786322,0.268,0.272,0.122
1680001707088,1181695443288476,0.268,0.286,0.042
1680001707091,1181695445790635,0.254,0.258,0.07
1680001707094,1181695448292788,0.295,0.326,0.194
1680001707097,1181695450794942,0.308,0.353,0.072
1680001707101,1181695453297327,0.308,0.325,0.141
1680001707102,1181695455799481,0.309,0.284,0.142
1680001707104,1181695458301635,0.39,0.324,0.075
1680001707107,1181695460803788,0.349,0.297,0.117
1680001707108,1181695463305942,0.349,0.269,0.064
1680001707111,1181695465808096,0.39,0.31,0.01
1680001707113,1181695468310356,0.349,0.282,0.012
1680001707118,1181695470812510,0.335,0.309,0.0
1680001707119,1181695473314664,0.308,0.307,0.057
1680001707122,1181695475816818,0.416,0.293,0.018
1680001707124,1181695478318990,0.294,0.266,0.142
1680001707127,1181695480821144,0.307,0.388,-0.019
1680001707129,1181695483323298,0.306,0.361,0.036
1680001707131,1181695485825452,0.32,0.333,0.038
1680001707136,1181695488327597,0.305,0.279,0.108
1680001707137,1181695490829981,0.265,0.317,-0.008
1680001707138,1181695493332135,0.278,0.371,0.048
1680001707141,1181695495834058,0.359,0.357,-0.031
1680001707144,1181695498336212,0.372,0.317,0.024
1680001707146,1181695500838587,0.276,0.371,0.094
1680001707153,1181695503340818,0.343,0.439,0.041
1680001707155,1181695505842895,0.343,0.398,0.043
1680001707156,1181695508345048,0.41,0.317,0.167
1680001707158,1181695510847207,0.327,0.358,0.169
1680001707160,1181695513349361,0.326,0.372,0.048
1680001707163,1181695515851515,0.353,0.385,0.077
1680001707164,1181695518353746,0.284,0.358,0.243
1680001707169,1181695520855914,0.311,0.358,0.095
1680001707169,1181695523358067,0.378,0.357,0.193
1680001707174,1181695525860221,0.378,0.33,0.207
1680001707175,1181695528362375,0.282,0.33,0.168
1680001707177,1181695530864529,0.282,0.357,0.143
1680001707179,1181695533366914,0.24,0.288,0.105
1680001707185,1181695535869067,0.281,0.288,0.176
1680001707187,1181695538371221,0.334,0.342,0.246
1680001707188,1181695540873375,0.307,0.287,0.058
1680001707189,1181695543375543,0.319,0.286,0.063
1680001707191,1181695545877697,0.36,0.272,0.107
1680001707194,1181695548379928,0.359,0.354,0.014
1680001707196,1181695550882081,0.385,0.271,0.125
1680001707199,1181695553384231,0.344,0.189,0.142
1680001707201,1181695555886385,0.411,0.298,0.09
1680001707204,1181695558388539,0.37,0.352,0.093
1680001707207,1181695560890639,0.355,0.217,0.136
1680001707210,1181695563392716,0.395,0.244,0.084
1680001707212,1181695565895177,0.517,0.23,0.032
1680001707214,1181695568397331,0.38,0.243,0.007
1680001707217,1181695570899485,0.489,0.106,0.119
1680001707219,1181695573401408,0.461,0.174,-0.027
1680001707221,1181695575903562,0.42,0.2,-0.011
1680001707224,1181695578405716,0.402,0.148,0.047
1680001707226,1181695580908100,0.415,0.216,0.01
1680001707228,1181695583410244,0.401,0.161,-0.014
1680001707232,1181695585912398,0.305,0.119,0.097
1680001707233,1181695588414552,0.291,0.159,0.004
1680001707236,1181695590916706,0.019,0.281,0.062
1680001707239,1181695593418865,-0.022,0.321,-0.002
1680001707241,1181695595921019,0.115,0.289,0.056
1680001707244,1181695598423249,0.06,0.193,0.006
1680001707248,1181695600925403,0.004,0.152,0.093
1680001707250,1181695603427547,-0.106,0.098,-0.051
1680001707252,1181695605929701,0.082,0.138,-0.128
1680001707255,1181695608431855,-0.014,0.179,-0.218
1680001707257,1181695610934009,-0.07,0.125,-0.227
1680001707259,1181695613436393,-0.044,0.12,-0.293
1680001707262,1181695615938557,0.021,0.161,-0.355
1680001707264,1181695618440711,-0.075,0.161,-0.376
1680001707266,1181695620942865,-0.05,0.148,-0.276
1680001707270,1181695623445019,-0.053,0.23,-0.256
1680001707272,1181695625947172,-0.123,0.312,-0.25
1680001707274,1181695628449326,-0.044,0.258,-0.271
1680001707277,1181695630951480,-0.016,0.279,-0.136
1680001707279,1181695633453711,-0.045,0.32,-0.007
1680001707282,1181695635955826,-0.089,0.321,-0.095
1680001707285,1181695638457980,-0.106,0.39,0.005
1680001707288,1181695640960057,0.135,0.391,-0.014
1680001707291,1181695643462186,-0.071,0.487,0.06
1680001707293,1181695645964417,0.006,0.461,0.053
1680001707294,1181695648466571,0.038,0.467,0.101
1680001707297,1181695650968725,0.062,0.44,-0.027
1680001707299,1181695653470879,0.154,0.469,-0.047
1680001707302,1181695655973052,0.232,0.457,-0.012
1680001707305,1181695658475205,0.337,0.444,0.05
1680001707307,1181695660977590,0.319,0.364,-0.049
1680001707309,1181695663479744,0.343,0.461,-0.013
1680001707312,1181695665981898,0.541,0.342,0.132
1680001707314,1181695668484043,0.564,0.398,-0.144
1680001707317,1181695670986197,0.655,0.44,-0.012
1680001707319,1181695673488350,0.692,0.305,-0.112
1680001707324,1181695675990504,0.824,0.401,0.006
1680001707325,1181695678492744,0.902,0.388,0.125
1680001707328,1181695680994898,0.817,0.43,0.23
1680001707331,1181695683497052,0.782,0.394,0.212
1680001707333,1181695685999206,0.752,0.408,0.222
1680001707335,1181695688501359,0.694,0.408,0.177
1680001707336,1181695691003533,0.664,0.449,0.187
1680001707340,1181695693505918,0.634,0.449,0.211
1680001707342,1181695696008072,0.631,0.394,0.248
1680001707344,1181695698509995,0.575,0.42,0.339
1680001707347,1181695701012379,0.612,0.435,0.132
1680001707349,1181695703514533,0.487,0.366,0.264
1680001707352,1181695706016687,0.498,0.324,0.205
1680001707354,1181695708518610,0.496,0.365,0.31
1680001707356,1181695711021081,0.48,0.296,0.278
1680001707360,1181695713523235,0.491,0.309,0.247
1680001707362,1181695716025312,0.462,0.294,0.365
1680001707364,1181695718527465,0.447,0.362,0.221
1680001707367,1181695721029706,0.526,0.212,0.23
1680001707369,1181695723531860,0.456,0.225,0.416
1680001707372,1181695726034014,0.427,0.17,0.329
1680001707374,1181695728536168,0.384,0.196,0.392
1680001707376,1181695731038322,0.355,0.182,0.359
1680001707379,1181695733540499,0.353,0.209,0.421
1680001707382,1181695736042884,0.418,0.159,0.392
1680001707384,1181695738545038,0.512,0.186,0.439
1680001707386,1181695741047192,0.429,0.2,0.46
1680001707390,1181695743549351,0.495,0.213,0.48
1680001707392,1181695746051504,0.48,0.158,0.5
1680001707394,1181695748553658,0.547,0.157,0.56
1680001707397,1181695751055812,0.546,0.157,0.538
1680001707401,1181695753558071,0.595,0.151,0.424
1680001707403,1181695756060225,0.608,0.328,0.469
1680001707404,1181695758562302,0.648,0.26,0.418
1680001707407,1181695761064456,0.674,0.314,0.327
1680001707409,1181695763566609,0.647,0.354,0.412
1680001707411,1181695766068831,0.714,0.299,0.389
1680001707414,1181695768570985,0.768,0.393,0.297
1680001707416,1181695771073139,0.777,0.318,0.296
1680001707419,1181695773575293,0.763,0.304,0.285
1680001707422,1181695776077456,0.817,0.317,0.301
1680001707430,1181695778579609,0.776,0.262,0.29
1680001707432,1181695781081763,0.777,0.397,0.224
1680001707432,1181695783584148,0.75,0.369,0.145
1680001707432,1181695786086297,0.736,0.354,0.242
1680001707435,1181695788588451,0.76,0.345,0.255
1680001707436,1181695791090605,0.528,0.344,0.175
1680001707438,1181695793592758,0.597,0.357,0.204
1680001707441,1181695796094912,0.488,0.328,0.192
1680001707443,1181695798597066,0.53,0.354,0.194
1680001707446,1181695801099297,0.462,0.38,0.222
