system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1680001707005,1181695358214571,0.602003,-0.015128,0.595031,0.53226
1680001707008,1181695360716735,0.602019,-0.015118,0.595016,0.532257
1680001707009,1181695363219120,0.602038,-0.015106,0.594998,0.532256
1680001707011,1181695365721274,0.602037,-0.015994,0.594182,0.533143
1680001707014,1181695368223428,0.602059,-0.015966,0.594139,0.533167
1680001707021,1181695370725581,0.602078,-0.015952,0.594114,0.533175
1680001707023,1181695373227725,0.602096,-0.015943,0.594096,0.533174
1680001707024,1181695375729879,0.602115,-0.015932,0.594075,0.533176
1680001707025,1181695378232110,0.602133,-0.015923,0.594052,0.533182
1680001707027,1181695380734187,0.602148,-0.015914,0.59403,0.53319
1680001707029,1181695383236360,0.602161,-0.015906,0.59401,0.533197
1680001707036,1181695385738590,0.602072,-0.016851,0.593237,0.534128
1680001707037,1181695388240744,0.602076,-0.016857,0.593216,0.534148
1680001707038,1181695390742821,0.60209,-0.016855,0.593191,0.534159
1680001707040,1181695393245029,0.602105,-0.016852,0.593169,0.534167
1680001707041,1181695395747260,0.602125,-0.016846,0.593143,0.534173
1680001707043,1181695398249414,0.602141,-0.016837,0.593119,0.534183
1680001707047,1181695400751568,0.602162,-0.016834,0.593087,0.534195
1680001707051,1181695403253731,0.602092,-0.016906,0.59314,0.534211
1680001707052,1181695405755885,0.602111,-0.016917,0.593108,0.534226
1680001707053,1181695408258039,0.602141,-0.01692,0.593064,0.534241
1680001707056,1181695410760424,0.602171,-0.016923,0.593018,0.534258
1680001707059,1181695413262558,0.602203,-0.016928,0.59297,0.534275
1680001707062,1181695415764711,0.602236,-0.016938,0.592919,0.534294
1680001707064,1181695418266865,0.602272,-0.016948,0.592867,0.534311
1680001707068,1181695420769019,0.602143,-0.017034,0.592945,0.534367
1680001707069,1181695423271173,0.602162,-0.017054,0.592905,0.53439
1680001707071,1181695425773414,0.6022,-0.017071,0.592847,0.534411
1680001707075,1181695428275568,0.602239,-0.01709,0.59279,0.53443
1680001707076,1181695430777721,0.602278,-0.017111,0.592733,0.534447
1680001707078,1181695433279875,0.602319,-0.017137,0.592675,0.534465
1680001707081,1181695435781937,0.60236,-0.017161,0.592614,0.534485
1680001707087,1181695438284168,0.602374,-0.017215,0.592586,0.534499
1680001707087,1181695440786322,0.602415,-0.017248,0.592528,0.534517
1680001707088,1181695443288476,0.602457,-0.01728,0.592467,0.534535
1680001707091,1181695445790635,0.602502,-0.017314,0.592402,0.534556
1680001707094,1181695448292788,0.602548,-0.017347,0.592334,0.534578
1680001707097,1181695450794942,0.602596,-0.017384,0.592266,0.534598
1680001707102,1181695453297327,0.602642,-0.017417,0.5922,0.534619
1680001707102,1181695455799481,0.602662,-0.017431,0.592138,0.534665
1680001707104,1181695458301635,0.602708,-0.017464,0.592072,0.534684
1680001707107,1181695460803788,0.602756,-0.017497,0.592007,0.534702
1680001707108,1181695463305942,0.602808,-0.017532,0.59194,0.534716
1680001707111,1181695465808096,0.602861,-0.01757,0.59187,0.534732
1680001707113,1181695468310356,0.602913,-0.017607,0.591801,0.534748
1680001707118,1181695470812510,0.602969,-0.017647,0.591729,0.534764
1680001707119,1181695473314664,0.603115,-0.017642,0.591583,0.534761
1680001707123,1181695475816818,0.603185,-0.017684,0.5915,0.534772
1680001707124,1181695478318990,0.603247,-0.017731,0.591423,0.534785
1680001707127,1181695480821144,0.603312,-0.017783,0.591346,0.534796
1680001707129,1181695483323298,0.603377,-0.01784,0.591269,0.534806
1680001707135,1181695485825443,0.603444,-0.017898,0.59119,0.534815
1680001707136,1181695488327597,0.603513,-0.017964,0.59111,0.534824
1680001707137,1181695490829981,0.603753,-0.017938,0.590887,0.5348
1680001707139,1181695493332135,0.603842,-0.017995,0.590794,0.534801
1680001707141,1181695495834058,0.603914,-0.018067,0.590712,0.534807
1680001707144,1181695498336212,0.603986,-0.01814,0.59063,0.534814
1680001707146,1181695500838587,0.604058,-0.018217,0.590545,0.534824
1680001707153,1181695503340818,0.604131,-0.018298,0.590458,0.534834
1680001707155,1181695505842895,0.60421,-0.018384,0.590366,0.534845
1680001707157,1181695508345048,0.60426,-0.018504,0.590302,0.534855
1680001707158,1181695510847207,0.604336,-0.0186,0.590204,0.534874
1680001707160,1181695513349361,0.604419,-0.018691,0.5901,0.534892
1680001707163,1181695515851515,0.604503,-0.018783,0.58999,0.534915
1680001707164,1181695518353746,0.604588,-0.018879,0.589877,0.534939
1680001707169,1181695520855914,0.604676,-0.018977,0.589757,0.534969
1680001707170,1181695523358067,0.604769,-0.019077,0.589628,0.535002
1680001707174,1181695525860221,0.604776,-0.019166,0.58954,0.535088
1680001707175,1181695528362375,0.604865,-0.019265,0.589409,0.535128
1680001707178,1181695530864529,0.604965,-0.019366,0.589271,0.535164
1680001707179,1181695533366914,0.605069,-0.019468,0.589131,0.535196
1680001707185,1181695535869067,0.605176,-0.019571,0.58899,0.535227
1680001707187,1181695538371221,0.60528,-0.019669,0.588852,0.535257
1680001707188,1181695540873389,0.605389,-0.019769,0.58871,0.535287
1680001707189,1181695543375543,0.605573,-0.019861,0.588517,0.535288
1680001707191,1181695545877697,0.605693,-0.019966,0.588366,0.535314
1680001707194,1181695548379928,0.605801,-0.020073,0.588223,0.535345
1680001707196,1181695550882077,0.60591,-0.020181,0.588077,0.535378
1680001707200,1181695553384231,0.60602,-0.020287,0.587928,0.535413
1680001707201,1181695555886385,0.606131,-0.020393,0.587776,0.535449
1680001707204,1181695558388539,0.60624,-0.020493,0.58763,0.535483
1680001707207,1181695560890639,0.606315,-0.020683,0.587545,0.535484
1680001707210,1181695563392716,0.606423,-0.020792,0.587402,0.535514
1680001707212,1181695565895177,0.606533,-0.020892,0.587251,0.535552
1680001707214,1181695568397331,0.60664,-0.020986,0.587102,0.53559
1680001707217,1181695570899485,0.606752,-0.021083,0.586947,0.53563
1680001707219,1181695573401408,0.606864,-0.021176,0.586789,0.535673
1680001707221,1181695575903562,0.606971,-0.021267,0.58663,0.535721
1680001707224,1181695578405716,0.607159,-0.021567,0.586533,0.535602
1680001707226,1181695580908100,0.607283,-0.021679,0.586377,0.535628
1680001707229,1181695583410244,0.607398,-0.021768,0.586216,0.535671
1680001707232,1181695585912398,0.607515,-0.021852,0.586053,0.535713
1680001707234,1181695588414552,0.607631,-0.021935,0.585892,0.535754
1680001707236,1181695590916706,0.607751,-0.022022,0.58573,0.535792
1680001707239,1181695593418865,0.607889,-0.022129,0.585553,0.535824
1680001707242,1181695595921019,0.608085,-0.022062,0.585236,0.53595
1680001707244,1181695598423249,0.608269,-0.022198,0.585017,0.535975
1680001707248,1181695600925403,0.608464,-0.022368,0.5848,0.535983
1680001707250,1181695603427547,0.608667,-0.022552,0.584583,0.535982
1680001707253,1181695605929701,0.608866,-0.022737,0.584371,0.535979
1680001707255,1181695608431855,0.609068,-0.022925,0.58416,0.535972
1680001707257,1181695610934009,0.609272,-0.023124,0.583947,0.535964
1680001707259,1181695613436393,0.609912,-0.023175,0.583396,0.535834
1680001707262,1181695615938557,0.610175,-0.023383,0.583128,0.535817
1680001707264,1181695618440711,0.610394,-0.023613,0.582893,0.535812
1680001707267,1181695620942865,0.61062,-0.023856,0.582653,0.535806
1680001707270,1181695623445019,0.610854,-0.024113,0.582403,0.535799
1680001707272,1181695625947172,0.611098,-0.024386,0.582144,0.535791
1680001707274,1181695628449326,0.611344,-0.024668,0.581882,0.535781
1680001707277,1181695630951480,0.611856,-0.02465,0.581307,0.535822
1680001707279,1181695633453711,0.612133,-0.024914,0.581011,0.535815
1680001707282,1181695635955826,0.612396,-0.025215,0.580735,0.535799
1680001707285,1181695638457980,0.612653,-0.025522,0.580467,0.535781
1680001707288,1181695640960057,0.612916,-0.025836,0.580198,0.535757
1680001707292,1181695643462186,0.613188,-0.026162,0.579922,0.535728
1680001707293,1181695645964417,0.613461,-0.02649,0.579648,0.535697
1680001707294,1181695648466571,0.613742,-0.026368,0.579133,0.535937
1680001707297,1181695650968725,0.614037,-0.026675,0.578822,0.53592
1680001707299,1181695653470879,0.614341,-0.027032,0.578525,0.535874
1680001707303,1181695655973052,0.614654,-0.027406,0.578221,0.535825
1680001707305,1181695658475205,0.614974,-0.027784,0.577912,0.535771
1680001707307,1181695660977590,0.615309,-0.028179,0.577587,0.535717
1680001707309,1181695663479744,0.615652,-0.028581,0.577252,0.535663
1680001707313,1181695665981889,0.616031,-0.029114,0.576946,0.535528
1680001707314,1181695668484043,0.61639,-0.029537,0.576594,0.53547
1680001707317,1181695670986197,0.616755,-0.029959,0.576225,0.535424
1680001707320,1181695673488350,0.617128,-0.030384,0.575838,0.535386
1680001707324,1181695675990504,0.617512,-0.03081,0.575436,0.535352
1680001707327,1181695678492744,0.617894,-0.031224,0.575028,0.535325
1680001707328,1181695680994898,0.618282,-0.031634,0.574605,0.535308
1680001707331,1181695683497052,0.618648,-0.032298,0.574323,0.535149
1680001707333,1181695685999206,0.619029,-0.032705,0.573911,0.535125
1680001707335,1181695688501359,0.619413,-0.033085,0.573476,0.535123
1680001707337,1181695691003533,0.619797,-0.03345,0.573036,0.535126
1680001707340,1181695693505918,0.620181,-0.033807,0.572593,0.535133
1680001707342,1181695696008072,0.620566,-0.034165,0.572142,0.535147
1680001707344,1181695698509995,0.620939,-0.034512,0.571699,0.535165
1680001707347,1181695701012379,0.621357,-0.034933,0.57127,0.535112
1680001707349,1181695703514533,0.621729,-0.035278,0.570829,0.535127
1680001707352,1181695706016687,0.622098,-0.035613,0.570388,0.535147
1680001707354,1181695708518610,0.62246,-0.035939,0.569954,0.535166
1680001707356,1181695711021081,0.622824,-0.036262,0.569519,0.535184
1680001707360,1181695713523235,0.623184,-0.036582,0.56909,0.535199
1680001707362,1181695716025312,0.623545,-0.036897,0.568663,0.535212
1680001707364,1181695718527465,0.623769,-0.037203,0.56833,0.535283
1680001707367,1181695721029706,0.624103,-0.037505,0.56793,0.535297
1680001707369,1181695723531860,0.624439,-0.037804,0.567533,0.535305
1680001707372,1181695726034014,0.624772,-0.03809,0.567145,0.535307
1680001707374,1181695728536168,0.625093,-0.038362,0.566776,0.535304
1680001707376,1181695731038322,0.625408,-0.038625,0.566417,0.535297
1680001707379,1181695733540499,0.625712,-0.038876,0.566072,0.535289
1680001707382,1181695736042884,0.6256,-0.03929,0.566081,0.53538
1680001707384,1181695738545038,0.62584,-0.039533,0.565802,0.535376
1680001707386,1181695741047192,0.626109,-0.039748,0.565504,0.535361
1680001707390,1181695743549351,0.626367,-0.039946,0.565221,0.535343
1680001707392,1181695746051504,0.626611,-0.040132,0.564958,0.535321
1680001707394,1181695748553658,0.626831,-0.040292,0.564724,0.535298
1680001707398,1181695751055812,0.627038,-0.040431,0.564508,0.535274
1680001707401,1181695753558071,0.626814,-0.040881,0.564735,0.535262
1680001707403,1181695756060225,0.626951,-0.041017,0.564596,0.535239
1680001707404,1181695758562302,0.627113,-0.041115,0.564433,0.535213
1680001707408,1181695761064456,0.62727,-0.041194,0.564278,0.535186
1680001707409,1181695763566609,0.62742,-0.041262,0.564133,0.535157
1680001707412,1181695766068831,0.627562,-0.041318,0.564,0.535128
1680001707414,1181695768570985,0.627691,-0.041362,0.563878,0.535102
1680001707417,1181695771073139,0.627631,-0.041716,0.56404,0.534974
1680001707419,1181695773575293,0.627731,-0.041768,0.563956,0.534941
1680001707422,1181695776077456,0.627841,-0.041781,0.563856,0.534916
1680001707431,1181695778579609,0.627948,-0.041784,0.563757,0.534894
1680001707432,1181695781081763,0.628045,-0.041778,0.563663,0.53488
1680001707432,1181695783584148,0.628137,-0.041764,0.563574,0.534866
1680001707432,1181695786086297,0.628228,-0.041745,0.563484,0.534857
1680001707435,1181695788588451,0.628181,-0.041999,0.563623,0.534745
1680001707436,1181695791090605,0.628245,-0.041996,0.563564,0.534732
1680001707438,1181695793592758,0.628317,-0.041964,0.563488,0.534731
1680001707441,1181695796094912,0.628387,-0.041925,0.563412,0.534731
1680001707443,1181695798597066,0.628449,-0.04188,0.563345,0.534733
1680001707446,1181695801099297,0.628505,-0.041836,0.563281,0.534737
1680001707448,1181695803601451,0.628561,-0.041785,0.563218,0.534742
1680001707453,1181695806103634,0.628491,-0.041738,0.563243,0.534802
1680001707453,1181695808605787,0.62853,-0.041679,0.563196,0.53481
1680001707457,1181695811107941,0.628581,-0.041617,0.563142,0.534812
1680001707459,1181695813610095,0.628631,-0.041551,0.563091,0.534812
1680001707461,1181695816112264,0.628681,-0.041482,0.563039,0.534813
1680001707463,1181695818614649,0.62873,-0.041416,0.562989,0.534813
1680001707467,1181695821116802,0.628779,-0.04135,0.562936,0.534816
1680001707469,1181695823618956,0.62914,-0.041211,0.562647,0.534706
1680001707473,1181695826120859,0.629221,-0.041149,0.562567,0.534701
1680001707475,1181695828623013,0.629259,-0.041098,0.562518,0.534711
1680001707476,1181695831125398,0.6293,-0.04105,0.562464,0.534723
1680001707479,1181695833627629,0.629341,-0.041004,0.562411,0.534735
1680001707481,1181695836129706,0.629384,-0.04096,0.562355,0.534746
1680001707484,1181695838631879,0.629433,-0.040918,0.562296,0.534754
1680001707487,1181695841134033,0.629517,-0.040891,0.562221,0.534736
1680001707490,1181695843636264,0.629577,-0.04085,0.562153,0.534739
1680001707492,1181695846138341,0.629638,-0.040809,0.562079,0.534748
1680001707494,1181695848640586,0.629699,-0.04077,0.562007,0.534756
1680001707496,1181695851142740,0.629764,-0.040732,0.561927,0.534766
1680001707499,1181695853644893,0.62983,-0.040694,0.561846,0.534777
1680001707503,1181695856147047,0.6299,-0.040656,0.561758,0.534789
1680001707505,1181695858649187,0.629982,-0.040571,0.561634,0.53483
1680001707508,1181695861151341,0.630062,-0.040535,0.561532,0.534845
1680001707509,1181695863653726,0.630141,-0.040502,0.561432,0.534859
1680001707512,1181695866155879,0.630222,-0.04047,0.561327,0.534876
1680001707514,1181695868658018,0.630305,-0.040441,0.561221,0.534893
1680001707516,1181695871160172,0.630395,-0.040416,0.561108,0.534907
1680001707519,1181695873662326,0.630487,-0.040385,0.560996,0.534918
1680001707527,1181695876164461,0.630451,-0.040247,0.560914,0.535056
1680001707528,1181695878666615,0.630528,-0.040196,0.560808,0.535082
1680001707528,1181695881168845,0.63062,-0.040145,0.560698,0.535092
1680001707532,1181695883670999,0.630714,-0.04009,0.560589,0.535099
1680001707532,1181695886173153,0.630806,-0.04003,0.560483,0.535105
1680001707534,1181695888675307,0.630901,-0.039968,0.560378,0.535109
1680001707537,1181695891177442,0.63099,-0.039903,0.560278,0.535113
1680001707540,1181695893679519,0.631091,-0.039811,0.560161,0.535123
1680001707542,1181695896181980,0.631177,-0.039735,0.560066,0.535127
1680001707544,1181695898684134,0.631253,-0.039657,0.559982,0.535131
1680001707550,1181695901186278,0.631328,-0.039579,0.559898,0.535137
1680001707550,1181695903688201,0.631396,-0.039499,0.559819,0.535145
1680001707554,1181695906190355,0.63146,-0.039419,0.559746,0.535151
1680001707554,1181695908692509,0.63152,-0.039343,0.559676,0.53516
1680001707557,1181695911194663,0.631628,-0.039102,0.559492,0.535242
1680001707559,1181695913697061,0.631689,-0.039011,0.559416,0.535256
1680001707561,1181695916199215,0.631743,-0.038936,0.559355,0.535261
1680001707564,1181695918701369,0.631793,-0.038868,0.559297,0.535269
1680001707567,1181695921203523,0.631842,-0.038805,0.55924,0.535274
1680001707569,1181695923705668,0.631897,-0.038755,0.559178,0.535277
1680001707576,1181695926207822,0.631953,-0.038712,0.559114,0.535281
1680001707577,1181695928710052,0.631992,-0.038633,0.559041,0.535318
1680001707580,1181695931212220,0.632054,-0.038598,0.558974,0.535317
1680001707580,1181695933714374,0.632121,-0.038567,0.558905,0.535312
1680001707581,1181695936216528,0.632191,-0.038538,0.558835,0.535306
1680001707585,1181695938718682,0.632264,-0.038511,0.558764,0.535295
1680001707587,1181695941220836,0.632338,-0.038481,0.558691,0.535286
1680001707591,1181695943723210,0.632414,-0.038444,0.558617,0.535276
1680001707592,1181695946225364,0.632548,-0.038483,0.558549,0.535186
1680001707594,1181695948727518,0.632627,-0.03845,0.558477,0.535169
1680001707597,1181695951229672,0.632698,-0.038405,0.558407,0.535162
1680001707599,1181695953731822,0.632765,-0.038361,0.558339,0.535157
1680001707601,1181695956233976,0.632834,-0.038318,0.558266,0.535155
1680001707604,1181695958736129,0.632899,-0.038279,0.558194,0.535155
1680001707607,1181695961238283,0.632966,-0.038238,0.558118,0.535158
1680001707610,1181695963740523,0.633279,-0.038174,0.557882,0.535039
1680001707612,1181695966242677,0.633369,-0.038132,0.557794,0.535026
1680001707614,1181695968744754,0.633434,-0.038091,0.557725,0.535025
1680001707620,1181695971246894,0.633494,-0.038052,0.557658,0.535026
1680001707620,1181695973749047,0.633556,-0.038015,0.557589,0.535028
