system_ts_ms, sensor_ts_ns, gyrXr, gyrYr, gyrZr, gyrDXr, gyrDYr, gyrDZr
1679931077293,1111065646676924,-0.0669625,0.084975,-0.0180125,0.012108855,0.002211905,0.00586364
1679931077294,1111065649179001,-0.061049998,0.084975,-0.01705,0.012108855,0.002211905,0.00586364
1679931077298,1111065651681169,-0.05995,0.0889625,-0.01705,0.012108855,0.002211905,0.00586364
1679931077299,1111065654183093,-0.0559625,0.0900625,-0.018975,0.012108855,0.002211905,0.00586364
1679931077301,1111065656685246,-0.0529375,0.099,-0.018975,0.012108855,0.002211905,0.00586364
1679931077303,1111065659187400,-0.0510125,0.0999625,-0.0180125,0.012108855,0.002211905,0.00586364
1679931077314,1111065661689554,-0.0479875,0.0999625,-0.0210375,0.012108855,0.002211905,0.00586364
1679931077314,1111065664191713,-0.04895,0.106975,-0.022,0.012108855,0.002211905,0.00586364
1679931077315,1111065666693867,-0.0510125,0.1120625,-0.018975,0.012108855,0.002211905,0.00586364
1679931077315,1111065669196021,-0.0449625,0.113025,-0.018975,0.012108855,0.002211905,0.00586364
1679931077316,1111065671698174,-0.0449625,0.113025,-0.022,0.012108855,0.002211905,0.00586364
1679931077319,1111065674200332,-0.0449625,0.1139875,-0.018975,0.012108855,0.002211905,0.00586364
1679931077322,1111065676702409,-0.0430375,0.11495,-0.0210375,0.012108855,0.002211905,0.00586364
1679931077325,1111065679204563,-0.044,0.11,-0.0210375,0.012108855,0.002211905,0.00586364
1679931077327,1111065681706794,-0.0449625,0.1060125,-0.0259875,0.012108855,0.002211905,0.00586364
1679931077328,1111065684208871,-0.044,0.0999625,-0.02695,0.012108855,0.002211905,0.00586364
1679931077332,1111065686711040,-0.044,0.0889625,-0.0290125,0.012108855,0.002211905,0.00586364
1679931077336,1111065689213194,-0.0449625,0.084975,-0.033,0.012108855,0.002211905,0.00586364
1679931077338,1111065691715347,-0.04895,0.07205,-0.0320375,0.012108855,0.002211905,0.00586364
1679931077340,1111065694217289,-0.0529375,0.0620125,-0.0350625,0.012108855,0.002211905,0.00586364
1679931077344,1111065696719674,-0.051975,0.0460625,-0.03795,0.012108855,0.002211905,0.00586364
1679931077345,1111065699221828,-0.0540375,0.029975,-0.044,0.012108855,0.002211905,0.00586364
1679931077346,1111065701723751,-0.058025,0.01595,-0.047025,0.012108855,0.002211905,0.00586364
1679931077349,1111065704225905,-0.061049998,0.0,-0.0510125,0.012108855,0.002211905,0.00586364
1679931077351,1111065706728054,-0.0639375,-0.0149875,-0.0529375,0.012108855,0.002211905,0.00586364
