system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680008481890,1188470245361208,1.24,2.667,9.355
1680008481893,1188470247863362,1.245,2.661,9.356
1680008481896,1188470250365439,1.255,2.655,9.356
1680008481898,1188470252867362,1.271,2.65,9.355
1680008481900,1188470255369439,1.292,2.644,9.354
1680008481910,1188470257871592,1.318,2.637,9.352
1680008481911,1188470260373746,1.349,2.631,9.35
1680008481911,1188470262875693,1.384,2.624,9.346
1680008481911,1188470265377770,1.422,2.617,9.343
1680008481913,1188470267879924,1.464,2.61,9.338
1680008481915,1188470270381847,1.508,2.603,9.333
1680008481918,1188470272883924,1.555,2.595,9.328
1680008481923,1188470275386078,1.603,2.587,9.322
1680008481924,1188470277888232,1.653,2.578,9.316
1680008481926,1188470280390155,1.703,2.569,9.309
1680008481928,1188470282892217,1.753,2.561,9.302
1680008481930,1188470285394371,1.803,2.551,9.295
1680008481935,1188470287896294,1.853,2.542,9.288
1680008481940,1188470290398371,1.901,2.533,9.28
1680008481940,1188470292900544,1.947,2.524,9.273
1680008481941,1188470295402697,1.991,2.515,9.267
1680008481943,1188470297904621,2.033,2.505,9.26
1680008481945,1188470300406774,2.071,2.497,9.254
1680008481948,1188470302908851,2.107,2.489,9.248
1680008481951,1188470305410774,2.139,2.481,9.243
1680008481957,1188470307912928,2.169,2.474,9.238
1680008481957,1188470310415005,2.195,2.467,9.233
1680008481958,1188470312916928,2.218,2.461,9.229
1680008481960,1188470315419087,2.237,2.456,9.226
1680008481964,1188470317921164,2.253,2.45,9.224
1680008481965,1188470320423318,2.266,2.444,9.222
1680008481967,1188470322925241,2.276,2.438,9.221
1680008481974,1188470325427414,2.284,2.433,9.221
1680008481975,1188470327929491,2.289,2.427,9.221
1680008481976,1188470330431414,2.292,2.421,9.222
1680008481978,1188470332933568,2.293,2.415,9.223
1680008481981,1188470335435645,2.292,2.409,9.225
1680008481983,1188470337937780,2.289,2.403,9.227
1680008481985,1188470340439703,2.285,2.397,9.23
1680008481990,1188470342941856,2.279,2.391,9.233
1680008481990,1188470345443933,2.272,2.385,9.236
1680008481996,1188470347946058,2.265,2.379,9.239
1680008481996,1188470350447981,2.256,2.373,9.243
1680008481998,1188470352950135,2.248,2.368,9.247
1680008482000,1188470355452212,2.239,2.362,9.25
1680008482007,1188470357954361,2.23,2.357,9.253
1680008482007,1188470360456284,2.222,2.352,9.257
1680008482009,1188470362958361,2.215,2.348,9.26
1680008482011,1188470365460284,2.208,2.344,9.262
1680008482014,1188470367962356,2.202,2.34,9.265
1680008482016,1188470370464587,2.198,2.336,9.267
1680008482018,1188470372966664,2.195,2.333,9.268
1680008482023,1188470375468818,2.193,2.329,9.269
1680008482024,1188470377970741,2.193,2.327,9.27
1680008482026,1188470380472833,2.194,2.325,9.27
1680008482029,1188470382974756,2.197,2.325,9.27
1680008482031,1188470385476909,2.202,2.325,9.268
1680008482033,1188470387979063,2.208,2.326,9.267
1680008482035,1188470390481140,2.216,2.329,9.264
1680008482041,1188470392983289,2.225,2.333,9.261
1680008482042,1188470395485212,2.236,2.339,9.257
1680008482043,1188470397987289,2.248,2.347,9.252
1680008482047,1188470400489212,2.261,2.356,9.246
1680008482048,1188470402991578,2.275,2.367,9.24
1680008482050,1188470405493501,2.289,2.379,9.234
1680008482056,1188470407995578,2.304,2.392,9.226
1680008482057,1188470410497732,2.319,2.407,9.219
1680008482058,1188470412999655,2.334,2.424,9.211
1680008482060,1188470415501732,2.349,2.441,9.202
1680008482064,1188470418003655,2.365,2.46,9.193
1680008482065,1188470420506039,2.38,2.479,9.184
1680008482068,1188470423007962,2.395,2.5,9.174
1680008482074,1188470425510063,2.411,2.521,9.165
1680008482075,1188470428011986,2.426,2.543,9.154
1680008482076,1188470430514140,2.442,2.565,9.144
1680008482079,1188470433016217,2.457,2.588,9.133
1680008482080,1188470435518135,2.473,2.611,9.123
1680008482085,1188470438020520,2.488,2.635,9.112
1680008482092,1188470440522443,2.503,2.658,9.101
1680008482093,1188470443024520,2.517,2.681,9.09
1680008482097,1188470445526453,2.531,2.705,9.079
1680008482097,1188470448028607,2.544,2.729,9.068
1680008482098,1188470450530684,2.557,2.752,9.058
1680008482099,1188470453032915,2.568,2.775,9.047
1680008482101,1188470455534982,2.58,2.798,9.037
