system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1680008481890,1188470245361208,-0.341,-0.1874125,-0.757625
1680008481893,1188470247863362,-0.339075,-0.42734998,-0.740575
1680008481896,1188470250365439,-0.3421,-0.6653625,-0.729575
1680008481898,1188470252867362,-0.34705,-0.90639997,-0.7225625
1680008481900,1188470255369439,-0.3570875,-1.1374,-0.71665
1680008481910,1188470257871592,-0.366025,-1.348325,-0.7106
1680008481911,1188470260373746,-0.377025,-1.5404125,-0.70565
1680008481911,1188470262875693,-0.388025,-1.7084374,-0.7046875
1680008481911,1188470265377770,-0.40205,-1.860375,-0.702625
1680008481913,1188470267879924,-0.421025,-1.9933375,-0.7046875
1680008481915,1188470270381847,-0.4390375,-2.102375,-0.70661247
1680008481918,1188470272883924,-0.4530625,-2.195325,-0.7115625
1680008481923,1188470275386078,-0.4720375,-2.273425,-0.718575
1680008481924,1188470277888232,-0.4890875,-2.333375,-0.724625
1680008481925,1188470280390155,-0.5080625,-2.3673375,-0.730675
1680008481928,1188470282892217,-0.5209875,-2.3804,-0.73865
1680008481930,1188470285394371,-0.5350125,-2.36445,-0.741675
1680008481935,1188470287896294,-0.54408747,-2.328425,-0.7436
1680008481939,1188470290398371,-0.5520625,-2.2664125,-0.746625
1680008481940,1188470292900544,-0.5550875,-2.1814375,-0.7475875
1680008481940,1188470295402697,-0.55605,-2.0843625,-0.7475875
1680008481943,1188470297904621,-0.5539875,-1.9834375,-0.7546
1680008481945,1188470300406774,-0.5401,-1.8673875,-0.763675
1680008481948,1188470302908851,-0.5291,-1.7403375,-0.7775625
1680008481950,1188470305410774,-0.51301247,-1.6083375,-0.790625
1680008481957,1188470307912928,-0.498025,-1.4753749,-0.8056125
1680008481957,1188470310415005,-0.476025,-1.3344375,-0.82156247
1680008481958,1188470312916928,-0.4549875,-1.1903375,-0.8446625
1680008481960,1188470315419087,-0.454025,-1.0533875,-0.88165
1680008481963,1188470317921164,-0.471075,-0.9263375,-0.9266125
1680008481965,1188470320423318,-0.4860625,-0.8074,-0.9565875
1680008481967,1188470322925241,-0.495,-0.6974,-0.9856
1680008481974,1188470325427414,-0.504075,-0.590425,-1.01365
1680008481974,1188470327929491,-0.509025,-0.48839998,-1.027675
1680008481976,1188470330431414,-0.51205,-0.39545,-1.0445875
1680008481978,1188470332933568,-0.517,-0.30635,-1.0586125
1680008481980,1188470335435645,-0.5220875,-0.2234375,-1.0696125
1680008481983,1188470337937780,-0.5220875,-0.15345,-1.0775875
1680008481985,1188470340439703,-0.52305,-0.0853875,-1.0806125
1680008481990,1188470342941856,-0.5270375,-0.0243375,-1.0846
1680008481990,1188470345443933,-0.5270375,0.02365,-1.0846
1680008481993,1188470347946058,-0.528,0.0616,-1.081575
1680008481996,1188470350447981,-0.5181,0.0856625,-1.076625
1680008481998,1188470352950135,-0.506,0.103675,-1.0676875
1680008482000,1188470355452212,-0.491975,0.1095875,-1.0586125
1680008482006,1188470357954361,-0.4741,0.103675,-1.04665
1680008482007,1188470360456284,-0.45705,0.0826375,-1.0346875
1680008482009,1188470362958361,-0.438075,0.0606375,-1.016675
1680008482010,1188470365460284,-0.414975,0.0276375,-0.99962497
1680008482014,1188470367962356,-0.403975,-0.0083875,-0.9846375
1680008482016,1188470370464587,-0.388025,-0.0523875,-0.96965
1680008482017,1188470372966664,-0.372075,-0.1104125,-0.9535625
1680008482023,1188470375468818,-0.3540625,-0.1703625,-0.9436625
1680008482024,1188470377970741,-0.32505,-0.2314125,-0.933625
1680008482025,1188470380472833,-0.2899875,-0.3014,-0.9296375
1680008482029,1188470382974756,-0.249975,-0.3744125,-0.9315625
1680008482030,1188470385476909,-0.207075,-0.4453625,-0.93665
1680008482033,1188470387979063,-0.1579875,-0.51535,-0.950675
1680008482035,1188470390481140,-0.1040875,-0.590425,-0.9686875
1680008482041,1188470392983289,-0.040975,-0.6604125,-0.9876625
1680008482042,1188470395485212,0.0199375,-0.7233875,-1.01365
1680008482043,1188470397987289,0.0809875,-0.782375,-1.0426625
1680008482046,1188470400489212,0.1379125,-0.8394375,-1.06865
1680008482048,1188470402991578,0.199925,-0.881375,-1.0976624
1680008482050,1188470405493501,0.2539625,-0.91245,-1.1316249
1680008482056,1188470407995578,0.308,-0.942425,-1.1636626
1680008482057,1188470410497732,0.35694999,-0.9653875,-1.2016125
1680008482058,1188470412999655,0.40094998,-0.9824375,-1.2346125
1680008482060,1188470415501732,0.441925,-0.9983875,-1.2656875
1680008482063,1188470418003655,0.4800125,-1.008425,-1.2945625
1680008482065,1188470420506039,0.5149375,-1.0264375,-1.3286625
1680008482067,1188470423007962,0.5429875,-1.041425,-1.3596
1680008482074,1188470425510063,0.5649875,-1.05435,-1.3886125
1680008482075,1188470428011986,0.584925,-1.0693375,-1.4146
1680008482075,1188470430514140,0.5979875,-1.0784125,-1.4436125
1680008482078,1188470433016217,0.6059625,-1.0913374,-1.466575
1680008482080,1188470435518135,0.6078875,-1.09945,-1.4936625
1680008482084,1188470438020520,0.606925,-1.106325,-1.5206125
1680008482092,1188470440522443,0.605,-1.1044,-1.5456375
1680008482093,1188470443024520,0.6039,-1.095325,-1.5736874
1680008482095,1188470445526453,0.595925,-1.0814375,-1.6015999
1680008482097,1188470448028607,0.5858875,-1.0643874,-1.62965
1680008482098,1188470450530684,0.5709,-1.0484375,-1.6575625
1680008482098,1188470453032915,0.5479375,-1.03235,-1.6856124
1680008482100,1188470455534982,0.524975,-1.0173625,-1.7136625
1680008482106,1188470458036905,0.496925,-1.0093875,-1.7345625
1680008482107,1188470460538982,0.462,-1.0093875,-1.7546375
1680008482108,1188470463041135,0.42295,-1.01145,-1.769625
1680008482111,1188470465543044,0.3768875,-1.0264375,-1.7796625
1680008482114,1188470468045120,0.32999998,-1.0363375,-1.78365
1680008482115,1188470470547274,0.2820125,-1.046375,-1.7846125
1680008482118,1188470473049428,0.232925,-1.05545,-1.7846125
1680008482123,1188470475551356,0.1859,-1.0583375,-1.786675
1680008482124,1188470478053433,0.143,-1.0604,-1.791625
1680008482126,1188470480555587,0.0979,-1.0583375,-1.7956125
1680008482128,1188470483057510,0.055,-1.05435,-1.8046875
1680008482131,1188470485559664,0.018975,-1.046375,-1.813625
1680008482134,1188470488061746,-0.0149875,-1.0423875,-1.8346624
1680008482136,1188470490563900,-0.047025,-1.0454125,-1.857625
1680008482141,1188470493065823,-0.0820875,-1.0564125,-1.8766
1680008482141,1188470495567900,-0.1170125,-1.0714,-1.9056125
1680008482143,1188470498070035,-0.1530375,-1.1023375,-1.9306375
1680008482145,1188470500571958,-0.1909875,-1.1413875,-1.956625
1680008482148,1188470503074112,-0.229075,-1.19845,-1.9765625
1680008482150,1188470505576188,-0.2679875,-1.261425,-1.994575
1680008482156,1188470508078117,-0.3040125,-1.3304499,-2.0086
1680008482157,1188470510580270,-0.33605,-1.39535,-2.017675
1680008482159,1188470513082424,-0.363,-1.4674,-2.0246875
1680008482162,1188470515584578,-0.3889875,-1.53835,-2.0246875
1680008482164,1188470518086433,-0.41305,-1.6094375,-2.0246875
1680008482165,1188470520588587,-0.4310625,-1.6803875,-2.016575
1680008482167,1188470523090664,-0.4420625,-1.7414374,-2.005575
1680008482173,1188470525592818,-0.4481125,-1.789425,-1.995675
1680008482174,1188470528094751,-0.4481125,-1.8313625,-1.9866
1680008482176,1188470530596905,-0.4411,-1.860375,-1.9776624
1680008482179,1188470533098982,-0.427075,-1.8734375,-1.9685875
1680008482181,1188470535600905,-0.4081,-1.877425,-1.95965
1680008482184,1188470538103059,-0.3889875,-1.86835,-1.9535999
1680008482185,1188470540605136,-0.3650625,-1.844425,-1.945625
