system_ts_ms, sensor_ts_ns, graX, graY, graZ
1680009479899,1189468252686753,1.431,7.473,6.185
1680009479902,1189468255188984,1.433,7.473,6.185
1680009479903,1189468257691137,1.43,7.473,6.186
1680009479905,1189468260193291,1.432,7.473,6.186
1680009479907,1189468262695661,1.434,7.472,6.185
1680009479914,1189468265197815,1.437,7.472,6.185
1680009479915,1189468267699969,1.439,7.472,6.185
1680009479915,1189468270202199,1.442,7.472,6.185
1680009479919,1189468272704372,1.445,7.471,6.184
1680009479921,1189468275206526,1.45,7.47,6.185
1680009479922,1189468277708911,1.453,7.469,6.185
1680009479925,1189468280210834,1.456,7.469,6.185
1680009479929,1189468282713228,1.459,7.469,6.184
1680009479931,1189468285215459,1.461,7.468,6.184
1680009479934,1189468287717613,1.464,7.468,6.184
1680009479936,1189468290219767,1.467,7.468,6.184
1680009479937,1189468292721921,1.472,7.464,6.187
1680009479941,1189468295224305,1.475,7.463,6.187
1680009479943,1189468297726228,1.478,7.463,6.187
1680009479947,1189468300228613,1.48,7.462,6.187
1680009479947,1189468302730844,1.482,7.462,6.187
1680009479952,1189468305232979,1.484,7.461,6.187
1680009479952,1189468307735133,1.486,7.461,6.187
1680009479955,1189468310237286,1.494,7.454,6.194
1680009479957,1189468312739671,1.496,7.453,6.195
1680009479963,1189468315241839,1.497,7.452,6.195
1680009479964,1189468317744070,1.499,7.451,6.196
1680009479965,1189468320246224,1.5,7.451,6.196
1680009479968,1189468322748377,1.501,7.45,6.196
1680009479972,1189468325250545,1.502,7.45,6.197
1680009479974,1189468327752699,1.505,7.444,6.203
1680009479975,1189468330254853,1.506,7.443,6.204
1680009479983,1189468332757314,1.507,7.442,6.205
1680009479984,1189468335259468,1.507,7.442,6.205
1680009479985,1189468337761637,1.507,7.441,6.206
1680009479986,1189468340263791,1.508,7.441,6.206
1680009479988,1189468342765945,1.508,7.44,6.207
1680009479991,1189468345268099,1.504,7.438,6.211
1680009479993,1189468347770488,1.503,7.437,6.212
1680009479998,1189468350272719,1.503,7.436,6.212
1680009479998,1189468352774796,1.503,7.436,6.213
1680009480001,1189468355276950,1.503,7.435,6.214
1680009480003,1189468357779157,1.503,7.435,6.214
1680009480005,1189468360281541,1.503,7.434,6.215
1680009480010,1189468362783695,1.496,7.431,6.221
1680009480012,1189468365285849,1.495,7.43,6.222
1680009480013,1189468367787984,1.495,7.429,6.223
1680009480015,1189468370290138,1.495,7.429,6.224
1680009480017,1189468372792599,1.495,7.428,6.224
1680009480021,1189468375294753,1.495,7.427,6.225
1680009480023,1189468377796907,1.496,7.427,6.226
1680009480026,1189468380299028,1.488,7.427,6.228
1680009480028,1189468382801182,1.487,7.426,6.228
1680009480031,1189468385303336,1.488,7.425,6.229
1680009480033,1189468387805489,1.488,7.425,6.23
1680009480035,1189468390307969,1.489,7.424,6.231
1680009480038,1189468392810123,1.489,7.423,6.232
1680009480041,1189468395312277,1.49,7.422,6.233
1680009480042,1189468397814430,1.489,7.421,6.234
1680009480047,1189468400316571,1.49,7.42,6.235
1680009480048,1189468402818725,1.491,7.419,6.236
1680009480051,1189468405320956,1.492,7.418,6.237
1680009480052,1189468407823341,1.493,7.417,6.238
1680009480055,1189468410325494,1.494,7.416,6.239
1680009480058,1189468412827666,1.495,7.415,6.24
1680009480062,1189468415329820,1.501,7.417,6.236
1680009480063,1189468417831974,1.503,7.416,6.237
1680009480065,1189468420334205,1.504,7.415,6.237
1680009480068,1189468422836359,1.505,7.414,6.238
1680009480071,1189468425338743,1.507,7.414,6.239
1680009480074,1189468427840897,1.508,7.413,6.24
1680009480075,1189468430343051,1.51,7.412,6.24
1680009480078,1189468432845229,1.516,7.411,6.24
1680009480081,1189468435347460,1.518,7.41,6.24
1680009480085,1189468437849613,1.52,7.409,6.241
1680009480085,1189468440351998,1.521,7.408,6.242
1680009480087,1189468442853916,1.522,7.407,6.243
1680009480091,1189468445356301,1.524,7.406,6.243
1680009480093,1189468447858455,1.525,7.406,6.244
1680009480095,1189468450360608,1.528,7.402,6.247
1680009480098,1189468452862815,1.53,7.401,6.248
1680009480101,1189468455364969,1.531,7.4,6.249
1680009480103,1189468457867354,1.532,7.399,6.25
1680009480105,1189468460369277,1.534,7.398,6.251
1680009480107,1189468462871661,1.535,7.397,6.251
1680009480111,1189468465373829,1.536,7.396,6.252
1680009480113,1189468467876060,1.54,7.394,6.254
1680009480115,1189468470378214,1.541,7.393,6.255
1680009480120,1189468472880368,1.542,7.392,6.256
1680009480123,1189468475382771,1.544,7.391,6.257
1680009480124,1189468477884925,1.545,7.39,6.258
1680009480127,1189468480387079,1.546,7.389,6.258
1680009480129,1189468482889310,1.547,7.388,6.259
1680009480131,1189468485391464,1.551,7.386,6.261
1680009480133,1189468487893599,1.552,7.385,6.262
1680009480135,1189468490395752,1.553,7.384,6.263
1680009480138,1189468492897906,1.554,7.383,6.264
1680009480141,1189468495400291,1.555,7.382,6.264
1680009480143,1189468497902522,1.556,7.381,6.265
1680009480145,1189468500404657,1.557,7.38,6.266
1680009480147,1189468502906811,1.557,7.38,6.266
1680009480152,1189468505408965,1.558,7.379,6.267
1680009480153,1189468507911119,1.558,7.378,6.268
1680009480155,1189468510413254,1.559,7.377,6.269
1680009480160,1189468512915715,1.56,7.376,6.27
1680009480162,1189468515417869,1.561,7.375,6.271
1680009480164,1189468517920023,1.562,7.374,6.272
1680009480166,1189468520422162,1.56,7.372,6.275
1680009480168,1189468522924316,1.561,7.371,6.276
1680009480171,1189468525426700,1.561,7.37,6.277
1680009480173,1189468527928624,1.562,7.369,6.278
1680009480176,1189468530431104,1.563,7.367,6.279
1680009480179,1189468532933258,1.564,7.366,6.281
1680009480181,1189468535435412,1.565,7.365,6.282
1680009480184,1189468537937566,1.564,7.363,6.284
1680009480187,1189468540439734,1.565,7.362,6.286
1680009480188,1189468542941888,1.566,7.361,6.287
1680009480192,1189468545444350,1.567,7.36,6.288
