system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1679932372764,1112361119645690,-5.7562504,-22.85625,-265.55627,-20.82,-13.44,-228.78
1679932372779,1112361129639396,-5.7562504,-22.48125,-265.74377,-20.82,-13.44,-228.78
1679932372784,1112361139640300,-5.5875,-22.2,-265.98752,-20.82,-13.44,-228.78
1679932372795,1112361149604252,-5.45625,-21.900002,-266.21252,-20.82,-13.44,-228.78
1679932372804,1112361159606713,-5.4,-21.825,-266.2875,-20.82,-13.44,-228.78
1679932372814,1112361169608856,-5.2875004,-21.712502,-266.325,-20.82,-13.44,-228.78
1679932372826,1112361179602947,-5.45625,-21.65625,-266.2875,-20.82,-13.44,-228.78
1679932372835,1112361189621880,-5.5875,-21.6,-266.21252,-20.82,-13.44,-228.78
1679932372844,1112361199623654,-5.53125,-21.65625,-266.21252,-20.82,-13.44,-228.78
1679932372854,1112361209625813,-5.45625,-21.712502,-266.21252,-20.82,-13.44,-228.78
1679932372864,1112361219628577,-5.5875,-21.900002,-266.02502,-20.82,-13.44,-228.78
1679932372876,1112361229615264,-5.7562504,-22.0125,-265.9125,-20.82,-13.44,-228.78
1679932372884,1112361239609802,-5.8125,-21.900002,-265.9125,-20.82,-13.44,-228.78
1679932372894,1112361249604277,-5.8875003,-21.712502,-265.9125,-20.82,-13.44,-228.78
1679932372909,1112361259605825,-5.8125,-21.712502,-265.9125,-20.82,-13.44,-228.78
1679932372914,1112361269637175,-5.7562504,-21.712502,-265.9125,-20.82,-13.44,-228.78
1679932372928,1112361279639271,-5.7562504,-21.825,-265.61252,-20.82,-13.44,-228.78
1679932372934,1112361289633766,-5.7562504,-21.900002,-265.3125,-20.82,-13.44,-228.78
1679932372944,1112361299606837,-5.8125,-22.143751,-265.14377,-20.82,-13.44,-228.78
1679932372954,1112361309611072,-5.8875003,-22.3125,-265.0125,-20.82,-13.44,-228.78
1679932372964,1112361319605673,-5.8875003,-22.48125,-265.08752,-20.82,-13.44,-228.78
1679932372975,1112361329590465,-5.8875003,-22.612501,-265.14377,-20.82,-13.44,-228.78
1679932372984,1112361339621667,-5.8875003,-22.612501,-265.0125,-20.82,-13.44,-228.78
1679932372994,1112361349614238,-5.8875003,-22.612501,-264.825,-20.82,-13.44,-228.78
1679932373004,1112361359616276,-6.0,-22.612501,-265.08752,-20.82,-13.44,-228.78
1679932373014,1112361369635329,-6.0750003,-22.612501,-265.3125,-20.82,-13.44,-228.78
1679932373027,1112361379606189,-5.8875003,-22.612501,-265.08752,-20.82,-13.44,-228.78
1679932373034,1112361389573665,-5.7562504,-22.612501,-264.825,-20.82,-13.44,-228.78
1679932373047,1112361399557299,-5.5875,-22.9125,-264.71252,-20.82,-13.44,-228.78
1679932373059,1112361409559461,-5.45625,-23.212502,-264.52502,-20.82,-13.44,-228.78
1679932373064,1112361419585654,-5.53125,-23.1,-264.71252,-20.82,-13.44,-228.78
1679932373080,1112361429614707,-5.5875,-22.9125,-264.825,-20.82,-13.44,-228.78
1679932373084,1112361439642938,-5.5875,-22.612501,-264.825,-20.82,-13.44,-228.78
1679932373094,1112361449638933,-5.5875,-22.3125,-264.825,-20.82,-13.44,-228.78
1679932373104,1112361459641062,-5.53125,-22.556252,-265.25626,-20.82,-13.44,-228.78
1679932373114,1112361469643216,-5.45625,-22.78125,-265.61252,-20.82,-13.44,-228.78
1679932373128,1112361479637365,-5.7000003,-22.556252,-265.61252,-20.82,-13.44,-228.78
1679932373134,1112361489645662,-5.8875003,-22.3125,-265.61252,-20.82,-13.44,-228.78
1679932373144,1112361499610273,-5.8875003,-22.3125,-265.74377,-20.82,-13.44,-228.78
1679932373154,1112361509612507,-5.8875003,-22.3125,-265.9125,-20.82,-13.44,-228.78
1679932373164,1112361519592580,-6.0750003,-22.48125,-265.74377,-20.82,-13.44,-228.78
1679932373175,1112361529587074,-6.1875005,-22.612501,-265.61252,-20.82,-13.44,-228.78
1679932373184,1112361539618703,-6.3,-22.612501,-265.55627,-20.82,-13.44,-228.78
1679932373195,1112361549615544,-6.4875,-22.556252,-265.55627,-20.82,-13.44,-228.78
1679932373206,1112361559632092,-6.61875,-22.612501,-265.74377,-20.82,-13.44,-228.78
1679932373214,1112361569621111,-6.7875004,-22.25625,-265.74377,-20.82,-13.44,-228.78
1679932373225,1112361579611861,-7.0875,-22.0125,-265.61252,-20.82,-13.44,-228.78
1679932373235,1112361589626303,-7.2000003,-22.2,-265.66876,-20.82,-13.44,-228.78
1679932373245,1112361599636986,-7.0875,-22.3125,-265.9125,-20.82,-13.44,-228.78
1679932373254,1112361609652274,-7.0875,-22.25625,-266.15625,-20.82,-13.44,-228.78
1679932373264,1112361619658134,-7.2562504,-21.900002,-266.21252,-20.82,-13.44,-228.78
1679932373275,1112361629645461,-7.2000003,-21.956251,-266.02502,-20.82,-13.44,-228.78
1679932373285,1112361639617695,-7.0875,-22.0125,-265.9125,-20.82,-13.44,-228.78
1679932373294,1112361649621464,-7.2000003,-22.2,-266.21252,-20.82,-13.44,-228.78
1679932373304,1112361659627762,-7.2562504,-22.3125,-266.5125,-20.82,-13.44,-228.78
1679932373315,1112361669629910,-7.5000005,-22.143751,-266.45627,-20.82,-13.44,-228.78
1679932373326,1112361679658150,-7.6875005,-21.900002,-266.325,-20.82,-13.44,-228.78
1679932373336,1112361689660524,-8.118751,-21.956251,-266.2875,-20.82,-13.44,-228.78
1679932373344,1112361699658625,-8.45625,-22.0125,-266.21252,-20.82,-13.44,-228.78
1679932373356,1112361709660789,-8.45625,-21.825,-266.2875,-20.82,-13.44,-228.78
1679932373364,1112361719650577,-8.45625,-21.6,-266.325,-20.82,-13.44,-228.78
1679932373374,1112361729643206,-8.2875,-21.825,-266.15625,-20.82,-13.44,-228.78
1679932373408,1112361739637633,-8.15625,-22.0125,-265.9125,-20.82,-13.44,-228.78
1679932373410,1112361749600638,-7.9875,-22.25625,-265.98752,-20.82,-13.44,-228.78
1679932373412,1112361759602879,-7.8562503,-22.48125,-266.02502,-20.82,-13.44,-228.78
1679932373414,1112361769597407,-7.5750003,-22.556252,-266.02502,-20.82,-13.44,-228.78
1679932373424,1112361779599513,-7.2562504,-22.612501,-266.02502,-20.82,-13.44,-228.78
1679932373435,1112361789633542,-7.3875003,-22.78125,-265.98752,-20.82,-13.44,-228.78
1679932373444,1112361799635599,-7.5750003,-22.9125,-265.9125,-20.82,-13.44,-228.78
1679932373455,1112361809645300,-7.5750003,-23.025002,-265.9125,-20.82,-13.44,-228.78
1679932373465,1112361819647454,-7.5750003,-23.1,-265.9125,-20.82,-13.44,-228.78
