system_ts_ms, sensor_ts_ns, gyrXr, gyrYr, gyrZr, gyrDXr, gyrDYr, gyrDZr
1680009357864,1189346216064533,0.014025,0.0669625,-0.013062499,0.0105921505,0.001727876,0.006060423
1680009357869,1189346218566692,0.014025,0.0680625,-0.014025,0.0105921505,0.001727876,0.006060423
1680009357869,1189346221068846,0.0119624995,0.073975,-0.0149875,0.0105921505,0.001727876,0.006060423
1680009357870,1189346223571000,0.0119624995,0.0749375,-0.0100375,0.0105921505,0.001727876,0.006060423
1680009357871,1189346226073230,0.007975,0.07205,-0.0119624995,0.0105921505,0.001727876,0.006060423
1680009357875,1189346228575606,0.007975,0.069025,-0.0089375,0.0105921505,0.001727876,0.006060423
1680009357887,1189346231077529,0.0089375,0.062975,-0.0039875,0.0105921505,0.001727876,0.006060423
1680009357888,1189346233579914,0.00605,0.0650375,-0.0089375,0.0105921505,0.001727876,0.006060423
1680009357889,1189346236082068,0.00605,0.0650375,-9.625E-4,0.0105921505,0.001727876,0.006060423
1680009357889,1189346238584221,0.0070125,0.0620125,0.0039875,0.0105921505,0.001727876,0.006060423
1680009357890,1189346241086457,0.0020625,0.0570625,0.0020625,0.0105921505,0.001727876,0.006060423
1680009357890,1189346243588611,9.625E-4,0.050049998,0.0039875,0.0105921505,0.001727876,0.006060423
1680009357891,1189346246090765,0.003025,0.039049998,0.00605,0.0105921505,0.001727876,0.006060423
1680009357896,1189346248592919,9.625E-4,0.036025,0.0100375,0.0105921505,0.001727876,0.006060423
1680009357897,1189346251095073,-9.625E-4,0.0290125,0.014025,0.0105921505,0.001727876,0.006060423
1680009357898,1189346253597231,0.0,0.0229625,0.01595,0.0105921505,0.001727876,0.006060423
1680009357902,1189346256099693,0.0,0.022,0.0180125,0.0105921505,0.001727876,0.006060423
1680009357903,1189346258601770,-0.003025,0.014025,0.0210375,0.0105921505,0.001727876,0.006060423
1680009357906,1189346261103924,-0.0020625,0.0100375,0.0210375,0.0105921505,0.001727876,0.006060423
1680009357909,1189346263606164,0.0,0.0089375,0.022,0.0105921505,0.001727876,0.006060423
1680009357915,1189346266108318,-9.625E-4,0.00605,0.0229625,0.0105921505,0.001727876,0.006060423
1680009357916,1189346268610472,-0.003025,0.00605,0.0259875,0.0105921505,0.001727876,0.006060423
1680009357917,1189346271112626,-0.0039875,0.0100375,0.02805,0.0105921505,0.001727876,0.006060423
1680009357919,1189346273615001,-0.0039875,0.013062499,0.0259875,0.0105921505,0.001727876,0.006060423
1680009357923,1189346276117155,-0.00495,0.014025,0.02805,0.0105921505,0.001727876,0.006060423
