system_ts_ms, sensor_ts_ns, gyrX, gyrY, gyrZ
1679997304427,1177292780835905,-0.0188375,-0.025575,-0.0416625
1679997304428,1177292783337828,-0.0169125,-0.019524999,-0.0396
1679997304431,1177292785839967,-0.0158125,-0.0105875,-0.0405625
1679997304433,1177292788342121,-0.01485,4.125E-4,-0.042625
1679997304436,1177292790843967,-0.01485,0.0064625,-0.045649998
1679997304438,1177292793346044,-0.01485,0.007425,-0.0446875
1679997304445,1177292795848198,-0.0108624995,0.0174625,-0.0446875
1679997304446,1177292798350044,-0.012925,0.029424999,-0.047575
1679997304448,1177292800851967,-0.011825,0.0314875,-0.042625
1679997304449,1177292803354121,-0.0108624995,0.032449998,-0.0416625
1679997304451,1177292805856285,-0.0099,0.0364375,-0.0435875
1679997304453,1177292808358131,-0.0078375,0.0394625,-0.0396
1679997304456,1177292810860208,-0.0048125,0.043449998,-0.036575
1679997304461,1177292813362362,-0.0048125,0.0424875,-0.036575
1679997304462,1177292815864285,-0.0059125,0.0444125,-0.0325875
1679997304463,1177292818366357,-8.25E-4,0.0424875,-0.0286
1679997304467,1177292820868280,-0.0048125,0.043449998,-0.025575
1679997304468,1177292823370434,-0.0059125,0.0424875,-0.025575
1679997304470,1177292825872511,1.375E-4,0.0424875,-0.0246125
1679997304476,1177292828374352,-8.25E-4,0.040425,-0.0196625
1679997304477,1177292830876506,-0.00385,0.0364375,-0.020624999
1679997304478,1177292833378429,0.0020625,0.034375,-0.0196625
1679997304481,1177292835880583,-8.25E-4,0.0303875,-0.0166375
1679997304485,1177292838382424,-0.00385,0.024475,-0.014575
1679997304489,1177292840884578,-0.001925,0.024475,-0.014575
1679997304494,1177292843687347,-0.001925,0.0204875,-0.01265
1679997304495,1177292845888578,0.0011,0.02145,-0.0116875
1679997304495,1177292848390655,1.375E-4,0.0204875,-0.01265
1679997304496,1177292850892560,-8.25E-4,0.0174625,-0.0116875
1679997304498,1177292853394714,1.375E-4,0.0144375,-0.014575
1679997304501,1177292855896791,1.375E-4,0.007425,-0.01265
1679997304503,1177292858398714,1.375E-4,0.012375,-0.015675
1679997304509,1177292860900786,-8.25E-4,0.01045,-0.01265
1679997304510,1177292863402709,1.375E-4,0.012375,-0.0105875
1679997304510,1177292865904786,0.0031625,0.012375,-0.01265
1679997304513,1177292868406939,0.0031625,0.0114124995,-0.014575
1679997304516,1177292870908863,0.0050875,0.012375,-0.014575
1679997304518,1177292873410930,0.0061875,0.01045,-0.01265
1679997304522,1177292875912853,0.004125,0.012375,-0.015675
1679997304526,1177292878414930,0.0031625,0.0114124995,-0.0166375
1679997304527,1177292880916853,0.0081124995,0.0094875,-0.015675
1679997304529,1177292883418925,0.009075,0.0055,-0.014575
1679997304531,1177292885921078,0.004125,0.01045,-0.015675
1679997304533,1177292888423001,0.010175,0.013475,-0.015675
1679997304536,1177292890925078,0.0081124995,0.01045,-0.014575
1679997304538,1177292893427001,0.00715,0.007425,-0.01265
1679997304542,1177292895929088,0.013062499,0.0094875,-0.0185625
1679997304543,1177292898431011,0.0171875,0.0055,-0.0176
1679997304547,1177292900933088,0.013062499,0.0034375,-0.015675
1679997304549,1177292903435242,0.0160875,0.002475,-0.0176
1679997304550,1177292905937193,0.0191125,4.125E-4,-0.0196625
1679997304553,1177292908439270,0.0171875,-0.003575,-0.0196625
1679997304556,1177292910941193,0.0191125,-0.003575,-0.0246125
1679997304560,1177292913443270,0.020075,-0.0075625,-0.020624999
1679997304561,1177292915945438,0.0240625,-0.009625,-0.020624999
1679997304563,1177292918447361,0.0281875,-0.0125124995,-0.02365
1679997304566,1177292920949438,0.0281875,-0.0155375,-0.02365
1679997304568,1177292923451284,0.02915,-0.0165,-0.0215875
1679997304571,1177292925953438,0.0281875,-0.0286,-0.0226875
1679997304576,1177292928455603,0.0281875,-0.0295625,-0.020624999
1679997304577,1177292930957526,0.0270875,-0.0295625,-0.0196625
1679997304578,1177292933459603,0.026124999,-0.0295625,-0.0196625
1679997304580,1177292935961526,0.0281875,-0.0286,-0.0196625
1679997304583,1177292938463622,0.031075,-0.0325875,-0.0176
1679997304587,1177292940965545,0.0341,-0.0345125,-0.015675
1679997304589,1177292943467622,0.0331375,-0.0345125,-0.015675
1679997304593,1177292945969776,0.0331375,-0.0356125,-0.015675
1679997304594,1177292948471699,0.031075,-0.0345125,-0.01265
1679997304599,1177292950973752,0.0331375,-0.03355,-0.009625
