system_ts_ms, sensor_ts_ns, magXr, magYr, magZr, magDXr, magDYr, magDZr
1679997304804,1177293159196387,-21.84375,-78.46875,-257.92502,-28.14,-55.19,-229.92
1679997304815,1177293169191363,-22.3125,-78.168755,-258.1875,-28.14,-55.19,-229.92
1679997304824,1177293179154992,-22.743752,-77.86875,-258.4125,-28.14,-55.19,-229.92
1679997304837,1177293189165059,-22.743752,-77.86875,-258.05627,-28.14,-55.19,-229.92
1679997304844,1177293199168915,-22.743752,-77.86875,-257.64377,-28.14,-55.19,-229.92
1679997304854,1177293209145044,-23.15625,-77.68125,-258.11252,-28.14,-55.19,-229.92
1679997304864,1177293219147116,-23.5125,-77.568756,-258.54376,-28.14,-55.19,-229.92
1679997304874,1177293229148721,-23.15625,-77.925,-258.71252,-28.14,-55.19,-229.92
1679997304885,1177293239128432,-22.743752,-78.28125,-258.84375,-28.14,-55.19,-229.92
1679997304895,1177293249163980,-22.3125,-78.881256,-258.65625,-28.14,-55.19,-229.92
1679997304905,1177293259197417,-21.84375,-79.481255,-258.4125,-28.14,-55.19,-229.92
1679997304915,1177293269158208,-21.65625,-79.668755,-258.35626,-28.14,-55.19,-229.92
1679997304924,1177293279162645,-21.4125,-79.78125,-258.24377,-28.14,-55.19,-229.92
1679997304936,1177293289147025,-21.243752,-80.193756,-257.8125,-28.14,-55.19,-229.92
1679997304944,1177293299112659,-21.112501,-80.568756,-257.34375,-28.14,-55.19,-229.92
1679997304954,1177293309116721,-21.4125,-80.512505,-257.34375,-28.14,-55.19,-229.92
1679997304965,1177293319109687,-21.712502,-80.381256,-257.34375,-28.14,-55.19,-229.92
1679997304976,1177293329103845,-22.0125,-79.668755,-257.34375,-28.14,-55.19,-229.92
1679997304985,1177293339123272,-22.3125,-78.881256,-257.34375,-28.14,-55.19,-229.92
1679997304994,1177293349135277,-22.3875,-79.012505,-257.45627,-28.14,-55.19,-229.92
1679997305005,1177293359144897,-22.44375,-79.068756,-257.5125,-28.14,-55.19,-229.92
1679997305015,1177293369138114,-22.143751,-78.881256,-257.75626,-28.14,-55.19,-229.92
1679997305024,1177293379123133,-21.84375,-78.76875,-257.92502,-28.14,-55.19,-229.92
1679997305034,1177293389121603,-21.84375,-78.76875,-258.05627,-28.14,-55.19,-229.92
1679997305044,1177293399125992,-21.84375,-78.76875,-258.11252,-28.14,-55.19,-229.92
1679997305054,1177293409136593,-21.712502,-79.068756,-257.92502,-28.14,-55.19,-229.92
1679997305065,1177293419133126,-21.54375,-79.36875,-257.8125,-28.14,-55.19,-229.92
1679997305075,1177293429143006,-21.4125,-79.125,-257.8125,-28.14,-55.19,-229.92
1679997305086,1177293439118366,-21.243752,-78.881256,-257.8125,-28.14,-55.19,-229.92
1679997305094,1177293449098596,-21.243752,-79.068756,-257.75626,-28.14,-55.19,-229.92
1679997305104,1177293459104028,-21.243752,-79.18125,-257.64377,-28.14,-55.19,-229.92
1679997305114,1177293469078571,-21.4125,-79.425,-257.5125,-28.14,-55.19,-229.92
1679997305125,1177293479109657,-21.54375,-79.668755,-257.34375,-28.14,-55.19,-229.92
1679997305135,1177293489143426,-21.712502,-79.668755,-257.34375,-28.14,-55.19,-229.92
1679997305145,1177293499153492,-21.84375,-79.668755,-257.34375,-28.14,-55.19,-229.92
1679997305154,1177293509160492,-22.0125,-79.481255,-257.5125,-28.14,-55.19,-229.92
1679997305165,1177293519153328,-22.143751,-79.36875,-257.64377,-28.14,-55.19,-229.92
1679997305175,1177293529132107,-22.3875,-78.825005,-258.05627,-28.14,-55.19,-229.92
1679997305185,1177293539141977,-22.612501,-78.28125,-258.4125,-28.14,-55.19,-229.92
1679997305195,1177293549150072,-22.3125,-78.225006,-258.48752,-28.14,-55.19,-229.92
1679997305204,1177293559143019,-22.0125,-78.168755,-258.54376,-28.14,-55.19,-229.92
1679997305216,1177293569130403,-21.84375,-78.225006,-258.76877,-28.14,-55.19,-229.92
1679997305225,1177293579106571,-21.712502,-78.28125,-259.0125,-28.14,-55.19,-229.92
1679997305236,1177293589114864,-21.84375,-78.58125,-259.14377,-28.14,-55.19,-229.92
1679997305245,1177293599120941,-22.0125,-78.881256,-259.3125,-28.14,-55.19,-229.92
1679997305255,1177293609122994,-22.275002,-79.3125,-259.3875,-28.14,-55.19,-229.92
1679997305265,1177293619119769,-22.44375,-79.668755,-259.42502,-28.14,-55.19,-229.92
1679997305274,1177293629127302,-22.3875,-79.481255,-259.3125,-28.14,-55.19,-229.92
1679997305285,1177293639138277,-22.44375,-79.36875,-259.08752,-28.14,-55.19,-229.92
1679997305295,1177293649149277,-22.556252,-79.36875,-258.84375,-28.14,-55.19,-229.92
1679997305305,1177293659156897,-22.612501,-79.36875,-258.65625,-28.14,-55.19,-229.92
1679997305314,1177293669151420,-22.556252,-78.881256,-258.65625,-28.14,-55.19,-229.92
1679997305325,1177293679129122,-22.275002,-79.068756,-258.11252,-28.14,-55.19,-229.92
1679997305335,1177293689124853,-21.7875,-79.3125,-257.26877,-28.14,-55.19,-229.92
1679997305346,1177293699131169,-21.243752,-79.36875,-256.6875,-28.14,-55.19,-229.92
1679997305355,1177293709139111,-21.1875,-79.425,-256.61252,-28.14,-55.19,-229.92
