system_ts_ms, sensor_ts_ns, linX, linY, linZ
1679997304489,1177292840884578,0.155,0.106,0.285
1679997304495,1177292843687347,0.156,0.092,0.244
1679997304495,1177292845888578,0.101,0.133,0.203
1679997304496,1177292848390655,0.075,0.065,0.298
1679997304496,1177292850892560,0.118,0.135,0.349
1679997304499,1177292853394714,0.159,0.135,0.281
1679997304501,1177292855896791,0.132,0.121,0.199
1679997304503,1177292858398714,0.065,0.108,0.253
1679997304509,1177292860900786,0.024,0.121,0.24
1679997304510,1177292863402709,0.093,0.189,0.171
1679997304511,1177292865904786,0.12,0.107,0.212
1679997304513,1177292868406939,0.002,0.148,0.25
1679997304516,1177292870908863,0.044,0.188,0.195
1679997304518,1177292873410930,0.072,0.202,0.195
1679997304523,1177292875912853,0.058,0.16,0.154
1679997304527,1177292878414930,0.113,0.187,0.25
1679997304528,1177292880916853,0.046,0.146,0.141
1679997304530,1177292883418925,0.059,0.105,0.182
1679997304532,1177292885921078,0.062,0.173,0.235
1679997304534,1177292888423001,0.104,0.159,0.167
1679997304536,1177292890925078,0.131,0.145,0.275
1679997304538,1177292893427001,0.05,0.158,0.262
1679997304543,1177292895929088,0.105,0.185,0.221
1679997304543,1177292898431011,0.105,0.225,0.18
1679997304548,1177292900933088,0.037,0.116,0.167
1679997304549,1177292903435242,-0.026,0.101,0.165
1679997304551,1177292905937193,0.083,0.087,0.083
1679997304553,1177292908439270,0.042,0.114,0.029
1679997304556,1177292910941193,0.11,0.249,0.207
1679997304560,1177292913443270,0.111,0.153,0.003
1679997304562,1177292915945438,0.084,0.194,0.126
1679997304564,1177292918447361,0.097,0.234,0.14
1679997304567,1177292920949438,0.096,0.162,0.034
1679997304568,1177292923451284,0.178,0.189,0.062
1679997304571,1177292925953438,0.205,0.079,0.158
1679997304576,1177292928455603,0.137,0.119,0.023
1679997304578,1177292930957526,0.205,0.241,0.051
1679997304579,1177292933459603,0.177,0.24,0.065
1679997304582,1177292935961526,0.286,0.253,0.107
1679997304583,1177292938463622,0.215,0.197,0.11
1679997304587,1177292940965545,0.2,0.196,0.125
1679997304589,1177292943467622,0.241,0.236,0.112
1679997304593,1177292945969776,0.268,0.276,0.181
1679997304594,1177292948471675,0.308,0.221,0.168
1679997304599,1177292950973752,0.226,0.179,0.156
1679997304600,1177292953475675,0.267,0.206,0.211
1679997304601,1177292955977752,0.276,0.232,0.161
1679997304603,1177292958479680,0.207,0.244,0.08
1679997304606,1177292960981757,0.125,0.203,0.122
1679997304608,1177292963483911,0.234,0.284,0.136
1679997304611,1177292965985834,0.152,0.215,0.055
1679997304613,1177292968487902,0.166,0.31,0.178
1679997304617,1177292970989825,0.111,0.336,0.056
1679997304619,1177292973491902,0.14,0.371,0.209
1679997304621,1177292975993825,0.113,0.193,0.251
1679997304624,1177292978495969,0.086,0.247,0.265
1679997304629,1177292980998046,0.086,0.273,0.225
1679997304629,1177292983499969,0.155,0.327,0.089
1679997304632,1177292986002046,0.059,0.395,0.28
1679997304635,1177292988503935,0.1,0.299,0.172
1679997304637,1177292991006012,0.078,0.442,0.296
1679997304639,1177292993507935,0.093,0.345,0.174
1679997304641,1177292996010089,0.011,0.386,0.283
1679997304643,1177292998512166,0.025,0.48,0.243
1679997304647,1177293001014084,0.025,0.425,0.339
1679997304648,1177293003516161,0.052,0.384,0.162
1679997304651,1177293006018084,0.093,0.411,0.108
1679997304654,1177293008520161,0.07,0.431,0.207
1679997304657,1177293011022089,0.152,0.402,0.139
1679997304658,1177293013524243,0.124,0.361,0.194
1679997304661,1177293016026319,0.083,0.469,0.236
1679997304664,1177293018528473,0.137,0.428,0.264
1679997304667,1177293021030324,0.137,0.373,0.264
1679997304669,1177293023532248,0.068,0.318,0.279
1679997304673,1177293026034324,0.179,0.357,0.348
1679997304675,1177293028536478,0.138,0.424,0.226
1679997304677,1177293031038425,0.151,0.287,0.309
1679997304679,1177293033540502,0.164,0.341,0.35
1679997304683,1177293036042656,0.163,0.368,0.187
1679997304685,1177293038544502,0.19,0.381,0.215
1679997304687,1177293041046430,0.108,0.34,0.216
1679997304689,1177293043548584,0.084,0.481,0.207
1679997304691,1177293046050738,0.221,0.276,0.249
1679997304693,1177293048552584,0.111,0.384,0.277
1679997304696,1177293051054661,0.125,0.342,0.359
1679997304698,1177293053556815,0.07,0.342,0.265
1679997304701,1177293056058738,-0.011,0.3,0.265
1679997304704,1177293058560584,0.124,0.327,0.279
1679997304707,1177293061062969,0.126,0.349,0.2
1679997304711,1177293063564901,0.085,0.307,0.31
1679997304712,1177293066066978,0.072,0.252,0.283
1679997304715,1177293068568824,0.072,0.415,0.284
1679997304717,1177293071070978,0.045,0.347,0.339
1679997304719,1177293073572901,0.059,0.387,0.257
1679997304721,1177293076074728,0.141,0.386,0.326
1679997304724,1177293078577113,0.024,0.394,0.272
1679997304727,1177293081079036,0.188,0.311,0.286
1679997304729,1177293083581113,0.025,0.352,0.232
1679997304732,1177293086082940,0.12,0.351,0.164
1679997304733,1177293088585094,0.175,0.323,0.369
1679997304736,1177293091087017,0.147,0.35,0.301
1679997304738,1177293093589094,0.161,0.377,0.165
1679997304741,1177293096091257,0.203,0.334,0.316
1679997304743,1177293098593180,0.23,0.334,0.235
1679997304748,1177293101095026,0.12,0.252,0.317
1679997304750,1177293103597180,0.202,0.292,0.236
1679997304752,1177293106099344,0.215,0.224,0.291
1679997304754,1177293108601421,0.255,0.251,0.292
1679997304756,1177293111103267,0.227,0.224,0.292
1679997304759,1177293113605421,0.24,0.266,0.387
1679997304761,1177293116107344,0.253,0.116,0.292
1679997304767,1177293118609214,0.252,0.17,0.306
1679997304767,1177293121111368,0.333,0.17,0.307
1679997304769,1177293123613522,0.183,0.088,0.376
1679997304771,1177293126115598,0.237,0.129,0.39
1679997304774,1177293128617532,0.168,0.074,0.254
1679997304776,1177293131119609,0.221,0.093,0.414
1679997304779,1177293133621532,0.193,0.067,0.346
1679997304782,1177293136123609,0.165,0.107,0.292
1679997304785,1177293138625762,0.151,0.08,0.387
1679997304788,1177293141127685,0.151,0.189,0.456
1679997304790,1177293143629762,0.123,0.148,0.32
1679997304792,1177293146131685,0.177,0.108,0.32
1679997304795,1177293148633776,0.149,0.083,0.237
1679997304799,1177293151135699,0.175,0.206,0.387
1679997304800,1177293153637776,0.148,0.179,0.333
1679997304801,1177293156139930,0.175,0.097,0.387
1679997304804,1177293158641853,0.147,0.097,0.346
1679997304806,1177293161143964,0.12,0.166,0.36
1679997304808,1177293163645887,0.133,0.125,0.387
1679997304810,1177293166147964,0.16,0.088,0.303
1679997304813,1177293168649887,0.187,0.129,0.384
1679997304816,1177293171152055,0.2,0.225,0.316
1679997304818,1177293173654132,0.2,0.238,0.371
1679997304822,1177293176156055,0.227,0.252,0.398
1679997304825,1177293178658132,0.104,0.157,0.371
1679997304828,1177293181160045,0.213,0.266,0.289
1679997304832,1177293183662122,0.214,0.227,0.382
1679997304833,1177293186164045,0.227,0.228,0.3
1679997304839,1177293188666199,0.309,0.241,0.355
1679997304840,1177293191168276,0.227,0.242,0.368
1679997304840,1177293193670209,0.336,0.228,0.477
1679997304841,1177293196172286,0.268,0.201,0.341
1679997304843,1177293198674209,0.281,0.31,0.45
1679997304846,1177293201176286,0.306,0.191,0.407
1679997304848,1177293203678204,0.333,0.206,0.366
1679997304851,1177293206180358,0.306,0.26,0.475
1679997304853,1177293208682435,0.252,0.247,0.298
1679997304856,1177293211184358,0.292,0.301,0.352
1679997304860,1177293213686411,0.292,0.342,0.379
1679997304862,1177293216188334,0.252,0.329,0.352
1679997304864,1177293218690411,0.278,0.209,0.432
1679997304867,1177293221192565,0.264,0.196,0.445
1679997304869,1177293223694719,0.278,0.251,0.39
1679997304871,1177293226196555,0.196,0.224,0.308
1679997304873,1177293228698478,0.224,0.265,0.499
1679997304876,1177293231200632,0.183,0.224,0.267
1679997304878,1177293233702478,0.197,0.292,0.199
1679997304881,1177293236204555,0.278,0.306,0.335
1679997304884,1177293238706709,0.264,0.306,0.24
1679997304887,1177293241208863,0.182,0.198,0.294
1679997304889,1177293243710709,0.237,0.239,0.294
1679997304891,1177293246212623,0.128,0.185,0.334
1679997304894,1177293248714777,0.21,0.294,0.265
1679997304898,1177293251216854,0.115,0.254,0.306
1679997304900,1177293253718700,0.052,0.239,0.303
1679997304901,1177293256220926,0.093,0.117,0.248
1679997304904,1177293258723002,-0.001,0.186,0.206
1679997304907,1177293261224926,0.067,0.118,0.124
1679997304909,1177293263727002,0.04,0.105,0.26
1679997304911,1177293266228926,0.067,0.132,0.096
1679997304915,1177293268730967,0.027,0.119,0.313
1679997304916,1177293271233121,0.015,0.091,0.081
1679997304920,1177293273735044,0.015,0.037,0.081
1679997304921,1177293276237121,0.084,0.106,0.094
1679997304924,1177293278739039,-0.024,0.119,0.053
1679997304927,1177293281241116,0.138,0.106,0.066
1679997304929,1177293283743039,0.07,0.066,0.12
1679997304932,1177293286245116,0.098,0.188,0.052
1679997304936,1177293288747035,0.057,0.106,0.106
1679997304938,1177293291249189,0.057,0.161,0.024
1679997304939,1177293293751035,0.166,0.175,0.024
1679997304941,1177293296253112,0.111,0.23,0.079
1679997304944,1177293298755343,0.125,0.148,0.201
1679997304947,1177293301257174,0.138,0.203,0.052
1679997304949,1177293303759251,0.137,0.284,0.134
1679997304951,1177293306261405,0.176,0.228,0.11
1679997304954,1177293308763328,0.162,0.228,0.11
1679997304956,1177293311265174,0.161,0.174,0.165
1679997304958,1177293313767275,0.201,0.187,0.22
1679997304961,1177293316269506,0.159,0.188,0.288
1679997304965,1177293318771583,0.226,0.215,0.207
1679997304967,1177293321273429,0.048,0.215,0.207
1679997304969,1177293323775588,0.091,0.189,0.301
