system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679997304449,1177292803354121,4.8310504,5.478,7.0600505
1679997304451,1177292805856285,4.7520003,5.58405,7.0219502
1679997304453,1177292808358131,4.7380505,5.48295,6.9480004
1679997304455,1177292810860208,4.7059503,5.55495,6.8929505
1679997304461,1177292813362362,4.74195,5.55495,6.9739504
1679997304462,1177292815864285,4.7470503,5.5669503,7.00995
1679997304463,1177292818366357,4.7140503,5.55,6.9739504
1679997304466,1177292820868280,4.70895,5.6839504,7.0069504
1679997304468,1177292823370434,4.66305,5.57595,6.9619503
1679997304470,1177292825872511,4.728,5.5909505,7.0909505
1679997304476,1177292828374352,4.6660504,5.6410503,7.1250005
1679997304476,1177292830876506,4.63005,5.6340003,7.0870504
1679997304478,1177292833378429,4.66995,5.5999503,6.94005
1679997304480,1177292835880583,4.63005,5.5690503,6.93795
1679997304485,1177292838382424,4.6540504,5.6269503,6.9240003
1679997304488,1177292840884578,4.6990504,5.58795,7.0530005
1679997304494,1177292843687347,4.6920004,5.5789504,7.005
1679997304495,1177292845888578,4.63695,5.6239505,6.9670506
1679997304495,1177292848390655,4.611,5.5480504,7.0669503
1679997304496,1177292850892560,4.64895,5.6239505,7.11495
1679997304498,1177292853394714,4.6969504,5.622,7.05105
1679997304500,1177292855896791,4.66995,5.598,6.9619503
1679997304503,1177292858398714,4.5990005,5.5960503,7.0219502
1679997304509,1177292860900786,4.5529504,5.60505,7.0069504
1679997304509,1177292863402709,4.6200004,5.6790004,6.93795
1679997304510,1177292865904786,4.65105,5.5909505,6.97905
1679997304513,1177292868406939,4.5270004,5.63595,7.0150504
1679997304515,1177292870908863,4.5700502,5.67,6.9640503
1679997304518,1177292873410930,4.5940504,5.68905,6.9690003
1679997304522,1177292875912853,4.58895,5.6509504,6.9280505
1679997304526,1177292878414930,4.63905,5.6790004,7.0270505
1679997304527,1177292880916853,4.572,5.6340003,6.912
1679997304529,1177292883418925,4.57905,5.5860004,6.9480004
1679997304531,1177292885921078,4.58895,5.6580005,7.0069504
1679997304533,1177292888423001,4.6200004,5.6509504,6.94005
1679997304536,1177292890925078,4.6540504,5.6269503,7.0480504
1679997304538,1177292893427001,4.56495,5.6389503,7.0410004
1679997304542,1177292895929088,4.61805,5.6670003,6.9910502
1679997304543,1177292898431011,4.61805,5.7109504,6.94995
1679997304546,1177292900933088,4.5600004,5.6080503,6.94005
1679997304548,1177292903435242,4.48395,5.5960503,6.945
1679997304550,1177292905937193,4.596,5.57595,6.8539505
1679997304553,1177292908439270,4.55805,5.6080503,6.8089504
1679997304555,1177292910941193,4.63005,5.7390003,6.9760504
1679997304560,1177292913443270,4.63005,5.64795,6.7780504
1679997304561,1177292915945438,4.6009502,5.68695,6.9040504
1679997304563,1177292918447361,4.611,5.7229505,6.9139504
1679997304566,1177292920949438,4.6129503,5.65605,6.80595
1679997304568,1177292923451284,4.6920004,5.682,6.83505
1679997304570,1177292925953438,4.7140503,5.5810504,6.9280505
1679997304576,1177292928455603,4.6579504,5.6239505,6.7939506
1679997304577,1177292930957526,4.7140503,5.74695,6.8179502
1679997304578,1177292933459603,4.6870503,5.73705,6.83505
1679997304580,1177292935961526,4.80495,5.7559505,6.87795
1679997304583,1177292938463622,4.7380505,5.6989503,6.8760004
1679997304587,1177292940965545,4.72305,5.7060003,6.8880005
1679997304588,1177292943467622,4.76595,5.73495,6.8760004
1679997304593,1177292945969776,4.78305,5.7780004,6.9430504
1679997304594,1177292948471699,4.8289504,5.727,6.9280505
1679997304598,1177292950973752,4.7449503,5.68695,6.9090004
1679997304599,1177292953475675,4.79295,5.71995,6.972
1679997304601,1177292955977752,4.7970004,5.73705,6.91905
1679997304603,1177292958479675,4.728,5.754,6.83505
1679997304606,1177292960981757,4.656,5.715,6.8760004
1679997304608,1177292963483911,4.761,5.79195,6.8880005
1679997304610,1177292965985834,4.67805,5.7300005,6.7969503
1679997304613,1177292968487911,4.6969504,5.82105,6.9240003
1679997304616,1177292970989825,4.6320004,5.85405,6.8040004
1679997304618,1177292973491902,4.6660504,5.8950005,6.9480004
1679997304621,1177292975993825,4.63695,5.7109504,7.0000505
1679997304623,1177292978495979,4.6129503,5.7730503,7.00995
1679997304628,1177292980998046,4.6150503,5.7990003,6.9670506
