system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679997304419,1177292773329808,0.386216,0.083354,0.721443,0.568689
1679997304421,1177292775831905,0.386233,0.083327,0.721398,0.568739
1679997304427,1177292778333828,0.386243,0.083304,0.721355,0.56879
1679997304427,1177292780835905,0.386444,0.083087,0.721401,0.568626
1679997304429,1177292783337828,0.386466,0.083053,0.721369,0.568658
1679997304431,1177292785839967,0.386463,0.083048,0.721336,0.568702
1679997304434,1177292788342121,0.386449,0.083054,0.721307,0.568747
1679997304436,1177292790843967,0.386428,0.083066,0.721279,0.568795
1679997304438,1177292793346044,0.386407,0.08308,0.721253,0.568842
1679997304445,1177292795848198,0.386379,0.083103,0.72123,0.568886
1679997304446,1177292798350044,0.386312,0.082641,0.721382,0.568805
1679997304448,1177292800851967,0.386247,0.082716,0.721529,0.568652
1679997304450,1177292803354121,0.386206,0.082749,0.721518,0.568689
1679997304452,1177292805856285,0.386162,0.082787,0.721506,0.568729
1679997304453,1177292808358131,0.386117,0.082826,0.721497,0.568765
1679997304456,1177292810860208,0.38607,0.082871,0.721492,0.568797
1679997304462,1177292813362362,0.386025,0.082914,0.721487,0.568828
1679997304463,1177292815864285,0.385933,0.082773,0.721558,0.56882
1679997304464,1177292818366357,0.385886,0.082797,0.721565,0.568839
1679997304467,1177292820868280,0.385856,0.082763,0.721463,0.568994
1679997304469,1177292823370434,0.385811,0.0828,0.721465,0.569017
1679997304471,1177292825872511,0.38577,0.082841,0.721468,0.569035
1679997304476,1177292828374352,0.385731,0.082879,0.721473,0.569049
1679997304477,1177292830876506,0.385693,0.082913,0.721477,0.569066
1679997304479,1177292833378429,0.385652,0.082911,0.721494,0.569072
1679997304481,1177292835880583,0.385621,0.082937,0.721498,0.569084
1679997304486,1177292838382424,0.385595,0.082959,0.7215,0.569096
1679997304489,1177292840884578,0.385613,0.082779,0.721203,0.569487
1679997304495,1177292843687347,0.38559,0.082798,0.721201,0.569502
1679997304495,1177292845888578,0.385572,0.082817,0.721203,0.569509
1679997304496,1177292848390655,0.385553,0.082837,0.721203,0.569518
1679997304497,1177292850892560,0.385332,0.082803,0.721276,0.56958
1679997304499,1177292853394714,0.385297,0.082815,0.72128,0.569597
1679997304501,1177292855896791,0.385286,0.082827,0.721276,0.569608
1679997304503,1177292858398714,0.385274,0.082843,0.721271,0.569621
1679997304509,1177292860900786,0.385411,0.08216,0.720237,0.570933
1679997304510,1177292863402709,0.3854,0.082168,0.720226,0.570953
1679997304511,1177292865904786,0.38539,0.082185,0.720222,0.570963
1679997304513,1177292868406939,0.385186,0.082315,0.720233,0.571068
1679997304516,1177292870908863,0.385156,0.082348,0.720229,0.571088
1679997304518,1177292873410930,0.385149,0.082367,0.720225,0.571096
