system_ts_ms, sensor_ts_ns, magX, magY, magZ
1680011038081,1191026423581665,14.75625,-25.143751,-19.6875
1680011038086,1191026433576790,14.94375,-25.087502,-19.78125
1680011038088,1191026443578876,15.056251,-25.0125,-19.987501
1680011038109,1191026453581035,15.000001,-24.843752,-19.987501
1680011038111,1191026463582881,14.94375,-24.712502,-19.987501
1680011038120,1191026473592005,14.94375,-24.843752,-20.587502
1680011038132,1191026483594144,14.94375,-24.843752,-20.587502
1680011038138,1191026493593658,15.1125,-24.54375,-20.7
1680011038150,1191026503588200,15.356251,-24.243752,-20.8875
1680011038158,1191026513582883,15.243751,-24.243752,-21.0
1680011038168,1191026523577392,15.056251,-24.243752,-21.1875
1680011038182,1191026533582152,15.056251,-24.487501,-21.243752
1680011038188,1191026543584233,15.056251,-24.712502,-21.300001
1680011038199,1191026553578540,15.1125,-24.7875,-21.300001
1680011038208,1191026563580664,15.243751,-24.843752,-21.300001
1680011038218,1191026573575106,15.056251,-25.0125,-21.487501
1680011038231,1191026583569620,14.94375,-25.143751,-21.6
1680011038238,1191026593571827,14.75625,-25.087502,-21.6
1680011038249,1191026603573937,14.64375,-25.0125,-21.6
1680011038258,1191026613576114,14.45625,-24.712502,-21.712502
1680011038269,1191026623585893,14.343751,-24.4125,-21.7875
1680011038277,1191026633587984,14.212501,-24.4125,-21.84375
1680011038289,1191026643590133,14.156251,-24.4125,-21.900002
1680011038300,1191026653584638,13.9125,-24.187502,-21.487501
1680011038308,1191026663579108,13.743751,-23.925001,-21.0
1680011038320,1191026673581237,13.25625,-23.8125,-21.1875
1680011038333,1191026683548948,13.25625,-23.8125,-21.1875
1680011038338,1191026693551035,13.44375,-23.8875,-21.1875
1680011038351,1191026703553193,13.556251,-23.925001,-21.1875
1680011038358,1191026713555327,13.500001,-23.75625,-21.112501
1680011038368,1191026723584230,13.44375,-23.5125,-21.0
1680011038381,1191026733586456,13.556251,-23.34375,-21.300001
1680011038388,1191026743588681,13.743751,-23.212502,-21.6
1680011038400,1191026753583244,14.1,-23.5125,-21.487501
1680011038408,1191026763585364,14.45625,-23.8125,-21.300001
1680011038418,1191026773587422,14.45625,-24.112501,-21.300001
1680011038429,1191026783592796,14.45625,-24.4125,-21.300001
1680011038439,1191026793575815,14.400001,-24.487501,-21.300001
1680011038448,1191026803577944,14.343751,-24.54375,-21.300001
1680011038458,1191026813572516,14.400001,-24.7875,-21.300001
1680011038468,1191026823563703,14.45625,-25.0125,-21.300001
1680011038479,1191026833584949,14.343751,-24.7875,-21.4125
1680011038488,1191026843579487,14.156251,-24.54375,-21.487501
1680011038498,1191026853581583,14.1,-24.187502,-21.54375
1680011038508,1191026863583751,14.043751,-23.8125,-21.6
1680011038519,1191026873574482,13.781251,-23.8875,-21.712502
1680011038528,1191026883576641,13.556251,-23.925001,-21.7875
1680011038538,1191026893578813,13.500001,-24.243752,-21.6
1680011038551,1191026903580928,13.44375,-24.54375,-21.487501
1680011038558,1191026913555408,13.312501,-24.54375,-21.4125
1680011038568,1191026923557581,13.25625,-24.54375,-21.300001
1680011038578,1191026933559705,13.25625,-24.54375,-21.4125
1680011038589,1191026943530295,13.25625,-24.54375,-21.487501
1680011038598,1191026953563862,13.6125,-24.712502,-21.4125
1680011038608,1191026963558299,14.043751,-24.843752,-21.300001
1680011038618,1191026973560452,14.043751,-24.487501,-21.487501
