system_ts_ms, sensor_ts_ns, magX, magY, magZ
1679994162287,1174150642573945,-12.4125,99.00001,-5.7000003
1679994162297,1174150652563642,-12.356251,99.4875,-6.24375
1679994162311,1174150662532315,-12.3,100.012505,-6.7875004
1679994162320,1174150672515478,-12.0,100.31251,-7.0125003
1679994162327,1174150682529948,-11.700001,100.6125,-7.2000003
1679994162338,1174150692529106,-11.700001,100.9875,-7.0875
1679994162348,1174150702528904,-11.700001,101.4,-6.8812504
1679994162357,1174150712527650,-11.64375,101.45625,-7.0125003
1679994162369,1174150722495876,-11.512501,101.512505,-7.0875
1679994162379,1174150732495255,-11.512501,101.15626,-6.7125
1679994162387,1174150742497005,-11.512501,100.8,-6.3
1679994162398,1174150752505596,-11.75625,100.31251,-6.3
1679994162408,1174150762514019,-12.0,99.9,-6.3
1679994162420,1174150772546629,-11.8125,99.7125,-6.3
1679994162428,1174150782560807,-11.700001,99.600006,-6.3
1679994162438,1174150792567821,-11.75625,99.7125,-6.4125004
1679994162448,1174150802560571,-11.8125,99.9,-6.4875
1679994162457,1174150812556167,-11.64375,99.95625,-6.7125
1679994162469,1174150822560450,-11.400001,100.012505,-6.8812504
1679994162477,1174150832556195,-11.15625,100.50001,-7.0875
1679994162488,1174150842578517,-10.9125,100.912506,-7.2000003
1679994162498,1174150852579498,-10.856251,101.15626,-7.4437504
1679994162508,1174150862587819,-10.8,101.4,-7.6875005
1679994162519,1174150872609156,-10.743751,101.100006,-7.6875005
1679994162529,1174150882613299,-10.6125,100.8,-7.6875005
1679994162538,1174150892615760,-10.556251,100.856255,-7.8
1679994162548,1174150902618375,-10.5,100.912506,-7.9875
1679994162558,1174150912619841,-10.25625,101.100006,-8.212501
1679994162570,1174150922621470,-10.012501,101.2125,-8.38125
1679994162577,1174150932623340,-9.712501,101.287506,-8.512501
1679994162588,1174150942619124,-9.4125,101.4,-8.587501
1679994162598,1174150952617970,-9.0,101.81251,-8.625
1679994162609,1174150962620071,-8.512501,102.3,-8.700001
1679994162619,1174150972615840,-8.08125,102.3,-8.887501
1679994162628,1174150982617157,-7.6125,102.3,-9.0
1679994162638,1174150992619310,-7.3125005,102.18751,-9.1125
1679994162648,1174151002613834,-7.0125003,102.1125,-9.168751
1679994162658,1174151012615940,-6.8812504,102.4875,-9.243751
1679994162669,1174151022618858,-6.7125,102.881256,-9.3
1679994162679,1174151032620977,-6.8812504,103.068756,-9.46875
1679994162687,1174151042623130,-7.0125003,103.31251,-9.58125
1679994162698,1174151052625275,-7.3125005,103.387505,-9.3
1679994162709,1174151062627409,-7.6125,103.50001,-9.0
1679994162718,1174151072620706,-7.8,103.387505,-8.700001
1679994162727,1174151082593788,-7.9125004,103.31251,-8.38125
1679994162737,1174151092588302,-8.15625,102.881256,-8.212501
1679994162748,1174151102581614,-8.38125,102.412506,-7.9875
1679994162758,1174151112583739,-8.45625,102.00001,-8.043751
1679994162767,1174151122608513,-8.512501,101.512505,-8.08125
1679994162778,1174151132618262,-8.45625,100.9875,-8.38125
1679994162787,1174151142621594,-8.38125,100.50001,-8.700001
1679994162797,1174151152624960,-8.45625,100.068756,-8.512501
1679994162807,1174151162627117,-8.512501,99.7125,-8.2875
1679994162817,1174151172621583,-8.38125,99.3,-8.2875
1679994162827,1174151182623034,-8.212501,98.81251,-8.2875
1679994162837,1174151192624187,-8.15625,98.512505,-8.34375
1679994162847,1174151202633370,-8.08125,98.2125,-8.38125
1679994162857,1174151212635528,-8.043751,97.9875,-8.043751
1679994162867,1174151222629508,-7.9125004,97.8,-7.6875005
1679994162877,1174151232624969,-7.74375,97.55625,-7.9125004
1679994162887,1174151242618829,-7.5000005,97.31251,-8.08125
1679994162897,1174151252613338,-7.5000005,97.387505,-8.587501
1679994162910,1174151262615496,-7.5000005,97.50001,-9.0
1679994162921,1174151272617650,-7.0125003,96.95625,-8.887501
1679994162926,1174151282612588,-6.6000004,96.412506,-8.700001
