system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679998098399,1178086745136396,0.40704,-0.238306,0.76212,0.44351
1679998098400,1178086747638550,0.407087,-0.238338,0.762082,0.443514
1679998098400,1178086750140627,0.407132,-0.238366,0.762047,0.443517
1679998098401,1178086752642781,0.407171,-0.23839,0.762014,0.443526
1679998098402,1178086755144708,0.407809,-0.238466,0.761661,0.443506
1679998098403,1178086757646862,0.4079,-0.238492,0.761598,0.443516
1679998098416,1178086760149015,0.407937,-0.238516,0.76156,0.443533
1679998098417,1178086762651169,0.407968,-0.23854,0.761523,0.443557
1679998098418,1178086765153256,0.407806,-0.238908,0.761108,0.444219
1679998098419,1178086767655410,0.407845,-0.238944,0.761054,0.444255
1679998098420,1178086770157333,0.407888,-0.238987,0.760999,0.444287
1679998098421,1178086772659487,0.408011,-0.238991,0.760896,0.444349
1679998098421,1178086775161636,0.408089,-0.239047,0.760819,0.444379
1679998098428,1178086777663790,0.408166,-0.239118,0.760742,0.444401
1679998098428,1178086780165867,0.408255,-0.239201,0.760662,0.444413
1679998098429,1178086782668020,0.408359,-0.23929,0.760574,0.444419
1679998098431,1178086785169953,0.408189,-0.239867,0.759958,0.445318
1679998098433,1178086787672030,0.408306,-0.239971,0.759861,0.445319
1679998098437,1178086790174184,0.408228,-0.2401,0.759878,0.445293
1679998098438,1178086792676338,0.408335,-0.24021,0.759796,0.445275
1679998098441,1178086795178492,0.408464,-0.240325,0.759704,0.445252
1679998098443,1178086797680405,0.408593,-0.240438,0.759615,0.445224
1679998098446,1178086800182559,0.408724,-0.24055,0.759529,0.445191
1679998098447,1178086802684636,0.408857,-0.240663,0.759444,0.445153
1679998098454,1178086805186790,0.408746,-0.241187,0.758913,0.445876
1679998098454,1178086807688713,0.408838,-0.241297,0.758849,0.445841
1679998098456,1178086810191097,0.408952,-0.2414,0.75878,0.445797
1679998098458,1178086812693020,0.409064,-0.2415,0.758715,0.445752
1679998098461,1178086815195174,0.409163,-0.241593,0.758657,0.445709
1679998098463,1178086817697222,0.409251,-0.241676,0.758607,0.445668
1679998098465,1178086820199376,0.409333,-0.24175,0.758562,0.445629
1679998098472,1178086822701299,0.409404,-0.241813,0.758524,0.445594
1679998098472,1178086825203684,0.409523,-0.242306,0.75798,0.446142
1679998098473,1178086827705607,0.409598,-0.242361,0.757939,0.446113
1679998098476,1178086830207766,0.409642,-0.242393,0.757922,0.446084
1679998098477,1178086832709843,0.40967,-0.242415,0.757916,0.446057
1679998098480,1178086835211997,0.409689,-0.242429,0.757915,0.446033
1679998098484,1178086837713920,0.409692,-0.242434,0.757924,0.446013
1679998098489,1178086840216059,0.409687,-0.242434,0.757937,0.445996
1679998098489,1178086842718213,0.410129,-0.242498,0.75771,0.445941
1679998098494,1178086845220290,0.40999,-0.242769,0.757401,0.446445
1679998098494,1178086847722444,0.409957,-0.242743,0.757429,0.446441
1679998098497,1178086850224323,0.409918,-0.242707,0.757463,0.44644
1679998098497,1178086852726477,0.409873,-0.242669,0.757498,0.446442
1679998098504,1178086855228554,0.409822,-0.242625,0.757539,0.446444
1679998098505,1178086857730785,0.409766,-0.242577,0.757581,0.446451
1679998098506,1178086860232858,0.410021,-0.242516,0.757455,0.446463
1679998098507,1178086862735012,0.409993,-0.24246,0.757482,0.446473
1679998098511,1178086865236935,0.409842,-0.24255,0.757361,0.446768
1679998098512,1178086867739088,0.409774,-0.242493,0.757404,0.446788
1679998098515,1178086870241165,0.409706,-0.242434,0.757451,0.446804
1679998098521,1178086872743304,0.409637,-0.242376,0.757498,0.446818
1679998098521,1178086875245458,0.409568,-0.242312,0.757542,0.44684
1679998098523,1178086877747612,0.40944,-0.242407,0.757621,0.446773
1679998098527,1178086880249535,0.409374,-0.242366,0.757665,0.446781
1679998098529,1178086882751664,0.409317,-0.242312,0.757701,0.446802
1679998098532,1178086885253741,0.409349,-0.242116,0.757894,0.446552
1679998098539,1178086887755895,0.409298,-0.242074,0.757923,0.446571
1679998098540,1178086890257818,0.409252,-0.242037,0.757949,0.446591
1679998098540,1178086892760202,0.409215,-0.242011,0.757967,0.446607
1679998098541,1178086895262120,0.408895,-0.24185,0.758136,0.4467
1679998098543,1178086897764274,0.408842,-0.241826,0.758158,0.446724
1679998098545,1178086900266351,0.408824,-0.241825,0.75816,0.446739
1679998098548,1178086902768274,0.408815,-0.241832,0.758155,0.44675
1679998098554,1178086905270428,0.408923,-0.241664,0.75835,0.446412
1679998098555,1178086907772813,0.408931,-0.241686,0.758338,0.446413
1679998098556,1178086910274736,0.408948,-0.241716,0.75832,0.446413
1679998098558,1178086912776813,0.408811,-0.241742,0.758385,0.446414
1679998098561,1178086915278948,0.408824,-0.241779,0.758368,0.446411
1679998098564,1178086917781102,0.408857,-0.24182,0.758338,0.446408
1679998098566,1178086920283025,0.408891,-0.241865,0.758307,0.446406
1679998098570,1178086922785102,0.40893,-0.241907,0.758274,0.446404
1679998098571,1178086925287299,0.409046,-0.241825,0.758377,0.446166
1679998098573,1178086927789376,0.409089,-0.241865,0.758345,0.446159
1679998098576,1178086930291530,0.409316,-0.242078,0.758211,0.446064
1679998098578,1178086932793453,0.409378,-0.242139,0.758166,0.44605
1679998098583,1178086935295598,0.409423,-0.242188,0.758132,0.44604
1679998098584,1178086937797675,0.409459,-0.242235,0.758104,0.44603
1679998098591,1178086940299829,0.409492,-0.24228,0.758077,0.446021
1679998098592,1178086942801983,0.409521,-0.242326,0.758053,0.446011
