system_ts_ms, sensor_ts_ns, graX, graY, graZ
1679998098399,1178086745136396,8.157,-0.021,5.443
1679998098400,1178086747638550,8.157,-0.021,5.442
1679998098400,1178086750140627,8.158,-0.021,5.441
1679998098401,1178086752642781,8.159,-0.02,5.44
1679998098402,1178086755144708,8.166,-0.015,5.429
1679998098402,1178086757646862,8.167,-0.014,5.427
1679998098416,1178086760149015,8.168,-0.013,5.426
1679998098417,1178086762651169,8.168,-0.013,5.426
1679998098418,1178086765153256,8.169,-0.013,5.425
1679998098419,1178086767655410,8.169,-0.012,5.424
1679998098420,1178086770157333,8.17,-0.012,5.423
1679998098420,1178086772659487,8.171,-0.01,5.421
1679998098421,1178086775161636,8.173,-0.01,5.419
1679998098428,1178086777663790,8.174,-0.01,5.417
1679998098428,1178086780165867,8.175,-0.01,5.415
1679998098429,1178086782668020,8.177,-0.01,5.412
1679998098431,1178086785169943,8.179,-0.01,5.41
1679998098433,1178086787672030,8.181,-0.01,5.407
1679998098437,1178086790174184,8.181,-0.013,5.407
1679998098438,1178086792676338,8.182,-0.013,5.404
1679998098440,1178086795178492,8.184,-0.013,5.401
1679998098443,1178086797680405,8.187,-0.014,5.398
1679998098446,1178086800182559,8.189,-0.014,5.395
1679998098447,1178086802684636,8.191,-0.015,5.392
1679998098454,1178086805186790,8.193,-0.015,5.388
1679998098454,1178086807688713,8.194,-0.016,5.386
1679998098456,1178086810191097,8.196,-0.016,5.383
1679998098458,1178086812693020,8.198,-0.017,5.38
1679998098460,1178086815195174,8.2,-0.018,5.378
1679998098463,1178086817697222,8.201,-0.018,5.376
1679998098465,1178086820199376,8.202,-0.019,5.374
1679998098472,1178086822701299,8.204,-0.019,5.372
1679998098472,1178086825203684,8.208,-0.018,5.365
1679998098473,1178086827705607,8.209,-0.018,5.364
1679998098476,1178086830207766,8.21,-0.019,5.363
1679998098477,1178086832709843,8.21,-0.019,5.362
1679998098480,1178086835211997,8.21,-0.019,5.361
1679998098483,1178086837713920,8.211,-0.019,5.361
1679998098489,1178086840216059,8.21,-0.02,5.361
1679998098489,1178086842718213,8.216,-0.016,5.354
1679998098493,1178086845220290,8.216,-0.016,5.353
1679998098494,1178086847722444,8.215,-0.016,5.354
