system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679994865702,1174854056192650,1.07295,4.14195,9.156
1679994865703,1174854058694727,1.02795,4.1200504,9.02595
1679994865706,1174854061196592,1.0129501,4.056,8.9740505
1679994865709,1174854063698515,0.99705005,3.9769502,8.952001
1679994865711,1174854066200669,1.0030501,4.02705,8.98305
1679994865713,1174854068702746,0.95295006,3.9570003,9.085951
1679994865722,1174854071204592,0.86805004,3.86595,9.184951
1679994865723,1174854073706515,0.85395,3.9739501,9.14595
1679994865723,1174854076208592,0.91305006,3.9739501,9.181951
1679994865723,1174854078710515,0.87495005,3.9450002,9.09405
1679994865726,1174854081212616,0.768,3.9190502,9.163051
1679994865728,1174854083714539,0.693,3.96705,9.193951
1679994865730,1174854086216616,0.70995003,3.933,9.151051
1679994865733,1174854088718462,0.588,3.96495,9.21105
1679994865736,1174854091220390,0.564,3.969,9.153001
1679994865739,1174854093722467,0.54705,3.8929503,9.175051
1679994865741,1174854096224313,0.37695003,3.9619503,9.0379505
1679994865743,1174854098726467,0.34395,4.00995,9.108001
1679994865750,1174854101228428,0.37005,4.06995,9.12195
1679994865750,1174854103730275,0.27195,3.9379501,8.998051
1679994865751,1174854106232351,0.372,4.065,9.022051
1679994865753,1174854108734275,0.35295,4.08405,9.05805
1679994865756,1174854111236121,0.38700002,3.9259503,8.96895
1679994865758,1174854113738198,0.33900002,4.005,8.919001
1679994865760,1174854116240352,0.43500003,4.0080004,8.916
1679994865763,1174854118742198,0.53505003,4.05795,8.93505
1679994865766,1174854121244121,0.58095,4.02105,8.896951
1679994865768,1174854123746198,0.57405,3.9859502,9.031051
1679994865770,1174854126248112,0.62895006,4.0009503,8.991
1679994865773,1174854128749958,0.69600004,3.92895,8.98095
1679994865776,1174854131252035,0.71295005,3.99795,9.06705
1679994865779,1174854133754189,0.68895006,3.9930003,9.1369505
1679994865781,1174854136256112,0.69600004,4.0020003,9.019051
1679994865785,1174854138757958,0.78705,4.0339503,9.031051
1679994865788,1174854141260035,0.72405005,4.0459504,8.98095
1679994865789,1174854143761953,0.68595004,4.0410004,9.010051
1679994865791,1174854146263799,0.72195005,4.044,9.08895
1679994865793,1174854148765876,0.75795,4.149,9.019051
1679994865796,1174854151268030,0.70995003,4.116,9.13395
1679994865801,1174854153769953,0.75105006,4.1059504,8.896951
1679994865802,1174854156271794,0.66705,4.1200504,9.11505
1679994865804,1174854158773640,0.67905,4.1389503,8.94495
1679994865806,1174854161275794,0.64500004,4.1350503,9.03405
1679994865808,1174854163777871,0.61200005,4.1659503,8.98095
1679994865811,1174854166279813,0.58095,4.1470504,9.06495
1679994865813,1174854168781659,0.62895006,4.1269503,9.012
1679994865818,1174854171283736,0.66195005,4.1059504,9.09105
1679994865819,1174854173785659,0.61695004,4.03905,9.09105
1679994865823,1174854176287530,0.66195005,4.12305,9.108001
1679994865824,1174854178789683,0.62100005,4.1389503,9.120001
1679994865827,1174854181291530,0.68100005,4.05795,9.084001
1679994865829,1174854183793606,0.66,4.0960503,9.028951
1679994865834,1174854186295530,0.72405005,4.0630503,9.12705
1679994865835,1174854188797606,0.684,4.056,9.06495
1679994865836,1174854191299453,0.70095,4.12305,9.13395
1679994865838,1174854193801376,0.60195005,4.0669503,9.08895
1679994865841,1174854196303530,0.67395,4.0129504,9.1369505
1679994865843,1174854198805592,0.65505004,4.09305,9.09105
1679994865846,1174854201307439,0.69600004,4.1130004,9.07005
1679994865851,1174854203809362,0.64095,4.1730003,9.040951
1679994865852,1174854206311439,0.63795,4.104,9.055051
1679994865853,1174854208813362,0.69795,4.089,9.175051
1679994865857,1174854211315208,0.71295005,4.116,9.02595
1679994865861,1174854213817362,0.70995003,4.0669503,9.204
1679994865862,1174854216319208,0.70995003,3.96705,9.07005
1679994865864,1174854218821266,0.63795,4.0459504,9.12705
1679994865869,1174854221323189,0.65295005,4.05795,9.09405
1679994865870,1174854223825035,0.64500004,4.0410004,9.06
1679994865871,1174854226327112,0.60705,4.07205,9.048
1679994865873,1174854228829035,0.717,3.9960003,8.8279505
1679994865876,1174854231331097,0.633,4.0350003,8.943001
1679994865878,1174854233833020,0.63795,3.969,9.06705
1679994865881,1174854236335097,0.66495,4.00995,9.019051
1679994865885,1174854238836943,0.648,3.9499502,9.10095
1679994865887,1174854241338890,0.57405,3.9220502,9.0070505
1679994865889,1174854243840967,0.68895006,3.9100502,9.049951
1679994865891,1174854246343121,0.65505004,3.9379501,9.1390505
1679994865893,1174854248844967,0.588,3.9409502,9.08895
1679994865897,1174854251346876,0.624,3.8779502,9.085951
1679994865903,1174854253848953,0.58095,3.9769502,9.09105
1679994865903,1174854256350876,0.58305,3.8740501,9.019051
1679994865904,1174854258852722,0.633,3.9169502,9.07005
1679994865906,1174854261354799,0.60195005,3.9120002,9.12705
1679994865908,1174854263856934,0.61905,4.0020003,9.12495
1679994865911,1174854266358780,0.73605,3.9139502,9.0720005
1679994865913,1174854268860704,0.633,3.969,9.02595
1679994865919,1174854271362780,0.68100005,3.8929503,8.988001
1679994865920,1174854273864713,0.61005,4.017,8.99505
1679994865921,1174854276366559,0.69600004,3.9619503,9.05805
1679994865924,1174854278868636,0.67200005,3.9450002,9.004951
1679994865927,1174854281370559,0.684,3.9570003,9.019051
1679994865928,1174854283872636,0.70095,3.9790502,8.998051
1679994865930,1174854286374583,0.72705,4.0080004,8.920951
1679994865935,1174854288876429,0.60195005,3.9430501,9.0
1679994865937,1174854291378506,0.684,4.0140004,8.98305
1679994865940,1174854293880410,0.61005,3.933,9.09405
1679994865942,1174854296382256,0.64305,3.8740501,9.05805
1679994865944,1174854298884410,0.60195005,4.0080004,9.022051
