system_ts_ms, sensor_ts_ns, rotX, rotY, rotZ, rotL
1679994865702,1174854056192650,0.151947,0.139777,0.779012,0.592041
1679994865703,1174854058694746,0.152004,0.139755,0.779055,0.591975
1679994865706,1174854061196592,0.152605,0.139609,0.779101,0.591795
1679994865710,1174854063698515,0.152695,0.139602,0.779137,0.591726
1679994865711,1174854066200669,0.152717,0.139628,0.779171,0.59167
1679994865713,1174854068702746,0.152714,0.139674,0.779206,0.591613
1679994865722,1174854071204592,0.152684,0.139733,0.77924,0.591562
1679994865723,1174854073706515,0.152631,0.1398,0.779274,0.591514
1679994865723,1174854076208592,0.152563,0.139877,0.779307,0.591471
1679994865724,1174854078710539,0.152666,0.139769,0.77937,0.591387
1679994865727,1174854081212616,0.152589,0.139837,0.779403,0.591348
1679994865728,1174854083714539,0.152491,0.139918,0.779429,0.591319
1679994865731,1174854086216616,0.152394,0.14,0.779451,0.591296
1679994865734,1174854088718462,0.152294,0.140079,0.779472,0.591276
1679994865736,1174854091220390,0.152202,0.140149,0.779489,0.591259
1679994865739,1174854093722467,0.152121,0.140212,0.779506,0.591243
1679994865741,1174854096224313,0.15161,0.14064,0.77946,0.591333
1679994865743,1174854098726467,0.151504,0.140727,0.779469,0.591328
1679994865750,1174854101228428,0.151448,0.140775,0.779481,0.591315
1679994865750,1174854103730275,0.151411,0.140803,0.779493,0.591303
1679994865751,1174854106232351,0.151384,0.140825,0.779504,0.59129
1679994865753,1174854108734275,0.15137,0.140837,0.779519,0.591271
1679994865757,1174854111236121,0.15137,0.140842,0.779532,0.591252
1679994865758,1174854113738198,0.151021,0.14137,0.779448,0.591326
1679994865760,1174854116240352,0.151001,0.14141,0.779454,0.591313
1679994865763,1174854118742198,0.151024,0.141398,0.779469,0.591291
1679994865766,1174854121244121,0.151059,0.141375,0.779485,0.591267
1679994865768,1174854123746189,0.151098,0.141346,0.779501,0.591242
1679994865771,1174854126248112,0.151136,0.141313,0.77952,0.591215
1679994865774,1174854128749958,0.151175,0.141281,0.779539,0.591188
1679994865777,1174854131252035,0.151285,0.141267,0.779552,0.591145
1679994865779,1174854133754189,0.151329,0.141239,0.77957,0.591117
1679994865785,1174854136256112,0.151362,0.14121,0.779589,0.591091
1679994865785,1174854138757958,0.151389,0.141185,0.779608,0.591065
1679994865788,1174854141260035,0.151413,0.14116,0.779625,0.591042
1679994865790,1174854143761953,0.151435,0.14114,0.77964,0.591022
1679994865791,1174854146263799,0.151454,0.141124,0.779653,0.591004
1679994865794,1174854148765876,0.151747,0.141297,0.779614,0.590939
1679994865796,1174854151268030,0.151788,0.141306,0.77962,0.590919
1679994865802,1174854153769953,0.151791,0.141298,0.77963,0.590905
1679994865802,1174854156271794,0.151792,0.141287,0.779644,0.59089
1679994865805,1174854158773640,0.151791,0.14128,0.779657,0.590875
1679994865807,1174854161275794,0.15179,0.141276,0.779668,0.590862
1679994865809,1174854163777871,0.151782,0.141271,0.779681,0.590848
1679994865812,1174854166279813,0.15178,0.141613,0.779623,0.590842
1679994865814,1174854168781659,0.151769,0.141644,0.779633,0.590825
1679994865819,1174854171283736,0.151756,0.141645,0.77965,0.590806
1679994865819,1174854173785659,0.151744,0.141639,0.779668,0.590786
1679994865824,1174854176287530,0.151732,0.141629,0.779687,0.590767
1679994865825,1174854178789683,0.151722,0.141617,0.779707,0.590746
1679994865828,1174854181291530,0.15171,0.141605,0.779729,0.590723
1679994865830,1174854183793606,0.151784,0.141798,0.779706,0.590688
1679994865835,1174854186295530,0.151774,0.141804,0.779724,0.590666
1679994865835,1174854188797606,0.151762,0.141793,0.779744,0.590644
1679994865837,1174854191299453,0.151743,0.141777,0.779768,0.590621
1679994865839,1174854193801376,0.151721,0.141762,0.779791,0.5906
1679994865841,1174854196303530,0.151696,0.141744,0.779815,0.590579
1679994865844,1174854198805592,0.151667,0.141727,0.77984,0.590558
1679994865847,1174854201307439,0.151773,0.141876,0.779825,0.590514
1679994865852,1174854203809362,0.151757,0.141881,0.779845,0.590491
1679994865852,1174854206311439,0.151726,0.141873,0.779867,0.590472
1679994865854,1174854208813362,0.151695,0.141866,0.77989,0.590452
1679994865858,1174854211315208,0.151663,0.141863,0.779911,0.590433
1679994865862,1174854213817362,0.151629,0.141859,0.779931,0.590416
