system_ts_ms, sensor_ts_ns, accX, accY, accZ
1679995480773,1175469124752489,0.31305,7.3180504,6.7939506
1679995480774,1175469127254566,0.20700002,7.3369503,6.7440004
1679995480775,1175469129756720,0.32205,7.32705,6.7819505
1679995480776,1175469132258643,0.40605003,7.3440003,6.61005
1679995480779,1175469134760725,0.55905,7.2960005,6.6769505
1679995480781,1175469137262648,0.58305,7.3369503,6.6649504
1679995480791,1175469139764801,0.74100006,7.31295,6.6460505
1679995480791,1175469142266955,0.67395,7.287,6.7990503
1679995480791,1175469144769032,0.87105006,7.3660502,6.7540503
1679995480791,1175469147270945,0.837,7.2430506,6.6270003
1679995480794,1175469149773099,0.92505,7.2390003,6.74205
1679995480796,1175469152275176,0.84405005,7.2340503,6.675
1679995480799,1175469154777099,0.82695,7.176,6.5839505
1679995480802,1175469157279195,0.873,7.2310505,6.59595
1679995480805,1175469159781349,0.86595005,7.3369503,6.6600003
1679995480807,1175469162283503,0.73200005,7.2649503,6.7219505
1679995480809,1175469164785426,0.75105006,7.2580504,6.6580505
1679995480812,1175469167287494,0.65295005,7.3030505,6.5839505
1679995480814,1175469169789648,0.65295005,7.29405,6.636
1679995480816,1175469172291571,0.57600003,7.2960005,6.61005
1679995480820,1175469174793725,0.57795,7.25505,6.6220503
1679995480822,1175469177295802,0.51405,7.35405,6.50895
1679995480824,1175469179797740,0.42000002,7.2720003,6.5809503
1679995480827,1175469182299817,0.432,7.3819504,6.4609504
1679995480830,1175469184801740,0.22395001,7.4089503,6.663
1679995480831,1175469187304124,0.16395001,7.3609505,6.60795
1679995480839,1175469189806047,0.09,7.3369503,6.6600003
1679995480839,1175469192308110,0.054,7.4089503,6.50895
1679995480840,1175469194810033,0.0010500001,7.32,6.5119505
1679995480843,1175469197312187,-0.010950001,7.3219504,6.5190005
1679995480845,1175469199814268,0.06795,7.3489504,6.5449505
1679995480847,1175469202316422,0.11595,7.3680005,6.49305
1679995480850,1175469204818345,0.10695001,7.3180504,6.4999504
1679995480855,1175469207320499,0.11595,7.3939505,6.4999504
1679995480856,1175469209822576,0.171,7.31295,6.62895
1679995480857,1175469212324499,0.27705002,7.38705,6.675
1679995480859,1175469214826576,0.18105,7.2720003,6.5599504
1679995480862,1175469217328730,0.22395001,7.2960005,6.6870003
1679995480864,1175469219830884,0.28605002,7.29405,6.6990004
1679995480867,1175469222332831,0.30495003,7.2750006,6.7219505
1679995480872,1175469224834908,0.28605002,7.2289505,6.55695
1679995480872,1175469227337061,0.37500003,7.3369503,6.6910505
1679995480874,1175469229838985,0.303,7.3099504,6.5790005
1679995480877,1175469232341071,0.411,7.3300505,6.4950004
1679995480881,1175469234843225,0.34605002,7.31505,6.5860505
1679995480883,1175469237345379,0.39600003,7.2889504,6.6940503
1679995480888,1175469239847302,0.384,7.2670503,6.6649504
1679995480889,1175469242349360,0.33195,7.3609505,6.64305
1679995480891,1175469244851283,0.10695001,7.425,6.78
1679995480893,1175469247353437,0.03195,7.4449506,6.5809503
1679995480895,1175469249855514,0.07095,7.3819504,6.4729505
1679995480897,1175469252357668,0.00795,7.3699503,6.5880003
1679995480899,1175469254859591,0.087000005,7.42995,6.4230003
1679995480904,1175469257361745,0.11895001,7.4400005,6.5449505
1679995480905,1175469259863822,0.27195,7.2510004,6.5400004
1679995480907,1175469262365745,0.24105,7.2840004,6.4350004
1679995480910,1175469264867831,0.33195,7.2390003,6.5449505
1679995480912,1175469267369985,0.39600003,7.3320003,6.6120005
1679995480914,1175469269872138,0.411,7.3219504,6.5449505
1679995480920,1175469272374081,0.49005002,7.25505,6.636
1679995480921,1175469274876157,0.59295005,7.2120004,6.6120005
1679995480923,1175469277378311,0.50100005,7.3180504,6.6840005
1679995480927,1175469279880234,0.47295,7.2070503,6.6720004
1679995480928,1175469282382311,0.47805002,7.2700505,6.6910505
1679995480930,1175469284884432,0.44205,7.3609505,6.64095
1679995480933,1175469287386586,0.31995,7.2910504,6.59805
1679995480938,1175469289888509,0.43905002,7.3009505,6.6580505
1679995480939,1175469292390586,0.42000002,7.3420506,6.6720004
1679995480939,1175469294892509,0.38205,7.39905,6.6550503
